REF_DATE,GEO,Custodial admissions,Sex,VALUE
2004/2005,Nunavut,Sentenced,Female,0
2004/2005,Nunavut,Sentenced,Sex unknown,0
2004/2005,Nunavut,Remand,"Total, custodial admission by sex",267
2004/2005,Nunavut,Remand,Male,267
2004/2005,Nunavut,Remand,Female,0
2004/2005,Nunavut,Remand,Sex unknown,0
2005/2006,All Provinces and territories,"Total, custodial admissions","Total, custodial admission by sex",238448
2005/2006,All Provinces and territories,"Total, custodial admissions",Male,210677
2005/2006,All Provinces and territories,"Total, custodial admissions",Female,27712
2005/2006,All Provinces and territories,"Total, custodial admissions",Sex unknown,59
2005/2006,All Provinces and territories,Sentenced,"Total, custodial admission by sex",79773
2005/2006,All Provinces and territories,Sentenced,Male,71292
2005/2006,All Provinces and territories,Sentenced,Female,8458
2005/2006,All Provinces and territories,Sentenced,Sex unknown,23
2005/2006,All Provinces and territories,Remand,"Total, custodial admission by sex",143057
2005/2006,All Provinces and territories,Remand,Male,125810
2005/2006,All Provinces and territories,Remand,Female,17215
2005/2006,All Provinces and territories,Remand,Sex unknown,32
2005/2006,All Provinces and territories,Other custodial statuses,"Total, custodial admission by sex",15618
2005/2006,All Provinces and territories,Other custodial statuses,Male,13575
2005/2006,All Provinces and territories,Other custodial statuses,Female,2039
2005/2006,All Provinces and territories,Other custodial statuses,Sex unknown,4
2005/2006,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admission by sex",1626
2005/2006,Newfoundland and Labrador,"Total, custodial admissions",Male,1539
2005/2006,Newfoundland and Labrador,"Total, custodial admissions",Female,66
2005/2006,Newfoundland and Labrador,"Total, custodial admissions",Sex unknown,21
2005/2006,Newfoundland and Labrador,Sentenced,"Total, custodial admission by sex",1047
2005/2006,Newfoundland and Labrador,Sentenced,Male,994
2005/2006,Newfoundland and Labrador,Sentenced,Female,40
2005/2006,Newfoundland and Labrador,Sentenced,Sex unknown,13
2005/2006,Newfoundland and Labrador,Remand,"Total, custodial admission by sex",478
2005/2006,Newfoundland and Labrador,Remand,Male,452
2005/2006,Newfoundland and Labrador,Remand,Female,21
2005/2006,Newfoundland and Labrador,Remand,Sex unknown,5
2005/2006,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admission by sex",101
2005/2006,Newfoundland and Labrador,Other custodial statuses,Male,93
2005/2006,Newfoundland and Labrador,Other custodial statuses,Female,5
2005/2006,Newfoundland and Labrador,Other custodial statuses,Sex unknown,3
2005/2006,Prince Edward Island,"Total, custodial admissions","Total, custodial admission by sex",
2005/2006,Prince Edward Island,"Total, custodial admissions",Male,
2005/2006,Prince Edward Island,"Total, custodial admissions",Female,
2005/2006,Prince Edward Island,"Total, custodial admissions",Sex unknown,
2005/2006,Prince Edward Island,Sentenced,"Total, custodial admission by sex",
2005/2006,Prince Edward Island,Sentenced,Male,
2005/2006,Prince Edward Island,Sentenced,Female,
2005/2006,Prince Edward Island,Sentenced,Sex unknown,
2005/2006,Prince Edward Island,Remand,"Total, custodial admission by sex",
2005/2006,Prince Edward Island,Remand,Male,
2005/2006,Prince Edward Island,Remand,Female,
2005/2006,Prince Edward Island,Remand,Sex unknown,
2005/2006,Prince Edward Island,Other custodial statuses,"Total, custodial admission by sex",
2005/2006,Prince Edward Island,Other custodial statuses,Male,
2005/2006,Prince Edward Island,Other custodial statuses,Female,
2005/2006,Prince Edward Island,Other custodial statuses,Sex unknown,
2005/2006,Nova Scotia,"Total, custodial admissions","Total, custodial admission by sex",4207
2005/2006,Nova Scotia,"Total, custodial admissions",Male,3848
2005/2006,Nova Scotia,"Total, custodial admissions",Female,337
2005/2006,Nova Scotia,"Total, custodial admissions",Sex unknown,22
2005/2006,Nova Scotia,Sentenced,"Total, custodial admission by sex",1820
2005/2006,Nova Scotia,Sentenced,Male,1671
2005/2006,Nova Scotia,Sentenced,Female,141
2005/2006,Nova Scotia,Sentenced,Sex unknown,8
2005/2006,Nova Scotia,Remand,"Total, custodial admission by sex",2111
2005/2006,Nova Scotia,Remand,Male,1919
2005/2006,Nova Scotia,Remand,Female,178
2005/2006,Nova Scotia,Remand,Sex unknown,14
2005/2006,Nova Scotia,Other custodial statuses,"Total, custodial admission by sex",276
2005/2006,Nova Scotia,Other custodial statuses,Male,258
2005/2006,Nova Scotia,Other custodial statuses,Female,18
2005/2006,Nova Scotia,Other custodial statuses,Sex unknown,0
2005/2006,New Brunswick,"Total, custodial admissions","Total, custodial admission by sex",4781
2005/2006,New Brunswick,"Total, custodial admissions",Male,4276
2005/2006,New Brunswick,"Total, custodial admissions",Female,505
2005/2006,New Brunswick,"Total, custodial admissions",Sex unknown,0
2005/2006,New Brunswick,Sentenced,"Total, custodial admission by sex",2520
2005/2006,New Brunswick,Sentenced,Male,2256
2005/2006,New Brunswick,Sentenced,Female,264
2005/2006,New Brunswick,Sentenced,Sex unknown,0
2005/2006,New Brunswick,Remand,"Total, custodial admission by sex",1573
2005/2006,New Brunswick,Remand,Male,1406
2005/2006,New Brunswick,Remand,Female,167
2005/2006,New Brunswick,Remand,Sex unknown,0
2005/2006,New Brunswick,Other custodial statuses,"Total, custodial admission by sex",688
2005/2006,New Brunswick,Other custodial statuses,Male,614
2005/2006,New Brunswick,Other custodial statuses,Female,74
2005/2006,New Brunswick,Other custodial statuses,Sex unknown,0
2005/2006,Quebec,"Total, custodial admissions","Total, custodial admission by sex",38281
2005/2006,Quebec,"Total, custodial admissions",Male,34671
2005/2006,Quebec,"Total, custodial admissions",Female,3610
2005/2006,Quebec,"Total, custodial admissions",Sex unknown,0
2005/2006,Quebec,Sentenced,"Total, custodial admission by sex",8001
2005/2006,Quebec,Sentenced,Male,7141
2005/2006,Quebec,Sentenced,Female,860
2005/2006,Quebec,Sentenced,Sex unknown,0
2005/2006,Quebec,Remand,"Total, custodial admission by sex",26921
2005/2006,Quebec,Remand,Male,24534
2005/2006,Quebec,Remand,Female,2387
2005/2006,Quebec,Remand,Sex unknown,0
2005/2006,Quebec,Other custodial statuses,"Total, custodial admission by sex",3359
2005/2006,Quebec,Other custodial statuses,Male,2996
2005/2006,Quebec,Other custodial statuses,Female,363
2005/2006,Quebec,Other custodial statuses,Sex unknown,0
2005/2006,Ontario,"Total, custodial admissions","Total, custodial admission by sex",97162
2005/2006,Ontario,"Total, custodial admissions",Male,85709
2005/2006,Ontario,"Total, custodial admissions",Female,11453
2005/2006,Ontario,"Total, custodial admissions",Sex unknown,0
2005/2006,Ontario,Sentenced,"Total, custodial admission by sex",31591
2005/2006,Ontario,Sentenced,Male,28481
2005/2006,Ontario,Sentenced,Female,3110
2005/2006,Ontario,Sentenced,Sex unknown,0
2005/2006,Ontario,Remand,"Total, custodial admission by sex",61965
2005/2006,Ontario,Remand,Male,53852
2005/2006,Ontario,Remand,Female,8113
2005/2006,Ontario,Remand,Sex unknown,0
2005/2006,Ontario,Other custodial statuses,"Total, custodial admission by sex",3606
2005/2006,Ontario,Other custodial statuses,Male,3376
2005/2006,Ontario,Other custodial statuses,Female,230
2005/2006,Ontario,Other custodial statuses,Sex unknown,0
2005/2006,Manitoba,"Total, custodial admissions","Total, custodial admission by sex",20931
2005/2006,Manitoba,"Total, custodial admissions",Male,18110
2005/2006,Manitoba,"Total, custodial admissions",Female,2820
2005/2006,Manitoba,"Total, custodial admissions",Sex unknown,1
2005/2006,Manitoba,Sentenced,"Total, custodial admission by sex",3748
2005/2006,Manitoba,Sentenced,Male,3460
2005/2006,Manitoba,Sentenced,Female,288
2005/2006,Manitoba,Sentenced,Sex unknown,0
2005/2006,Manitoba,Remand,"Total, custodial admission by sex",9816
2005/2006,Manitoba,Remand,Male,8599
2005/2006,Manitoba,Remand,Female,1217
2005/2006,Manitoba,Remand,Sex unknown,0
2005/2006,Manitoba,Other custodial statuses,"Total, custodial admission by sex",7367
2005/2006,Manitoba,Other custodial statuses,Male,6051
2005/2006,Manitoba,Other custodial statuses,Female,1315
2005/2006,Manitoba,Other custodial statuses,Sex unknown,1
2005/2006,Saskatchewan,"Total, custodial admissions","Total, custodial admission by sex",9008
2005/2006,Saskatchewan,"Total, custodial admissions",Male,8079
2005/2006,Saskatchewan,"Total, custodial admissions",Female,917
2005/2006,Saskatchewan,"Total, custodial admissions",Sex unknown,12
2005/2006,Saskatchewan,Sentenced,"Total, custodial admission by sex",3422
2005/2006,Saskatchewan,Sentenced,Male,2980
2005/2006,Saskatchewan,Sentenced,Female,440
2005/2006,Saskatchewan,Sentenced,Sex unknown,2
2005/2006,Saskatchewan,Remand,"Total, custodial admission by sex",5384
2005/2006,Saskatchewan,Remand,Male,4929
2005/2006,Saskatchewan,Remand,Female,445
2005/2006,Saskatchewan,Remand,Sex unknown,10
2005/2006,Saskatchewan,Other custodial statuses,"Total, custodial admission by sex",202
2005/2006,Saskatchewan,Other custodial statuses,Male,170
2005/2006,Saskatchewan,Other custodial statuses,Female,32
2005/2006,Saskatchewan,Other custodial statuses,Sex unknown,0
2005/2006,Alberta,"Total, custodial admissions","Total, custodial admission by sex",37610
2005/2006,Alberta,"Total, custodial admissions",Male,32540
2005/2006,Alberta,"Total, custodial admissions",Female,5070
2005/2006,Alberta,"Total, custodial admissions",Sex unknown,0
2005/2006,Alberta,Sentenced,"Total, custodial admission by sex",17329
2005/2006,Alberta,Sentenced,Male,14999
2005/2006,Alberta,Sentenced,Female,2330
2005/2006,Alberta,Sentenced,Sex unknown,0
2005/2006,Alberta,Remand,"Total, custodial admission by sex",20281
2005/2006,Alberta,Remand,Male,17541
2005/2006,Alberta,Remand,Female,2740
2005/2006,Alberta,Remand,Sex unknown,0
2005/2006,Alberta,Other custodial statuses,"Total, custodial admission by sex",0
2005/2006,Alberta,Other custodial statuses,Male,0
2005/2006,Alberta,Other custodial statuses,Female,0
2005/2006,Alberta,Other custodial statuses,Sex unknown,0
2005/2006,British Columbia,"Total, custodial admissions","Total, custodial admission by sex",22804
2005/2006,British Columbia,"Total, custodial admissions",Male,19988
2005/2006,British Columbia,"Total, custodial admissions",Female,2813
2005/2006,British Columbia,"Total, custodial admissions",Sex unknown,3
2005/2006,British Columbia,Sentenced,"Total, custodial admission by sex",9224
2005/2006,British Columbia,Sentenced,Male,8294
2005/2006,British Columbia,Sentenced,Female,930
2005/2006,British Columbia,Sentenced,Sex unknown,0
2005/2006,British Columbia,Remand,"Total, custodial admission by sex",13580
2005/2006,British Columbia,Remand,Male,11694
2005/2006,British Columbia,Remand,Female,1883
2005/2006,British Columbia,Remand,Sex unknown,3
2005/2006,British Columbia,Other custodial statuses,"Total, custodial admission by sex",
2005/2006,British Columbia,Other custodial statuses,Male,
2005/2006,British Columbia,Other custodial statuses,Female,
2005/2006,British Columbia,Other custodial statuses,Sex unknown,
2005/2006,Yukon,"Total, custodial admissions","Total, custodial admission by sex",600
2005/2006,Yukon,"Total, custodial admissions",Male,533
2005/2006,Yukon,"Total, custodial admissions",Female,67
2005/2006,Yukon,"Total, custodial admissions",Sex unknown,0
2005/2006,Yukon,Sentenced,"Total, custodial admission by sex",202
2005/2006,Yukon,Sentenced,Male,179
2005/2006,Yukon,Sentenced,Female,23
2005/2006,Yukon,Sentenced,Sex unknown,0
2005/2006,Yukon,Remand,"Total, custodial admission by sex",380
2005/2006,Yukon,Remand,Male,338
2005/2006,Yukon,Remand,Female,42
2005/2006,Yukon,Remand,Sex unknown,0
2005/2006,Yukon,Other custodial statuses,"Total, custodial admission by sex",18
2005/2006,Yukon,Other custodial statuses,Male,16
2005/2006,Yukon,Other custodial statuses,Female,2
2005/2006,Yukon,Other custodial statuses,Sex unknown,0
2005/2006,Northwest Territories,"Total, custodial admissions","Total, custodial admission by sex",697
2005/2006,Northwest Territories,"Total, custodial admissions",Male,656
2005/2006,Northwest Territories,"Total, custodial admissions",Female,41
2005/2006,Northwest Territories,"Total, custodial admissions",Sex unknown,0
2005/2006,Northwest Territories,Sentenced,"Total, custodial admission by sex",451
2005/2006,Northwest Territories,Sentenced,Male,423
2005/2006,Northwest Territories,Sentenced,Female,28
2005/2006,Northwest Territories,Sentenced,Sex unknown,0
2005/2006,Northwest Territories,Remand,"Total, custodial admission by sex",245
2005/2006,Northwest Territories,Remand,Male,232
2005/2006,Northwest Territories,Remand,Female,13
2005/2006,Northwest Territories,Remand,Sex unknown,0
2005/2006,Northwest Territories,Other custodial statuses,"Total, custodial admission by sex",1
2005/2006,Northwest Territories,Other custodial statuses,Male,1
2005/2006,Northwest Territories,Other custodial statuses,Female,0
2005/2006,Northwest Territories,Other custodial statuses,Sex unknown,0
2005/2006,Nunavut,"Total, custodial admissions","Total, custodial admission by sex",741
2005/2006,Nunavut,"Total, custodial admissions",Male,728
2005/2006,Nunavut,"Total, custodial admissions",Female,13
2005/2006,Nunavut,"Total, custodial admissions",Sex unknown,0
2005/2006,Nunavut,Sentenced,"Total, custodial admission by sex",418
2005/2006,Nunavut,Sentenced,Male,414
2005/2006,Nunavut,Sentenced,Female,4
2005/2006,Nunavut,Sentenced,Sex unknown,0
2005/2006,Nunavut,Remand,"Total, custodial admission by sex",323
2005/2006,Nunavut,Remand,Male,314
2005/2006,Nunavut,Remand,Female,9
2005/2006,Nunavut,Remand,Sex unknown,0
2006/2007,All Provinces and territories,"Total, custodial admissions","Total, custodial admission by sex",246863
2006/2007,All Provinces and territories,"Total, custodial admissions",Male,216827
2006/2007,All Provinces and territories,"Total, custodial admissions",Female,29950
2006/2007,All Provinces and territories,"Total, custodial admissions",Sex unknown,86
2006/2007,All Provinces and territories,Sentenced,"Total, custodial admission by sex",80744
2006/2007,All Provinces and territories,Sentenced,Male,71688
2006/2007,All Provinces and territories,Sentenced,Female,9023
2006/2007,All Provinces and territories,Sentenced,Sex unknown,33
2006/2007,All Provinces and territories,Remand,"Total, custodial admission by sex",150399
2006/2007,All Provinces and territories,Remand,Male,131492
2006/2007,All Provinces and territories,Remand,Female,18858
2006/2007,All Provinces and territories,Remand,Sex unknown,49
2006/2007,All Provinces and territories,Other custodial statuses,"Total, custodial admission by sex",15720
2006/2007,All Provinces and territories,Other custodial statuses,Male,13647
2006/2007,All Provinces and territories,Other custodial statuses,Female,2069
2006/2007,All Provinces and territories,Other custodial statuses,Sex unknown,4
2006/2007,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admission by sex",1647
2006/2007,Newfoundland and Labrador,"Total, custodial admissions",Male,1524
2006/2007,Newfoundland and Labrador,"Total, custodial admissions",Female,101
2006/2007,Newfoundland and Labrador,"Total, custodial admissions",Sex unknown,22
2006/2007,Newfoundland and Labrador,Sentenced,"Total, custodial admission by sex",1025
2006/2007,Newfoundland and Labrador,Sentenced,Male,941
2006/2007,Newfoundland and Labrador,Sentenced,Female,73
2006/2007,Newfoundland and Labrador,Sentenced,Sex unknown,11
2006/2007,Newfoundland and Labrador,Remand,"Total, custodial admission by sex",504
2006/2007,Newfoundland and Labrador,Remand,Male,466
2006/2007,Newfoundland and Labrador,Remand,Female,27
2006/2007,Newfoundland and Labrador,Remand,Sex unknown,11
2006/2007,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admission by sex",118
2006/2007,Newfoundland and Labrador,Other custodial statuses,Male,117
2006/2007,Newfoundland and Labrador,Other custodial statuses,Female,1
2006/2007,Newfoundland and Labrador,Other custodial statuses,Sex unknown,0
2006/2007,Prince Edward Island,"Total, custodial admissions","Total, custodial admission by sex",
2006/2007,Prince Edward Island,"Total, custodial admissions",Male,
2006/2007,Prince Edward Island,"Total, custodial admissions",Female,
2006/2007,Prince Edward Island,"Total, custodial admissions",Sex unknown,
2006/2007,Prince Edward Island,Sentenced,"Total, custodial admission by sex",
2006/2007,Prince Edward Island,Sentenced,Male,
2006/2007,Prince Edward Island,Sentenced,Female,
2006/2007,Prince Edward Island,Sentenced,Sex unknown,
2006/2007,Prince Edward Island,Remand,"Total, custodial admission by sex",
2006/2007,Prince Edward Island,Remand,Male,
2006/2007,Prince Edward Island,Remand,Female,
2006/2007,Prince Edward Island,Remand,Sex unknown,
2006/2007,Prince Edward Island,Other custodial statuses,"Total, custodial admission by sex",
2006/2007,Prince Edward Island,Other custodial statuses,Male,
2006/2007,Prince Edward Island,Other custodial statuses,Female,
2006/2007,Prince Edward Island,Other custodial statuses,Sex unknown,
2006/2007,Nova Scotia,"Total, custodial admissions","Total, custodial admission by sex",4957
2006/2007,Nova Scotia,"Total, custodial admissions",Male,4448
2006/2007,Nova Scotia,"Total, custodial admissions",Female,452
2006/2007,Nova Scotia,"Total, custodial admissions",Sex unknown,57
2006/2007,Nova Scotia,Sentenced,"Total, custodial admission by sex",2113
2006/2007,Nova Scotia,Sentenced,Male,1922
2006/2007,Nova Scotia,Sentenced,Female,173
2006/2007,Nova Scotia,Sentenced,Sex unknown,18
2006/2007,Nova Scotia,Remand,"Total, custodial admission by sex",2558
2006/2007,Nova Scotia,Remand,Male,2265
2006/2007,Nova Scotia,Remand,Female,256
2006/2007,Nova Scotia,Remand,Sex unknown,37
2006/2007,Nova Scotia,Other custodial statuses,"Total, custodial admission by sex",286
2006/2007,Nova Scotia,Other custodial statuses,Male,261
2006/2007,Nova Scotia,Other custodial statuses,Female,23
2006/2007,Nova Scotia,Other custodial statuses,Sex unknown,2
2006/2007,New Brunswick,"Total, custodial admissions","Total, custodial admission by sex",5063
2006/2007,New Brunswick,"Total, custodial admissions",Male,4482
2006/2007,New Brunswick,"Total, custodial admissions",Female,581
2006/2007,New Brunswick,"Total, custodial admissions",Sex unknown,0
2006/2007,New Brunswick,Sentenced,"Total, custodial admission by sex",2550
2006/2007,New Brunswick,Sentenced,Male,2259
2006/2007,New Brunswick,Sentenced,Female,291
2006/2007,New Brunswick,Sentenced,Sex unknown,0
2006/2007,New Brunswick,Remand,"Total, custodial admission by sex",1791
2006/2007,New Brunswick,Remand,Male,1577
2006/2007,New Brunswick,Remand,Female,214
2006/2007,New Brunswick,Remand,Sex unknown,0
2006/2007,New Brunswick,Other custodial statuses,"Total, custodial admission by sex",722
2006/2007,New Brunswick,Other custodial statuses,Male,646
2006/2007,New Brunswick,Other custodial statuses,Female,76
2006/2007,New Brunswick,Other custodial statuses,Sex unknown,0
2006/2007,Quebec,"Total, custodial admissions","Total, custodial admission by sex",39527
2006/2007,Quebec,"Total, custodial admissions",Male,35586
2006/2007,Quebec,"Total, custodial admissions",Female,3941
2006/2007,Quebec,"Total, custodial admissions",Sex unknown,0
2006/2007,Quebec,Sentenced,"Total, custodial admission by sex",7548
2006/2007,Quebec,Sentenced,Male,6814
2006/2007,Quebec,Sentenced,Female,734
2006/2007,Quebec,Sentenced,Sex unknown,0
2006/2007,Quebec,Remand,"Total, custodial admission by sex",28240
2006/2007,Quebec,Remand,Male,25471
2006/2007,Quebec,Remand,Female,2769
2006/2007,Quebec,Remand,Sex unknown,0
2006/2007,Quebec,Other custodial statuses,"Total, custodial admission by sex",3739
2006/2007,Quebec,Other custodial statuses,Male,3301
2006/2007,Quebec,Other custodial statuses,Female,438
2006/2007,Quebec,Other custodial statuses,Sex unknown,0
2006/2007,Ontario,"Total, custodial admissions","Total, custodial admission by sex",101798
2006/2007,Ontario,"Total, custodial admissions",Male,89206
2006/2007,Ontario,"Total, custodial admissions",Female,12592
2006/2007,Ontario,"Total, custodial admissions",Sex unknown,0
2006/2007,Ontario,Sentenced,"Total, custodial admission by sex",32217
2006/2007,Ontario,Sentenced,Male,28719
2006/2007,Ontario,Sentenced,Female,3498
2006/2007,Ontario,Sentenced,Sex unknown,0
2006/2007,Ontario,Remand,"Total, custodial admission by sex",65564
2006/2007,Ontario,Remand,Male,56675
2006/2007,Ontario,Remand,Female,8889
2006/2007,Ontario,Remand,Sex unknown,0
2006/2007,Ontario,Other custodial statuses,"Total, custodial admission by sex",4017
2006/2007,Ontario,Other custodial statuses,Male,3812
2006/2007,Ontario,Other custodial statuses,Female,205
2006/2007,Ontario,Other custodial statuses,Sex unknown,0
2006/2007,Manitoba,"Total, custodial admissions","Total, custodial admission by sex",19704
2006/2007,Manitoba,"Total, custodial admissions",Male,16922
2006/2007,Manitoba,"Total, custodial admissions",Female,2775
2006/2007,Manitoba,"Total, custodial admissions",Sex unknown,7
2006/2007,Manitoba,Sentenced,"Total, custodial admission by sex",3587
2006/2007,Manitoba,Sentenced,Male,3305
2006/2007,Manitoba,Sentenced,Female,278
2006/2007,Manitoba,Sentenced,Sex unknown,4
2006/2007,Manitoba,Remand,"Total, custodial admission by sex",9479
2006/2007,Manitoba,Remand,Male,8276
2006/2007,Manitoba,Remand,Female,1202
2006/2007,Manitoba,Remand,Sex unknown,1
2006/2007,Manitoba,Other custodial statuses,"Total, custodial admission by sex",6638
2006/2007,Manitoba,Other custodial statuses,Male,5341
2006/2007,Manitoba,Other custodial statuses,Female,1295
2006/2007,Manitoba,Other custodial statuses,Sex unknown,2
2006/2007,Saskatchewan,"Total, custodial admissions","Total, custodial admission by sex",9416
2006/2007,Saskatchewan,"Total, custodial admissions",Male,8378
2006/2007,Saskatchewan,"Total, custodial admissions",Female,1038
2006/2007,Saskatchewan,"Total, custodial admissions",Sex unknown,0
2006/2007,Saskatchewan,Sentenced,"Total, custodial admission by sex",3502
2006/2007,Saskatchewan,Sentenced,Male,3034
2006/2007,Saskatchewan,Sentenced,Female,468
2006/2007,Saskatchewan,Sentenced,Sex unknown,0
2006/2007,Saskatchewan,Remand,"Total, custodial admission by sex",5728
2006/2007,Saskatchewan,Remand,Male,5188
2006/2007,Saskatchewan,Remand,Female,540
2006/2007,Saskatchewan,Remand,Sex unknown,0
2006/2007,Saskatchewan,Other custodial statuses,"Total, custodial admission by sex",186
2006/2007,Saskatchewan,Other custodial statuses,Male,156
2006/2007,Saskatchewan,Other custodial statuses,Female,30
2006/2007,Saskatchewan,Other custodial statuses,Sex unknown,0
2006/2007,Alberta,"Total, custodial admissions","Total, custodial admission by sex",39106
2006/2007,Alberta,"Total, custodial admissions",Male,33722
2006/2007,Alberta,"Total, custodial admissions",Female,5384
2006/2007,Alberta,"Total, custodial admissions",Sex unknown,0
2006/2007,Alberta,Sentenced,"Total, custodial admission by sex",17426
2006/2007,Alberta,Sentenced,Male,15054
2006/2007,Alberta,Sentenced,Female,2372
2006/2007,Alberta,Sentenced,Sex unknown,0
2006/2007,Alberta,Remand,"Total, custodial admission by sex",21680
2006/2007,Alberta,Remand,Male,18668
2006/2007,Alberta,Remand,Female,3012
2006/2007,Alberta,Remand,Sex unknown,0
2006/2007,Alberta,Other custodial statuses,"Total, custodial admission by sex",0
2006/2007,Alberta,Other custodial statuses,Male,0
2006/2007,Alberta,Other custodial statuses,Female,0
2006/2007,Alberta,Other custodial statuses,Sex unknown,0
2006/2007,British Columbia,"Total, custodial admissions","Total, custodial admission by sex",23596
2006/2007,British Columbia,"Total, custodial admissions",Male,20674
2006/2007,British Columbia,"Total, custodial admissions",Female,2922
2006/2007,British Columbia,"Total, custodial admissions",Sex unknown,0
2006/2007,British Columbia,Sentenced,"Total, custodial admission by sex",9747
2006/2007,British Columbia,Sentenced,Male,8689
2006/2007,British Columbia,Sentenced,Female,1058
2006/2007,British Columbia,Sentenced,Sex unknown,0
2006/2007,British Columbia,Remand,"Total, custodial admission by sex",13849
2006/2007,British Columbia,Remand,Male,11985
2006/2007,British Columbia,Remand,Female,1864
2006/2007,British Columbia,Remand,Sex unknown,0
2006/2007,British Columbia,Other custodial statuses,"Total, custodial admission by sex",
2006/2007,British Columbia,Other custodial statuses,Male,
2006/2007,British Columbia,Other custodial statuses,Female,
2006/2007,British Columbia,Other custodial statuses,Sex unknown,
2006/2007,Yukon,"Total, custodial admissions","Total, custodial admission by sex",578
2006/2007,Yukon,"Total, custodial admissions",Male,508
2006/2007,Yukon,"Total, custodial admissions",Female,70
2006/2007,Yukon,"Total, custodial admissions",Sex unknown,0
2006/2007,Yukon,Sentenced,"Total, custodial admission by sex",189
2006/2007,Yukon,Sentenced,Male,167
2006/2007,Yukon,Sentenced,Female,22
2006/2007,Yukon,Sentenced,Sex unknown,0
2006/2007,Yukon,Remand,"Total, custodial admission by sex",376
2006/2007,Yukon,Remand,Male,329
2006/2007,Yukon,Remand,Female,47
2006/2007,Yukon,Remand,Sex unknown,0
2006/2007,Yukon,Other custodial statuses,"Total, custodial admission by sex",13
2006/2007,Yukon,Other custodial statuses,Male,12
2006/2007,Yukon,Other custodial statuses,Female,1
2006/2007,Yukon,Other custodial statuses,Sex unknown,0
2006/2007,Northwest Territories,"Total, custodial admissions","Total, custodial admission by sex",720
2006/2007,Northwest Territories,"Total, custodial admissions",Male,651
2006/2007,Northwest Territories,"Total, custodial admissions",Female,69
2006/2007,Northwest Territories,"Total, custodial admissions",Sex unknown,0
2006/2007,Northwest Territories,Sentenced,"Total, custodial admission by sex",440
2006/2007,Northwest Territories,Sentenced,Male,395
2006/2007,Northwest Territories,Sentenced,Female,45
2006/2007,Northwest Territories,Sentenced,Sex unknown,0
2006/2007,Northwest Territories,Remand,"Total, custodial admission by sex",279
2006/2007,Northwest Territories,Remand,Male,255
2006/2007,Northwest Territories,Remand,Female,24
2006/2007,Northwest Territories,Remand,Sex unknown,0
2006/2007,Northwest Territories,Other custodial statuses,"Total, custodial admission by sex",1
2006/2007,Northwest Territories,Other custodial statuses,Male,1
2006/2007,Northwest Territories,Other custodial statuses,Female,0
2006/2007,Northwest Territories,Other custodial statuses,Sex unknown,0
2006/2007,Nunavut,"Total, custodial admissions","Total, custodial admission by sex",751
2006/2007,Nunavut,"Total, custodial admissions",Male,726
2006/2007,Nunavut,"Total, custodial admissions",Female,25
2006/2007,Nunavut,"Total, custodial admissions",Sex unknown,0
2006/2007,Nunavut,Sentenced,"Total, custodial admission by sex",400
2006/2007,Nunavut,Sentenced,Male,389
2006/2007,Nunavut,Sentenced,Female,11
2006/2007,Nunavut,Sentenced,Sex unknown,0
2006/2007,Nunavut,Remand,"Total, custodial admission by sex",351
2006/2007,Nunavut,Remand,Male,337
2006/2007,Nunavut,Remand,Female,14
2006/2007,Nunavut,Remand,Sex unknown,0
2007/2008,All Provinces and territories,"Total, custodial admissions","Total, custodial admission by sex",254751
2007/2008,All Provinces and territories,"Total, custodial admissions",Male,223437
2007/2008,All Provinces and territories,"Total, custodial admissions",Female,31188
2007/2008,All Provinces and territories,"Total, custodial admissions",Sex unknown,126
2007/2008,All Provinces and territories,Sentenced,"Total, custodial admission by sex",81853
2007/2008,All Provinces and territories,Sentenced,Male,72748
2007/2008,All Provinces and territories,Sentenced,Female,9049
2007/2008,All Provinces and territories,Sentenced,Sex unknown,56
2007/2008,All Provinces and territories,Remand,"Total, custodial admission by sex",155808
2007/2008,All Provinces and territories,Remand,Male,135794
2007/2008,All Provinces and territories,Remand,Female,19945
2007/2008,All Provinces and territories,Remand,Sex unknown,69
2007/2008,All Provinces and territories,Other custodial statuses,"Total, custodial admission by sex",17090
2007/2008,All Provinces and territories,Other custodial statuses,Male,14895
2007/2008,All Provinces and territories,Other custodial statuses,Female,2194
2007/2008,All Provinces and territories,Other custodial statuses,Sex unknown,1
2007/2008,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admission by sex",1677
2007/2008,Newfoundland and Labrador,"Total, custodial admissions",Male,1555
2007/2008,Newfoundland and Labrador,"Total, custodial admissions",Female,110
2007/2008,Newfoundland and Labrador,"Total, custodial admissions",Sex unknown,12
2007/2008,Newfoundland and Labrador,Sentenced,"Total, custodial admission by sex",1009
2007/2008,Newfoundland and Labrador,Sentenced,Male,933
2007/2008,Newfoundland and Labrador,Sentenced,Female,65
2007/2008,Newfoundland and Labrador,Sentenced,Sex unknown,11
2007/2008,Newfoundland and Labrador,Remand,"Total, custodial admission by sex",549
2007/2008,Newfoundland and Labrador,Remand,Male,508
2007/2008,Newfoundland and Labrador,Remand,Female,40
2007/2008,Newfoundland and Labrador,Remand,Sex unknown,1
