REF_DATE,GEO,Custodial and community supervision,VALUE
1990/1991,British Columbia,On-register count,
1990/1991,British Columbia,"Incarceration rates per 100,000 adults",70.33
1990/1991,British Columbia,Total community supervision count,10351
1990/1991,British Columbia,"Probation, community supervision",9996
1990/1991,British Columbia,"Conditional sentence, community supervision",
1990/1991,British Columbia,"Provincial parole, community supervision",355
1990/1991,British Columbia,"Probation rates per 100,000 adults",399.23
1990/1991,Yukon,Total actual-in count,91
1990/1991,Yukon,"Sentenced, actual-in count",78
1990/1991,Yukon,"Remand, actual-in count",13
1990/1991,Yukon,"Other statuses, actual-in count",
1990/1991,Yukon,On-register count,91
1990/1991,Yukon,"Incarceration rates per 100,000 adults",458.97
1990/1991,Yukon,Total community supervision count,809
1990/1991,Yukon,"Probation, community supervision",809
1990/1991,Yukon,"Conditional sentence, community supervision",
1990/1991,Yukon,"Probation rates per 100,000 adults",4080.29
1990/1991,Northwest Territories including Nunavut,Total actual-in count,252
1990/1991,Northwest Territories including Nunavut,"Sentenced, actual-in count",227
1990/1991,Northwest Territories including Nunavut,"Remand, actual-in count",25
1990/1991,Northwest Territories including Nunavut,"Incarceration rates per 100,000 adults",678.24
1990/1991,Northwest Territories including Nunavut,Total community supervision count,611
1990/1991,Northwest Territories including Nunavut,"Probation, community supervision",611
1990/1991,Northwest Territories including Nunavut,"Probation rates per 100,000 adults",1644.46
1990/1991,Northwest Territories,Total actual-in count,
1990/1991,Northwest Territories,"Sentenced, actual-in count",
1990/1991,Northwest Territories,"Remand, actual-in count",
1990/1991,Northwest Territories,"Other statuses, actual-in count",
1990/1991,Northwest Territories,On-register count,
1990/1991,Northwest Territories,"Incarceration rates per 100,000 adults",
1990/1991,Northwest Territories,Total community supervision count,
1990/1991,Northwest Territories,"Probation, community supervision",
1990/1991,Northwest Territories,"Conditional sentence, community supervision",
1990/1991,Northwest Territories,"Probation rates per 100,000 adults",
1990/1991,Nunavut,Total actual-in count,
1990/1991,Nunavut,"Sentenced, actual-in count",
1990/1991,Nunavut,"Remand, actual-in count",
1990/1991,Nunavut,"Other statuses, actual-in count",
1990/1991,Nunavut,On-register count,
1990/1991,Nunavut,"Incarceration rates per 100,000 adults",
1990/1991,Nunavut,Total community supervision count,
1990/1991,Nunavut,"Probation, community supervision",
1990/1991,Nunavut,"Conditional sentence, community supervision",
1990/1991,Nunavut,"Probation rates per 100,000 adults",
1991/1992,Provinces and Territories,Total actual-in count,18940
1991/1992,Provinces and Territories,"Sentenced, actual-in count",13925
1991/1992,Provinces and Territories,"Remand, actual-in count",4947
1991/1992,Provinces and Territories,"Other statuses, actual-in count",68
1991/1992,Provinces and Territories,On-register count,21326
1991/1992,Provinces and Territories,"Incarceration rates per 100,000 adults",89.79
1991/1992,Provinces and Territories,Total community supervision count,95970
1991/1992,Provinces and Territories,"Probation, community supervision",93314
1991/1992,Provinces and Territories,"Conditional sentence, community supervision",
1991/1992,Provinces and Territories,"Provincial parole, community supervision",2656
1991/1992,Provinces and Territories,"Probation rates per 100,000 adults",442.37
1991/1992,Newfoundland and Labrador,Total actual-in count,354
1991/1992,Newfoundland and Labrador,"Sentenced, actual-in count",323
1991/1992,Newfoundland and Labrador,"Remand, actual-in count",31
1991/1992,Newfoundland and Labrador,"Other statuses, actual-in count",
1991/1992,Newfoundland and Labrador,On-register count,415
1991/1992,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",84.56
1991/1992,Newfoundland and Labrador,Total community supervision count,1949
1991/1992,Newfoundland and Labrador,"Probation, community supervision",1949
1991/1992,Newfoundland and Labrador,"Conditional sentence, community supervision",
1991/1992,Newfoundland and Labrador,"Probation rates per 100,000 adults",465.55
1991/1992,Prince Edward Island,Total actual-in count,108
1991/1992,Prince Edward Island,"Sentenced, actual-in count",92
1991/1992,Prince Edward Island,"Remand, actual-in count",16
1991/1992,Prince Edward Island,"Other statuses, actual-in count",
1991/1992,Prince Edward Island,On-register count,108
1991/1992,Prince Edward Island,"Incarceration rates per 100,000 adults",113.73
1991/1992,Prince Edward Island,Total community supervision count,728
1991/1992,Prince Edward Island,"Probation, community supervision",728
1991/1992,Prince Edward Island,"Conditional sentence, community supervision",
1991/1992,Prince Edward Island,"Probation rates per 100,000 adults",766.61
1991/1992,Nova Scotia,Total actual-in count,396
1991/1992,Nova Scotia,"Sentenced, actual-in count",340
1991/1992,Nova Scotia,"Remand, actual-in count",56
1991/1992,Nova Scotia,"Other statuses, actual-in count",
1991/1992,Nova Scotia,On-register count,437
1991/1992,Nova Scotia,"Incarceration rates per 100,000 adults",57.45
1991/1992,Nova Scotia,Total community supervision count,3563
1991/1992,Nova Scotia,"Probation, community supervision",3563
1991/1992,Nova Scotia,"Conditional sentence, community supervision",
1991/1992,Nova Scotia,"Probation rates per 100,000 adults",516.87
1991/1992,New Brunswick,Total actual-in count,416
1991/1992,New Brunswick,"Sentenced, actual-in count",371
1991/1992,New Brunswick,"Remand, actual-in count",36
1991/1992,New Brunswick,"Other statuses, actual-in count",9
1991/1992,New Brunswick,On-register count,419
1991/1992,New Brunswick,"Incarceration rates per 100,000 adults",74.79
1991/1992,New Brunswick,Total community supervision count,2136
1991/1992,New Brunswick,"Probation, community supervision",2136
1991/1992,New Brunswick,"Conditional sentence, community supervision",
1991/1992,New Brunswick,"Probation rates per 100,000 adults",384
1991/1992,Quebec,Total actual-in count,3344
1991/1992,Quebec,"Sentenced, actual-in count",2099
1991/1992,Quebec,"Remand, actual-in count",1245
1991/1992,Quebec,On-register count,5131
1991/1992,Quebec,"Incarceration rates per 100,000 adults",62.1
1991/1992,Quebec,Total community supervision count,12482
1991/1992,Quebec,"Probation, community supervision",11584
1991/1992,Quebec,"Conditional sentence, community supervision",
1991/1992,Quebec,"Provincial parole, community supervision",898
1991/1992,Quebec,"Probation rates per 100,000 adults",215.11
1991/1992,Ontario,Total actual-in count,7381
1991/1992,Ontario,"Sentenced, actual-in count",5052
1991/1992,Ontario,"Remand, actual-in count",2270
1991/1992,Ontario,"Other statuses, actual-in count",59
1991/1992,Ontario,On-register count,8288
1991/1992,Ontario,"Incarceration rates per 100,000 adults",93.27
1991/1992,Ontario,Total community supervision count,47712
1991/1992,Ontario,"Probation, community supervision",46284
1991/1992,Ontario,"Conditional sentence, community supervision",
1991/1992,Ontario,"Provincial parole, community supervision",1428
1991/1992,Ontario,"Probation rates per 100,000 adults",584.87
1991/1992,Manitoba,Total actual-in count,959
1991/1992,Manitoba,"Sentenced, actual-in count",721
1991/1992,Manitoba,"Remand, actual-in count",238
1991/1992,Manitoba,"Other statuses, actual-in count",
1991/1992,Manitoba,On-register count,1183
1991/1992,Manitoba,"Incarceration rates per 100,000 adults",117.22
1991/1992,Manitoba,Total community supervision count,4758
1991/1992,Manitoba,"Probation, community supervision",4758
1991/1992,Manitoba,"Conditional sentence, community supervision",
1991/1992,Manitoba,"Probation rates per 100,000 adults",581.59
1991/1992,Saskatchewan,Total actual-in count,1315
1991/1992,Saskatchewan,"Sentenced, actual-in count",1136
1991/1992,Saskatchewan,"Remand, actual-in count",179
1991/1992,Saskatchewan,On-register count,1531
1991/1992,Saskatchewan,"Incarceration rates per 100,000 adults",183.17
1991/1992,Saskatchewan,Total community supervision count,3453
1991/1992,Saskatchewan,"Probation, community supervision",3453
1991/1992,Saskatchewan,"Conditional sentence, community supervision",
1991/1992,Saskatchewan,"Probation rates per 100,000 adults",480.98
1991/1992,Alberta,Total actual-in count,2429
1991/1992,Alberta,"Sentenced, actual-in count",1952
1991/1992,Alberta,"Remand, actual-in count",477
1991/1992,Alberta,On-register count,3729
1991/1992,Alberta,"Incarceration rates per 100,000 adults",129.67
1991/1992,Alberta,Total community supervision count,6901
1991/1992,Alberta,"Probation, community supervision",6901
1991/1992,Alberta,"Conditional sentence, community supervision",
1991/1992,Alberta,"Probation rates per 100,000 adults",368.41
1991/1992,British Columbia,Total actual-in count,1895
1991/1992,British Columbia,"Sentenced, actual-in count",1528
1991/1992,British Columbia,"Remand, actual-in count",367
1991/1992,British Columbia,"Other statuses, actual-in count",
1991/1992,British Columbia,On-register count,
1991/1992,British Columbia,"Incarceration rates per 100,000 adults",73.8
1991/1992,British Columbia,Total community supervision count,11233
1991/1992,British Columbia,"Probation, community supervision",10903
1991/1992,British Columbia,"Conditional sentence, community supervision",
1991/1992,British Columbia,"Provincial parole, community supervision",330
1991/1992,British Columbia,"Probation rates per 100,000 adults",424.59
1991/1992,Yukon,Total actual-in count,84
1991/1992,Yukon,"Sentenced, actual-in count",70
1991/1992,Yukon,"Remand, actual-in count",14
1991/1992,Yukon,"Other statuses, actual-in count",
1991/1992,Yukon,On-register count,85
1991/1992,Yukon,"Incarceration rates per 100,000 adults",405.37
1991/1992,Yukon,Total community supervision count,713
1991/1992,Yukon,"Probation, community supervision",713
1991/1992,Yukon,"Conditional sentence, community supervision",
1991/1992,Yukon,"Probation rates per 100,000 adults",3440.79
1991/1992,Northwest Territories including Nunavut,Total actual-in count,259
1991/1992,Northwest Territories including Nunavut,"Sentenced, actual-in count",241
1991/1992,Northwest Territories including Nunavut,"Remand, actual-in count",18
1991/1992,Northwest Territories including Nunavut,"Incarceration rates per 100,000 adults",673.09
1991/1992,Northwest Territories including Nunavut,Total community supervision count,342
1991/1992,Northwest Territories including Nunavut,"Probation, community supervision",342
1991/1992,Northwest Territories including Nunavut,"Probation rates per 100,000 adults",888.8
1991/1992,Northwest Territories,Total actual-in count,
1991/1992,Northwest Territories,"Sentenced, actual-in count",
1991/1992,Northwest Territories,"Remand, actual-in count",
1991/1992,Northwest Territories,"Other statuses, actual-in count",
1991/1992,Northwest Territories,On-register count,
1991/1992,Northwest Territories,"Incarceration rates per 100,000 adults",
1991/1992,Northwest Territories,Total community supervision count,
1991/1992,Northwest Territories,"Probation, community supervision",
1991/1992,Northwest Territories,"Conditional sentence, community supervision",
1991/1992,Northwest Territories,"Probation rates per 100,000 adults",
1991/1992,Nunavut,Total actual-in count,
1991/1992,Nunavut,"Sentenced, actual-in count",
1991/1992,Nunavut,"Remand, actual-in count",
1991/1992,Nunavut,"Other statuses, actual-in count",
1991/1992,Nunavut,On-register count,
1991/1992,Nunavut,"Incarceration rates per 100,000 adults",
1991/1992,Nunavut,Total community supervision count,
1991/1992,Nunavut,"Probation, community supervision",
1991/1992,Nunavut,"Conditional sentence, community supervision",
1991/1992,Nunavut,"Probation rates per 100,000 adults",
1992/1993,Provinces and Territories,Total actual-in count,19367
1992/1993,Provinces and Territories,"Sentenced, actual-in count",14135
1992/1993,Provinces and Territories,"Remand, actual-in count",5111
1992/1993,Provinces and Territories,"Other statuses, actual-in count",121
1992/1993,Provinces and Territories,On-register count,22418
1992/1993,Provinces and Territories,"Incarceration rates per 100,000 adults",90.74
1992/1993,Provinces and Territories,Total community supervision count,103579
1992/1993,Provinces and Territories,"Probation, community supervision",100386
1992/1993,Provinces and Territories,"Conditional sentence, community supervision",
1992/1993,Provinces and Territories,"Provincial parole, community supervision",3193
1992/1993,Provinces and Territories,"Probation rates per 100,000 adults",470.34
1992/1993,Newfoundland and Labrador,Total actual-in count,410
1992/1993,Newfoundland and Labrador,"Sentenced, actual-in count",373
1992/1993,Newfoundland and Labrador,"Remand, actual-in count",37
1992/1993,Newfoundland and Labrador,"Other statuses, actual-in count",
1992/1993,Newfoundland and Labrador,On-register count,470
1992/1993,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",96.91
1992/1993,Newfoundland and Labrador,Total community supervision count,2119
1992/1993,Newfoundland and Labrador,"Probation, community supervision",2119
1992/1993,Newfoundland and Labrador,"Conditional sentence, community supervision",
1992/1993,Newfoundland and Labrador,"Probation rates per 100,000 adults",500.87
1992/1993,Prince Edward Island,Total actual-in count,115
1992/1993,Prince Edward Island,"Sentenced, actual-in count",99
1992/1993,Prince Edward Island,"Remand, actual-in count",16
1992/1993,Prince Edward Island,"Other statuses, actual-in count",
1992/1993,Prince Edward Island,On-register count,115
1992/1993,Prince Edward Island,"Incarceration rates per 100,000 adults",120.31
1992/1993,Prince Edward Island,Total community supervision count,830
1992/1993,Prince Edward Island,"Probation, community supervision",830
1992/1993,Prince Edward Island,"Conditional sentence, community supervision",
1992/1993,Prince Edward Island,"Probation rates per 100,000 adults",868.3
1992/1993,Nova Scotia,Total actual-in count,395
1992/1993,Nova Scotia,"Sentenced, actual-in count",335
1992/1993,Nova Scotia,"Remand, actual-in count",60
1992/1993,Nova Scotia,"Other statuses, actual-in count",
1992/1993,Nova Scotia,On-register count,480
1992/1993,Nova Scotia,"Incarceration rates per 100,000 adults",56.87
1992/1993,Nova Scotia,Total community supervision count,4561
1992/1993,Nova Scotia,"Probation, community supervision",4561
1992/1993,Nova Scotia,"Conditional sentence, community supervision",
1992/1993,Nova Scotia,"Probation rates per 100,000 adults",656.62
1992/1993,New Brunswick,Total actual-in count,464
1992/1993,New Brunswick,"Sentenced, actual-in count",414
1992/1993,New Brunswick,"Remand, actual-in count",42
1992/1993,New Brunswick,"Other statuses, actual-in count",8
1992/1993,New Brunswick,On-register count,494
1992/1993,New Brunswick,"Incarceration rates per 100,000 adults",82.7
1992/1993,New Brunswick,Total community supervision count,2435
1992/1993,New Brunswick,"Probation, community supervision",2435
1992/1993,New Brunswick,"Conditional sentence, community supervision",
1992/1993,New Brunswick,"Probation rates per 100,000 adults",434.02
1992/1993,Quebec,Total actual-in count,3556
1992/1993,Quebec,"Sentenced, actual-in count",2269
1992/1993,Quebec,"Remand, actual-in count",1287
1992/1993,Quebec,On-register count,5568
1992/1993,Quebec,"Incarceration rates per 100,000 adults",65.67
1992/1993,Quebec,Total community supervision count,13379
1992/1993,Quebec,"Probation, community supervision",12047
1992/1993,Quebec,"Conditional sentence, community supervision",
1992/1993,Quebec,"Provincial parole, community supervision",1332
1992/1993,Quebec,"Probation rates per 100,000 adults",222.48
1992/1993,Ontario,Total actual-in count,7421
1992/1993,Ontario,"Sentenced, actual-in count",4955
1992/1993,Ontario,"Remand, actual-in count",2381
1992/1993,Ontario,"Other statuses, actual-in count",85
1992/1993,Ontario,On-register count,8416
1992/1993,Ontario,"Incarceration rates per 100,000 adults",92.65
1992/1993,Ontario,Total community supervision count,52116
1992/1993,Ontario,"Probation, community supervision",50558
1992/1993,Ontario,"Conditional sentence, community supervision",
1992/1993,Ontario,"Provincial parole, community supervision",1558
1992/1993,Ontario,"Probation rates per 100,000 adults",631.19
1992/1993,Manitoba,Total actual-in count,939
1992/1993,Manitoba,"Sentenced, actual-in count",672
1992/1993,Manitoba,"Remand, actual-in count",239
1992/1993,Manitoba,"Other statuses, actual-in count",28
1992/1993,Manitoba,On-register count,1191
1992/1993,Manitoba,"Incarceration rates per 100,000 adults",114.38
1992/1993,Manitoba,Total community supervision count,5066
1992/1993,Manitoba,"Probation, community supervision",5066
1992/1993,Manitoba,"Conditional sentence, community supervision",
1992/1993,Manitoba,"Probation rates per 100,000 adults",617.08
1992/1993,Saskatchewan,Total actual-in count,1198
1992/1993,Saskatchewan,"Sentenced, actual-in count",1042
1992/1993,Saskatchewan,"Remand, actual-in count",156
1992/1993,Saskatchewan,On-register count,1490
1992/1993,Saskatchewan,"Incarceration rates per 100,000 adults",166.38
1992/1993,Saskatchewan,Total community supervision count,3149
1992/1993,Saskatchewan,"Probation, community supervision",3149
1992/1993,Saskatchewan,"Conditional sentence, community supervision",
1992/1993,Saskatchewan,"Probation rates per 100,000 adults",437.34
1992/1993,Alberta,Total actual-in count,2584
1992/1993,Alberta,"Sentenced, actual-in count",2112
1992/1993,Alberta,"Remand, actual-in count",472
1992/1993,Alberta,On-register count,4113
1992/1993,Alberta,"Incarceration rates per 100,000 adults",135.83
1992/1993,Alberta,Total community supervision count,7345
1992/1993,Alberta,"Probation, community supervision",7345
1992/1993,Alberta,"Conditional sentence, community supervision",
1992/1993,Alberta,"Probation rates per 100,000 adults",386.1
1992/1993,British Columbia,Total actual-in count,1927
1992/1993,British Columbia,"Sentenced, actual-in count",1548
1992/1993,British Columbia,"Remand, actual-in count",379
1992/1993,British Columbia,"Other statuses, actual-in count",
1992/1993,British Columbia,On-register count,
1992/1993,British Columbia,"Incarceration rates per 100,000 adults",72.99
1992/1993,British Columbia,Total community supervision count,11429
1992/1993,British Columbia,"Probation, community supervision",11126
1992/1993,British Columbia,"Conditional sentence, community supervision",
1992/1993,British Columbia,"Provincial parole, community supervision",303
1992/1993,British Columbia,"Probation rates per 100,000 adults",421.43
1992/1993,Yukon,Total actual-in count,80
1992/1993,Yukon,"Sentenced, actual-in count",64
1992/1993,Yukon,"Remand, actual-in count",16
1992/1993,Yukon,"Other statuses, actual-in count",
1992/1993,Yukon,On-register count,81
1992/1993,Yukon,"Incarceration rates per 100,000 adults",372.32
1992/1993,Yukon,Total community supervision count,700
1992/1993,Yukon,"Probation, community supervision",700
1992/1993,Yukon,"Conditional sentence, community supervision",
1992/1993,Yukon,"Probation rates per 100,000 adults",3257.78
1992/1993,Northwest Territories including Nunavut,Total actual-in count,278
1992/1993,Northwest Territories including Nunavut,"Sentenced, actual-in count",252
1992/1993,Northwest Territories including Nunavut,"Remand, actual-in count",26
1992/1993,Northwest Territories including Nunavut,"Incarceration rates per 100,000 adults",709.49
1992/1993,Northwest Territories including Nunavut,Total community supervision count,450
1992/1993,Northwest Territories including Nunavut,"Probation, community supervision",450
1992/1993,Northwest Territories including Nunavut,"Probation rates per 100,000 adults",1148.46
1992/1993,Northwest Territories,Total actual-in count,
1992/1993,Northwest Territories,"Sentenced, actual-in count",
1992/1993,Northwest Territories,"Remand, actual-in count",
1992/1993,Northwest Territories,"Other statuses, actual-in count",
1992/1993,Northwest Territories,On-register count,
1992/1993,Northwest Territories,"Incarceration rates per 100,000 adults",
1992/1993,Northwest Territories,Total community supervision count,
1992/1993,Northwest Territories,"Probation, community supervision",
1992/1993,Northwest Territories,"Conditional sentence, community supervision",
1992/1993,Northwest Territories,"Probation rates per 100,000 adults",
1992/1993,Nunavut,Total actual-in count,
1992/1993,Nunavut,"Sentenced, actual-in count",
1992/1993,Nunavut,"Remand, actual-in count",
1992/1993,Nunavut,"Other statuses, actual-in count",
1992/1993,Nunavut,On-register count,
1992/1993,Nunavut,"Incarceration rates per 100,000 adults",
1992/1993,Nunavut,Total community supervision count,
1992/1993,Nunavut,"Probation, community supervision",
1992/1993,Nunavut,"Conditional sentence, community supervision",
1992/1993,Nunavut,"Probation rates per 100,000 adults",
1993/1994,Provinces and Territories,Total actual-in count,19482
1993/1994,Provinces and Territories,"Sentenced, actual-in count",14252
1993/1994,Provinces and Territories,"Remand, actual-in count",5130
1993/1994,Provinces and Territories,"Other statuses, actual-in count",100
1993/1994,Provinces and Territories,On-register count,22331
1993/1994,Provinces and Territories,"Incarceration rates per 100,000 adults",90.18
1993/1994,Provinces and Territories,Total community supervision count,106262
1993/1994,Provinces and Territories,"Probation, community supervision",102402
1993/1994,Provinces and Territories,"Conditional sentence, community supervision",
1993/1994,Provinces and Territories,"Provincial parole, community supervision",3860
1993/1994,Provinces and Territories,"Probation rates per 100,000 adults",474.87
1993/1994,Newfoundland and Labrador,Total actual-in count,380
1993/1994,Newfoundland and Labrador,"Sentenced, actual-in count",346
1993/1994,Newfoundland and Labrador,"Remand, actual-in count",34
1993/1994,Newfoundland and Labrador,"Other statuses, actual-in count",
1993/1994,Newfoundland and Labrador,On-register count,422
1993/1994,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",89
1993/1994,Newfoundland and Labrador,Total community supervision count,2499
1993/1994,Newfoundland and Labrador,"Probation, community supervision",2499
1993/1994,Newfoundland and Labrador,"Conditional sentence, community supervision",
1993/1994,Newfoundland and Labrador,"Probation rates per 100,000 adults",585.29
1993/1994,Prince Edward Island,Total actual-in count,96
1993/1994,Prince Edward Island,"Sentenced, actual-in count",88
1993/1994,Prince Edward Island,"Remand, actual-in count",8
1993/1994,Prince Edward Island,"Other statuses, actual-in count",
1993/1994,Prince Edward Island,On-register count,96
1993/1994,Prince Edward Island,"Incarceration rates per 100,000 adults",99.08
1993/1994,Prince Edward Island,Total community supervision count,862
1993/1994,Prince Edward Island,"Probation, community supervision",862
1993/1994,Prince Edward Island,"Conditional sentence, community supervision",
1993/1994,Prince Edward Island,"Probation rates per 100,000 adults",889.62
1993/1994,Nova Scotia,Total actual-in count,436
1993/1994,Nova Scotia,"Sentenced, actual-in count",363
1993/1994,Nova Scotia,"Remand, actual-in count",73
1993/1994,Nova Scotia,"Other statuses, actual-in count",
1993/1994,Nova Scotia,On-register count,546
1993/1994,Nova Scotia,"Incarceration rates per 100,000 adults",62.27
1993/1994,Nova Scotia,Total community supervision count,4170
1993/1994,Nova Scotia,"Probation, community supervision",4170
1993/1994,Nova Scotia,"Conditional sentence, community supervision",
1993/1994,Nova Scotia,"Probation rates per 100,000 adults",595.53
1993/1994,New Brunswick,Total actual-in count,467
1993/1994,New Brunswick,"Sentenced, actual-in count",410
1993/1994,New Brunswick,"Remand, actual-in count",46
1993/1994,New Brunswick,"Other statuses, actual-in count",11
1993/1994,New Brunswick,On-register count,510
1993/1994,New Brunswick,"Incarceration rates per 100,000 adults",82.74
1993/1994,New Brunswick,Total community supervision count,2555
1993/1994,New Brunswick,"Probation, community supervision",2555
1993/1994,New Brunswick,"Conditional sentence, community supervision",
1993/1994,New Brunswick,"Probation rates per 100,000 adults",452.69
1993/1994,Quebec,Total actual-in count,3545
1993/1994,Quebec,"Sentenced, actual-in count",2328
1993/1994,Quebec,"Remand, actual-in count",1217
1993/1994,Quebec,On-register count,5727
1993/1994,Quebec,"Incarceration rates per 100,000 adults",64.96
1993/1994,Quebec,Total community supervision count,13628
1993/1994,Quebec,"Probation, community supervision",11824
1993/1994,Quebec,"Conditional sentence, community supervision",
1993/1994,Quebec,"Provincial parole, community supervision",1804
1993/1994,Quebec,"Probation rates per 100,000 adults",216.68
1993/1994,Ontario,Total actual-in count,7254
1993/1994,Ontario,"Sentenced, actual-in count",4786
1993/1994,Ontario,"Remand, actual-in count",2381
1993/1994,Ontario,"Other statuses, actual-in count",87
1993/1994,Ontario,On-register count,8283
1993/1994,Ontario,"Incarceration rates per 100,000 adults",89.57
1993/1994,Ontario,Total community supervision count,53769
1993/1994,Ontario,"Probation, community supervision",51997
1993/1994,Ontario,"Conditional sentence, community supervision",
1993/1994,Ontario,"Provincial parole, community supervision",1772
1993/1994,Ontario,"Probation rates per 100,000 adults",642.05
1993/1994,Manitoba,Total actual-in count,893
1993/1994,Manitoba,"Sentenced, actual-in count",654
1993/1994,Manitoba,"Remand, actual-in count",237
1993/1994,Manitoba,"Other statuses, actual-in count",2
1993/1994,Manitoba,On-register count,1151
1993/1994,Manitoba,"Incarceration rates per 100,000 adults",108.15
1993/1994,Manitoba,Total community supervision count,5385
1993/1994,Manitoba,"Probation, community supervision",5385
1993/1994,Manitoba,"Conditional sentence, community supervision",
1993/1994,Manitoba,"Probation rates per 100,000 adults",652.16
1993/1994,Saskatchewan,Total actual-in count,1214
1993/1994,Saskatchewan,"Sentenced, actual-in count",1060
1993/1994,Saskatchewan,"Remand, actual-in count",154
1993/1994,Saskatchewan,On-register count,1479
1993/1994,Saskatchewan,"Incarceration rates per 100,000 adults",167.8
1993/1994,Saskatchewan,Total community supervision count,3277
1993/1994,Saskatchewan,"Probation, community supervision",3277
1993/1994,Saskatchewan,"Conditional sentence, community supervision",
1993/1994,Saskatchewan,"Probation rates per 100,000 adults",452.96
1993/1994,Alberta,Total actual-in count,2718
1993/1994,Alberta,"Sentenced, actual-in count",2240
1993/1994,Alberta,"Remand, actual-in count",478
1993/1994,Alberta,On-register count,4035
1993/1994,Alberta,"Incarceration rates per 100,000 adults",140.76
1993/1994,Alberta,Total community supervision count,7415
1993/1994,Alberta,"Probation, community supervision",7415
1993/1994,Alberta,"Conditional sentence, community supervision",
1993/1994,Alberta,"Probation rates per 100,000 adults",384
1993/1994,British Columbia,Total actual-in count,2113
1993/1994,British Columbia,"Sentenced, actual-in count",1664
1993/1994,British Columbia,"Remand, actual-in count",449
1993/1994,British Columbia,"Other statuses, actual-in count",
1993/1994,British Columbia,On-register count,
1993/1994,British Columbia,"Incarceration rates per 100,000 adults",77.73
1993/1994,British Columbia,Total community supervision count,12269
1993/1994,British Columbia,"Probation, community supervision",11985
1993/1994,British Columbia,"Conditional sentence, community supervision",
1993/1994,British Columbia,"Provincial parole, community supervision",284
1993/1994,British Columbia,"Probation rates per 100,000 adults",440.91
1993/1994,Yukon,Total actual-in count,73
1993/1994,Yukon,"Sentenced, actual-in count",55
1993/1994,Yukon,"Remand, actual-in count",18
1993/1994,Yukon,"Other statuses, actual-in count",
1993/1994,Yukon,On-register count,82
1993/1994,Yukon,"Incarceration rates per 100,000 adults",335.31
1993/1994,Yukon,Total community supervision count,433
1993/1994,Yukon,"Probation, community supervision",433
1993/1994,Yukon,"Conditional sentence, community supervision",
1993/1994,Yukon,"Probation rates per 100,000 adults",1988.88
1993/1994,Northwest Territories including Nunavut,Total actual-in count,293
1993/1994,Northwest Territories including Nunavut,"Sentenced, actual-in count",258
1993/1994,Northwest Territories including Nunavut,"Remand, actual-in count",35
1993/1994,Northwest Territories including Nunavut,"Incarceration rates per 100,000 adults",735.37
1993/1994,Northwest Territories including Nunavut,Total community supervision count,
1993/1994,Northwest Territories including Nunavut,"Probation, community supervision",
1993/1994,Northwest Territories including Nunavut,"Probation rates per 100,000 adults",
1993/1994,Northwest Territories,Total actual-in count,
1993/1994,Northwest Territories,"Sentenced, actual-in count",
1993/1994,Northwest Territories,"Remand, actual-in count",
1993/1994,Northwest Territories,"Other statuses, actual-in count",
1993/1994,Northwest Territories,On-register count,
1993/1994,Northwest Territories,"Incarceration rates per 100,000 adults",
1993/1994,Northwest Territories,Total community supervision count,
1993/1994,Northwest Territories,"Probation, community supervision",
1993/1994,Northwest Territories,"Conditional sentence, community supervision",
1993/1994,Northwest Territories,"Probation rates per 100,000 adults",
1993/1994,Nunavut,Total actual-in count,
1993/1994,Nunavut,"Sentenced, actual-in count",
1993/1994,Nunavut,"Remand, actual-in count",
1993/1994,Nunavut,"Other statuses, actual-in count",
1993/1994,Nunavut,On-register count,
1993/1994,Nunavut,"Incarceration rates per 100,000 adults",
1993/1994,Nunavut,Total community supervision count,
1993/1994,Nunavut,"Probation, community supervision",
1993/1994,Nunavut,"Conditional sentence, community supervision",
1993/1994,Nunavut,"Probation rates per 100,000 adults",
1994/1995,Provinces and Territories,Total actual-in count,19812
1994/1995,Provinces and Territories,"Sentenced, actual-in count",14317
1994/1995,Provinces and Territories,"Remand, actual-in count",5327
1994/1995,Provinces and Territories,"Other statuses, actual-in count",168
1994/1995,Provinces and Territories,On-register count,23702
1994/1995,Provinces and Territories,"Incarceration rates per 100,000 adults",90.57
1994/1995,Provinces and Territories,Total community supervision count,104631
1994/1995,Provinces and Territories,"Probation, community supervision",100955
1994/1995,Provinces and Territories,"Conditional sentence, community supervision",
1994/1995,Provinces and Territories,"Provincial parole, community supervision",3676
1994/1995,Provinces and Territories,"Probation rates per 100,000 adults",461.53
1994/1995,Newfoundland and Labrador,Total actual-in count,393
1994/1995,Newfoundland and Labrador,"Sentenced, actual-in count",354
1994/1995,Newfoundland and Labrador,"Remand, actual-in count",39
1994/1995,Newfoundland and Labrador,"Other statuses, actual-in count",
1994/1995,Newfoundland and Labrador,On-register count,444
1994/1995,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",92.1
1994/1995,Newfoundland and Labrador,Total community supervision count,2620
1994/1995,Newfoundland and Labrador,"Probation, community supervision",2620
1994/1995,Newfoundland and Labrador,"Conditional sentence, community supervision",
1994/1995,Newfoundland and Labrador,"Probation rates per 100,000 adults",614
1994/1995,Prince Edward Island,Total actual-in count,95
1994/1995,Prince Edward Island,"Sentenced, actual-in count",84
