REF_DATE,GEO,Custodial admissions,Indigenous identity,VALUE
2003/2004,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",4198
2003/2004,Nova Scotia,"Total, custodial admissions",Indigenous identity,308
2003/2004,Nova Scotia,"Total, custodial admissions",Non-Indigenous identity,3886
2003/2004,Nova Scotia,"Total, custodial admissions",Indigenous identity unknown,4
2003/2004,Nova Scotia,Sentenced,"Total, custodial admissions by Indigenous identity",1828
2003/2004,Nova Scotia,Sentenced,Indigenous identity,131
2003/2004,Nova Scotia,Sentenced,Non-Indigenous identity,1693
2003/2004,Nova Scotia,Sentenced,Indigenous identity unknown,4
2003/2004,Nova Scotia,Remand,"Total, custodial admissions by Indigenous identity",2095
2003/2004,Nova Scotia,Remand,Indigenous identity,163
2003/2004,Nova Scotia,Remand,Non-Indigenous identity,1932
2003/2004,Nova Scotia,Remand,Indigenous identity unknown,0
2003/2004,Nova Scotia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",275
2003/2004,Nova Scotia,Other custodial statuses,Indigenous identity,14
2003/2004,Nova Scotia,Other custodial statuses,Non-Indigenous identity,261
2003/2004,Nova Scotia,Other custodial statuses,Indigenous identity unknown,0
2003/2004,New Brunswick,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",4504
2003/2004,New Brunswick,"Total, custodial admissions",Indigenous identity,361
2003/2004,New Brunswick,"Total, custodial admissions",Non-Indigenous identity,4103
2003/2004,New Brunswick,"Total, custodial admissions",Indigenous identity unknown,40
2003/2004,New Brunswick,Sentenced,"Total, custodial admissions by Indigenous identity",2486
2003/2004,New Brunswick,Sentenced,Indigenous identity,209
2003/2004,New Brunswick,Sentenced,Non-Indigenous identity,2250
2003/2004,New Brunswick,Sentenced,Indigenous identity unknown,27
2003/2004,New Brunswick,Remand,"Total, custodial admissions by Indigenous identity",1469
2003/2004,New Brunswick,Remand,Indigenous identity,124
2003/2004,New Brunswick,Remand,Non-Indigenous identity,1336
2003/2004,New Brunswick,Remand,Indigenous identity unknown,9
2003/2004,New Brunswick,Other custodial statuses,"Total, custodial admissions by Indigenous identity",549
2003/2004,New Brunswick,Other custodial statuses,Indigenous identity,28
2003/2004,New Brunswick,Other custodial statuses,Non-Indigenous identity,517
2003/2004,New Brunswick,Other custodial statuses,Indigenous identity unknown,4
2003/2004,Quebec,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",40543
2003/2004,Quebec,"Total, custodial admissions",Indigenous identity,1301
2003/2004,Quebec,"Total, custodial admissions",Non-Indigenous identity,38489
2003/2004,Quebec,"Total, custodial admissions",Indigenous identity unknown,753
2003/2004,Quebec,Sentenced,"Total, custodial admissions by Indigenous identity",11933
2003/2004,Quebec,Sentenced,Indigenous identity,280
2003/2004,Quebec,Sentenced,Non-Indigenous identity,11490
2003/2004,Quebec,Sentenced,Indigenous identity unknown,163
2003/2004,Quebec,Remand,"Total, custodial admissions by Indigenous identity",25761
2003/2004,Quebec,Remand,Indigenous identity,966
2003/2004,Quebec,Remand,Non-Indigenous identity,24242
2003/2004,Quebec,Remand,Indigenous identity unknown,553
2003/2004,Quebec,Other custodial statuses,"Total, custodial admissions by Indigenous identity",2849
2003/2004,Quebec,Other custodial statuses,Indigenous identity,55
2003/2004,Quebec,Other custodial statuses,Non-Indigenous identity,2757
2003/2004,Quebec,Other custodial statuses,Indigenous identity unknown,37
2003/2004,Ontario,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",90877
2003/2004,Ontario,"Total, custodial admissions",Indigenous identity,7744
2003/2004,Ontario,"Total, custodial admissions",Non-Indigenous identity,83133
2003/2004,Ontario,"Total, custodial admissions",Indigenous identity unknown,0
2003/2004,Ontario,Sentenced,"Total, custodial admissions by Indigenous identity",31357
2003/2004,Ontario,Sentenced,Indigenous identity,2764
2003/2004,Ontario,Sentenced,Non-Indigenous identity,28593
2003/2004,Ontario,Sentenced,Indigenous identity unknown,0
2003/2004,Ontario,Remand,"Total, custodial admissions by Indigenous identity",56423
2003/2004,Ontario,Remand,Indigenous identity,4825
2003/2004,Ontario,Remand,Non-Indigenous identity,51598
2003/2004,Ontario,Remand,Indigenous identity unknown,0
2003/2004,Ontario,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3097
2003/2004,Ontario,Other custodial statuses,Indigenous identity,155
2003/2004,Ontario,Other custodial statuses,Non-Indigenous identity,2942
2003/2004,Ontario,Other custodial statuses,Indigenous identity unknown,0
2003/2004,Manitoba,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",18761
2003/2004,Manitoba,"Total, custodial admissions",Indigenous identity,11399
2003/2004,Manitoba,"Total, custodial admissions",Non-Indigenous identity,7361
2003/2004,Manitoba,"Total, custodial admissions",Indigenous identity unknown,1
2003/2004,Manitoba,Sentenced,"Total, custodial admissions by Indigenous identity",3139
2003/2004,Manitoba,Sentenced,Indigenous identity,2141
2003/2004,Manitoba,Sentenced,Non-Indigenous identity,998
2003/2004,Manitoba,Sentenced,Indigenous identity unknown,0
2003/2004,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",8273
2003/2004,Manitoba,Remand,Indigenous identity,5137
2003/2004,Manitoba,Remand,Non-Indigenous identity,3136
2003/2004,Manitoba,Remand,Indigenous identity unknown,0
2003/2004,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",7349
2003/2004,Manitoba,Other custodial statuses,Indigenous identity,4121
2003/2004,Manitoba,Other custodial statuses,Non-Indigenous identity,3227
2003/2004,Manitoba,Other custodial statuses,Indigenous identity unknown,1
2003/2004,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",8951
2003/2004,Saskatchewan,"Total, custodial admissions",Indigenous identity,6854
2003/2004,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,1945
2003/2004,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,152
2003/2004,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",3312
2003/2004,Saskatchewan,Sentenced,Indigenous identity,2603
2003/2004,Saskatchewan,Sentenced,Non-Indigenous identity,671
2003/2004,Saskatchewan,Sentenced,Indigenous identity unknown,38
2003/2004,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",5464
2003/2004,Saskatchewan,Remand,Indigenous identity,4137
2003/2004,Saskatchewan,Remand,Non-Indigenous identity,1216
2003/2004,Saskatchewan,Remand,Indigenous identity unknown,111
2003/2004,Saskatchewan,Other custodial statuses,"Total, custodial admissions by Indigenous identity",175
2003/2004,Saskatchewan,Other custodial statuses,Indigenous identity,114
2003/2004,Saskatchewan,Other custodial statuses,Non-Indigenous identity,58
2003/2004,Saskatchewan,Other custodial statuses,Indigenous identity unknown,3
2003/2004,Alberta,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",
2003/2004,Alberta,"Total, custodial admissions",Indigenous identity,
2003/2004,Alberta,"Total, custodial admissions",Non-Indigenous identity,
2003/2004,Alberta,"Total, custodial admissions",Indigenous identity unknown,
2003/2004,Alberta,Sentenced,"Total, custodial admissions by Indigenous identity",
2003/2004,Alberta,Sentenced,Indigenous identity,
2003/2004,Alberta,Sentenced,Non-Indigenous identity,
2003/2004,Alberta,Sentenced,Indigenous identity unknown,
2003/2004,Alberta,Remand,"Total, custodial admissions by Indigenous identity",
2003/2004,Alberta,Remand,Indigenous identity,
2003/2004,Alberta,Remand,Non-Indigenous identity,
2003/2004,Alberta,Remand,Indigenous identity unknown,
2003/2004,Alberta,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2003/2004,Alberta,Other custodial statuses,Indigenous identity,
2003/2004,Alberta,Other custodial statuses,Non-Indigenous identity,
2003/2004,Alberta,Other custodial statuses,Indigenous identity unknown,
2003/2004,British Columbia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",34217
2003/2004,British Columbia,"Total, custodial admissions",Indigenous identity,6774
2003/2004,British Columbia,"Total, custodial admissions",Non-Indigenous identity,26577
2003/2004,British Columbia,"Total, custodial admissions",Indigenous identity unknown,866
2003/2004,British Columbia,Sentenced,"Total, custodial admissions by Indigenous identity",8812
2003/2004,British Columbia,Sentenced,Indigenous identity,1703
2003/2004,British Columbia,Sentenced,Non-Indigenous identity,6919
2003/2004,British Columbia,Sentenced,Indigenous identity unknown,190
2003/2004,British Columbia,Remand,"Total, custodial admissions by Indigenous identity",11840
2003/2004,British Columbia,Remand,Indigenous identity,2579
2003/2004,British Columbia,Remand,Non-Indigenous identity,9038
2003/2004,British Columbia,Remand,Indigenous identity unknown,223
2003/2004,British Columbia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",13565
2003/2004,British Columbia,Other custodial statuses,Indigenous identity,2492
2003/2004,British Columbia,Other custodial statuses,Non-Indigenous identity,10620
2003/2004,British Columbia,Other custodial statuses,Indigenous identity unknown,453
2003/2004,Yukon,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",565
2003/2004,Yukon,"Total, custodial admissions",Indigenous identity,422
2003/2004,Yukon,"Total, custodial admissions",Non-Indigenous identity,143
2003/2004,Yukon,"Total, custodial admissions",Indigenous identity unknown,0
2003/2004,Yukon,Sentenced,"Total, custodial admissions by Indigenous identity",192
2003/2004,Yukon,Sentenced,Indigenous identity,140
2003/2004,Yukon,Sentenced,Non-Indigenous identity,52
2003/2004,Yukon,Sentenced,Indigenous identity unknown,0
2003/2004,Yukon,Remand,"Total, custodial admissions by Indigenous identity",358
2003/2004,Yukon,Remand,Indigenous identity,279
2003/2004,Yukon,Remand,Non-Indigenous identity,79
2003/2004,Yukon,Remand,Indigenous identity unknown,0
2003/2004,Yukon,Other custodial statuses,"Total, custodial admissions by Indigenous identity",15
2003/2004,Yukon,Other custodial statuses,Indigenous identity,3
2003/2004,Yukon,Other custodial statuses,Non-Indigenous identity,12
2003/2004,Yukon,Other custodial statuses,Indigenous identity unknown,0
2003/2004,Northwest Territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",853
2003/2004,Northwest Territories,"Total, custodial admissions",Indigenous identity,738
2003/2004,Northwest Territories,"Total, custodial admissions",Non-Indigenous identity,113
2003/2004,Northwest Territories,"Total, custodial admissions",Indigenous identity unknown,2
2003/2004,Northwest Territories,Sentenced,"Total, custodial admissions by Indigenous identity",616
2003/2004,Northwest Territories,Sentenced,Indigenous identity,539
2003/2004,Northwest Territories,Sentenced,Non-Indigenous identity,77
2003/2004,Northwest Territories,Sentenced,Indigenous identity unknown,0
2003/2004,Northwest Territories,Remand,"Total, custodial admissions by Indigenous identity",233
2003/2004,Northwest Territories,Remand,Indigenous identity,197
2003/2004,Northwest Territories,Remand,Non-Indigenous identity,34
2003/2004,Northwest Territories,Remand,Indigenous identity unknown,2
2003/2004,Northwest Territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",4
2003/2004,Northwest Territories,Other custodial statuses,Indigenous identity,2
2003/2004,Northwest Territories,Other custodial statuses,Non-Indigenous identity,2
2003/2004,Northwest Territories,Other custodial statuses,Indigenous identity unknown,0
2003/2004,Nunavut,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",510
2003/2004,Nunavut,"Total, custodial admissions",Indigenous identity,492
2003/2004,Nunavut,"Total, custodial admissions",Non-Indigenous identity,0
2003/2004,Nunavut,"Total, custodial admissions",Indigenous identity unknown,18
2003/2004,Nunavut,Sentenced,"Total, custodial admissions by Indigenous identity",281
2003/2004,Nunavut,Sentenced,Indigenous identity,269
2003/2004,Nunavut,Sentenced,Non-Indigenous identity,0
2003/2004,Nunavut,Sentenced,Indigenous identity unknown,12
2003/2004,Nunavut,Remand,"Total, custodial admissions by Indigenous identity",229
2003/2004,Nunavut,Remand,Indigenous identity,223
2003/2004,Nunavut,Remand,Non-Indigenous identity,0
2003/2004,Nunavut,Remand,Indigenous identity unknown,6
2004/2005,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",204589
2004/2005,All Provinces and territories,"Total, custodial admissions",Indigenous identity,36566
2004/2005,All Provinces and territories,"Total, custodial admissions",Non-Indigenous identity,166370
2004/2005,All Provinces and territories,"Total, custodial admissions",Indigenous identity unknown,1653
2004/2005,All Provinces and territories,Sentenced,"Total, custodial admissions by Indigenous identity",63013
2004/2005,All Provinces and territories,Sentenced,Indigenous identity,11170
2004/2005,All Provinces and territories,Sentenced,Non-Indigenous identity,51438
2004/2005,All Provinces and territories,Sentenced,Indigenous identity unknown,405
2004/2005,All Provinces and territories,Remand,"Total, custodial admissions by Indigenous identity",115430
2004/2005,All Provinces and territories,Remand,Indigenous identity,18855
2004/2005,All Provinces and territories,Remand,Non-Indigenous identity,95779
2004/2005,All Provinces and territories,Remand,Indigenous identity unknown,796
2004/2005,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",26146
2004/2005,All Provinces and territories,Other custodial statuses,Indigenous identity,6541
2004/2005,All Provinces and territories,Other custodial statuses,Non-Indigenous identity,19153
2004/2005,All Provinces and territories,Other custodial statuses,Indigenous identity unknown,452
2004/2005,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1680
2004/2005,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity,231
2004/2005,Newfoundland and Labrador,"Total, custodial admissions",Non-Indigenous identity,1449
2004/2005,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity unknown,0
2004/2005,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by Indigenous identity",1085
2004/2005,Newfoundland and Labrador,Sentenced,Indigenous identity,154
2004/2005,Newfoundland and Labrador,Sentenced,Non-Indigenous identity,931
2004/2005,Newfoundland and Labrador,Sentenced,Indigenous identity unknown,0
2004/2005,Newfoundland and Labrador,Remand,"Total, custodial admissions by Indigenous identity",495
2004/2005,Newfoundland and Labrador,Remand,Indigenous identity,72
2004/2005,Newfoundland and Labrador,Remand,Non-Indigenous identity,423
2004/2005,Newfoundland and Labrador,Remand,Indigenous identity unknown,0
2004/2005,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by Indigenous identity",100
2004/2005,Newfoundland and Labrador,Other custodial statuses,Indigenous identity,5
2004/2005,Newfoundland and Labrador,Other custodial statuses,Non-Indigenous identity,95
2004/2005,Newfoundland and Labrador,Other custodial statuses,Indigenous identity unknown,0
2004/2005,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",
2004/2005,Prince Edward Island,"Total, custodial admissions",Indigenous identity,
2004/2005,Prince Edward Island,"Total, custodial admissions",Non-Indigenous identity,
2004/2005,Prince Edward Island,"Total, custodial admissions",Indigenous identity unknown,
2004/2005,Prince Edward Island,Sentenced,"Total, custodial admissions by Indigenous identity",
2004/2005,Prince Edward Island,Sentenced,Indigenous identity,
2004/2005,Prince Edward Island,Sentenced,Non-Indigenous identity,
2004/2005,Prince Edward Island,Sentenced,Indigenous identity unknown,
2004/2005,Prince Edward Island,Remand,"Total, custodial admissions by Indigenous identity",
2004/2005,Prince Edward Island,Remand,Indigenous identity,
2004/2005,Prince Edward Island,Remand,Non-Indigenous identity,
2004/2005,Prince Edward Island,Remand,Indigenous identity unknown,
2004/2005,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2004/2005,Prince Edward Island,Other custodial statuses,Indigenous identity,
2004/2005,Prince Edward Island,Other custodial statuses,Non-Indigenous identity,
2004/2005,Prince Edward Island,Other custodial statuses,Indigenous identity unknown,
2004/2005,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",4426
2004/2005,Nova Scotia,"Total, custodial admissions",Indigenous identity,318
2004/2005,Nova Scotia,"Total, custodial admissions",Non-Indigenous identity,4106
2004/2005,Nova Scotia,"Total, custodial admissions",Indigenous identity unknown,2
2004/2005,Nova Scotia,Sentenced,"Total, custodial admissions by Indigenous identity",1943
2004/2005,Nova Scotia,Sentenced,Indigenous identity,129
2004/2005,Nova Scotia,Sentenced,Non-Indigenous identity,1812
2004/2005,Nova Scotia,Sentenced,Indigenous identity unknown,2
2004/2005,Nova Scotia,Remand,"Total, custodial admissions by Indigenous identity",2196
2004/2005,Nova Scotia,Remand,Indigenous identity,172
2004/2005,Nova Scotia,Remand,Non-Indigenous identity,2024
2004/2005,Nova Scotia,Remand,Indigenous identity unknown,0
2004/2005,Nova Scotia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",287
2004/2005,Nova Scotia,Other custodial statuses,Indigenous identity,17
2004/2005,Nova Scotia,Other custodial statuses,Non-Indigenous identity,270
2004/2005,Nova Scotia,Other custodial statuses,Indigenous identity unknown,0
2004/2005,New Brunswick,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",4520
2004/2005,New Brunswick,"Total, custodial admissions",Indigenous identity,361
2004/2005,New Brunswick,"Total, custodial admissions",Non-Indigenous identity,4137
2004/2005,New Brunswick,"Total, custodial admissions",Indigenous identity unknown,22
2004/2005,New Brunswick,Sentenced,"Total, custodial admissions by Indigenous identity",2382
2004/2005,New Brunswick,Sentenced,Indigenous identity,177
2004/2005,New Brunswick,Sentenced,Non-Indigenous identity,2186
2004/2005,New Brunswick,Sentenced,Indigenous identity unknown,19
2004/2005,New Brunswick,Remand,"Total, custodial admissions by Indigenous identity",1543
2004/2005,New Brunswick,Remand,Indigenous identity,149
2004/2005,New Brunswick,Remand,Non-Indigenous identity,1393
2004/2005,New Brunswick,Remand,Indigenous identity unknown,1
2004/2005,New Brunswick,Other custodial statuses,"Total, custodial admissions by Indigenous identity",595
2004/2005,New Brunswick,Other custodial statuses,Indigenous identity,35
2004/2005,New Brunswick,Other custodial statuses,Non-Indigenous identity,558
2004/2005,New Brunswick,Other custodial statuses,Indigenous identity unknown,2
2004/2005,Quebec,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",38918
2004/2005,Quebec,"Total, custodial admissions",Indigenous identity,1290
2004/2005,Quebec,"Total, custodial admissions",Non-Indigenous identity,37022
2004/2005,Quebec,"Total, custodial admissions",Indigenous identity unknown,606
2004/2005,Quebec,Sentenced,"Total, custodial admissions by Indigenous identity",9850
2004/2005,Quebec,Sentenced,Indigenous identity,239
2004/2005,Quebec,Sentenced,Non-Indigenous identity,9489
2004/2005,Quebec,Sentenced,Indigenous identity unknown,122
2004/2005,Quebec,Remand,"Total, custodial admissions by Indigenous identity",25992
2004/2005,Quebec,Remand,Indigenous identity,1002
2004/2005,Quebec,Remand,Non-Indigenous identity,24554
2004/2005,Quebec,Remand,Indigenous identity unknown,436
2004/2005,Quebec,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3076
2004/2005,Quebec,Other custodial statuses,Indigenous identity,49
2004/2005,Quebec,Other custodial statuses,Non-Indigenous identity,2979
2004/2005,Quebec,Other custodial statuses,Indigenous identity unknown,48
2004/2005,Ontario,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",92481
2004/2005,Ontario,"Total, custodial admissions",Indigenous identity,7834
2004/2005,Ontario,"Total, custodial admissions",Non-Indigenous identity,84647
2004/2005,Ontario,"Total, custodial admissions",Indigenous identity unknown,0
2004/2005,Ontario,Sentenced,"Total, custodial admissions by Indigenous identity",30736
2004/2005,Ontario,Sentenced,Indigenous identity,2758
2004/2005,Ontario,Sentenced,Non-Indigenous identity,27978
2004/2005,Ontario,Sentenced,Indigenous identity unknown,0
2004/2005,Ontario,Remand,"Total, custodial admissions by Indigenous identity",58006
2004/2005,Ontario,Remand,Indigenous identity,4877
2004/2005,Ontario,Remand,Non-Indigenous identity,53129
2004/2005,Ontario,Remand,Indigenous identity unknown,0
2004/2005,Ontario,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3739
2004/2005,Ontario,Other custodial statuses,Indigenous identity,199
2004/2005,Ontario,Other custodial statuses,Non-Indigenous identity,3540
2004/2005,Ontario,Other custodial statuses,Indigenous identity unknown,0
2004/2005,Manitoba,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",18349
2004/2005,Manitoba,"Total, custodial admissions",Indigenous identity,11715
2004/2005,Manitoba,"Total, custodial admissions",Non-Indigenous identity,6634
2004/2005,Manitoba,"Total, custodial admissions",Indigenous identity unknown,0
2004/2005,Manitoba,Sentenced,"Total, custodial admissions by Indigenous identity",3508
2004/2005,Manitoba,Sentenced,Indigenous identity,2458
2004/2005,Manitoba,Sentenced,Non-Indigenous identity,1050
2004/2005,Manitoba,Sentenced,Indigenous identity unknown,0
2004/2005,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",8390
2004/2005,Manitoba,Remand,Indigenous identity,5403
2004/2005,Manitoba,Remand,Non-Indigenous identity,2987
2004/2005,Manitoba,Remand,Indigenous identity unknown,0
2004/2005,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",6451
2004/2005,Manitoba,Other custodial statuses,Indigenous identity,3854
2004/2005,Manitoba,Other custodial statuses,Non-Indigenous identity,2597
2004/2005,Manitoba,Other custodial statuses,Indigenous identity unknown,0
2004/2005,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",9055
2004/2005,Saskatchewan,"Total, custodial admissions",Indigenous identity,6739
2004/2005,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,2148
2004/2005,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,168
2004/2005,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",3474
2004/2005,Saskatchewan,Sentenced,Indigenous identity,2643
2004/2005,Saskatchewan,Sentenced,Non-Indigenous identity,779
2004/2005,Saskatchewan,Sentenced,Indigenous identity unknown,52
2004/2005,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",5388
2004/2005,Saskatchewan,Remand,Indigenous identity,3981
2004/2005,Saskatchewan,Remand,Non-Indigenous identity,1295
2004/2005,Saskatchewan,Remand,Indigenous identity unknown,112
2004/2005,Saskatchewan,Other custodial statuses,"Total, custodial admissions by Indigenous identity",193
2004/2005,Saskatchewan,Other custodial statuses,Indigenous identity,115
2004/2005,Saskatchewan,Other custodial statuses,Non-Indigenous identity,74
2004/2005,Saskatchewan,Other custodial statuses,Indigenous identity unknown,4
2004/2005,Alberta,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",
2004/2005,Alberta,"Total, custodial admissions",Indigenous identity,
2004/2005,Alberta,"Total, custodial admissions",Non-Indigenous identity,
2004/2005,Alberta,"Total, custodial admissions",Indigenous identity unknown,
2004/2005,Alberta,Sentenced,"Total, custodial admissions by Indigenous identity",
2004/2005,Alberta,Sentenced,Indigenous identity,
2004/2005,Alberta,Sentenced,Non-Indigenous identity,
2004/2005,Alberta,Sentenced,Indigenous identity unknown,
2004/2005,Alberta,Remand,"Total, custodial admissions by Indigenous identity",
2004/2005,Alberta,Remand,Indigenous identity,
2004/2005,Alberta,Remand,Non-Indigenous identity,
2004/2005,Alberta,Remand,Indigenous identity unknown,
2004/2005,Alberta,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2004/2005,Alberta,Other custodial statuses,Indigenous identity,
2004/2005,Alberta,Other custodial statuses,Non-Indigenous identity,
2004/2005,Alberta,Other custodial statuses,Indigenous identity unknown,
2004/2005,British Columbia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",33309
2004/2005,British Columbia,"Total, custodial admissions",Indigenous identity,6506
2004/2005,British Columbia,"Total, custodial admissions",Non-Indigenous identity,25970
2004/2005,British Columbia,"Total, custodial admissions",Indigenous identity unknown,833
2004/2005,British Columbia,Sentenced,"Total, custodial admissions by Indigenous identity",9074
2004/2005,British Columbia,Sentenced,Indigenous identity,1784
2004/2005,British Columbia,Sentenced,Non-Indigenous identity,7093
2004/2005,British Columbia,Sentenced,Indigenous identity unknown,197
2004/2005,British Columbia,Remand,"Total, custodial admissions by Indigenous identity",12542
2004/2005,British Columbia,Remand,Indigenous identity,2458
2004/2005,British Columbia,Remand,Non-Indigenous identity,9846
2004/2005,British Columbia,Remand,Indigenous identity unknown,238
2004/2005,British Columbia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",11693
2004/2005,British Columbia,Other custodial statuses,Indigenous identity,2264
2004/2005,British Columbia,Other custodial statuses,Non-Indigenous identity,9031
2004/2005,British Columbia,Other custodial statuses,Indigenous identity unknown,398
2004/2005,Yukon,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",570
2004/2005,Yukon,"Total, custodial admissions",Indigenous identity,414
2004/2005,Yukon,"Total, custodial admissions",Non-Indigenous identity,156
2004/2005,Yukon,"Total, custodial admissions",Indigenous identity unknown,0
2004/2005,Yukon,Sentenced,"Total, custodial admissions by Indigenous identity",188
2004/2005,Yukon,Sentenced,Indigenous identity,139
2004/2005,Yukon,Sentenced,Non-Indigenous identity,49
2004/2005,Yukon,Sentenced,Indigenous identity unknown,0
2004/2005,Yukon,Remand,"Total, custodial admissions by Indigenous identity",373
2004/2005,Yukon,Remand,Indigenous identity,274
2004/2005,Yukon,Remand,Non-Indigenous identity,99
2004/2005,Yukon,Remand,Indigenous identity unknown,0
2004/2005,Yukon,Other custodial statuses,"Total, custodial admissions by Indigenous identity",9
2004/2005,Yukon,Other custodial statuses,Indigenous identity,1
2004/2005,Yukon,Other custodial statuses,Non-Indigenous identity,8
2004/2005,Yukon,Other custodial statuses,Indigenous identity unknown,0
2004/2005,Northwest Territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",724
2004/2005,Northwest Territories,"Total, custodial admissions",Indigenous identity,621
2004/2005,Northwest Territories,"Total, custodial admissions",Non-Indigenous identity,101
2004/2005,Northwest Territories,"Total, custodial admissions",Indigenous identity unknown,2
2004/2005,Northwest Territories,Sentenced,"Total, custodial admissions by Indigenous identity",483
2004/2005,Northwest Territories,Sentenced,Indigenous identity,410
2004/2005,Northwest Territories,Sentenced,Non-Indigenous identity,71
2004/2005,Northwest Territories,Sentenced,Indigenous identity unknown,2
2004/2005,Northwest Territories,Remand,"Total, custodial admissions by Indigenous identity",238
2004/2005,Northwest Territories,Remand,Indigenous identity,209
2004/2005,Northwest Territories,Remand,Non-Indigenous identity,29
2004/2005,Northwest Territories,Remand,Indigenous identity unknown,0
2004/2005,Northwest Territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3
2004/2005,Northwest Territories,Other custodial statuses,Indigenous identity,2
2004/2005,Northwest Territories,Other custodial statuses,Non-Indigenous identity,1
2004/2005,Northwest Territories,Other custodial statuses,Indigenous identity unknown,0
2004/2005,Nunavut,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",557
2004/2005,Nunavut,"Total, custodial admissions",Indigenous identity,537
2004/2005,Nunavut,"Total, custodial admissions",Non-Indigenous identity,0
2004/2005,Nunavut,"Total, custodial admissions",Indigenous identity unknown,20
2004/2005,Nunavut,Sentenced,"Total, custodial admissions by Indigenous identity",290
2004/2005,Nunavut,Sentenced,Indigenous identity,279
2004/2005,Nunavut,Sentenced,Non-Indigenous identity,0
2004/2005,Nunavut,Sentenced,Indigenous identity unknown,11
2004/2005,Nunavut,Remand,"Total, custodial admissions by Indigenous identity",267
2004/2005,Nunavut,Remand,Indigenous identity,258
2004/2005,Nunavut,Remand,Non-Indigenous identity,0
2004/2005,Nunavut,Remand,Indigenous identity unknown,9
2005/2006,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",238448
2005/2006,All Provinces and territories,"Total, custodial admissions",Indigenous identity,50531
2005/2006,All Provinces and territories,"Total, custodial admissions",Non-Indigenous identity,186576
2005/2006,All Provinces and territories,"Total, custodial admissions",Indigenous identity unknown,1341
2005/2006,All Provinces and territories,Sentenced,"Total, custodial admissions by Indigenous identity",79773
2005/2006,All Provinces and territories,Sentenced,Indigenous identity,18291
2005/2006,All Provinces and territories,Sentenced,Non-Indigenous identity,61119
2005/2006,All Provinces and territories,Sentenced,Indigenous identity unknown,363
2005/2006,All Provinces and territories,Remand,"Total, custodial admissions by Indigenous identity",143057
2005/2006,All Provinces and territories,Remand,Indigenous identity,27405
