REF_DATE,GEO,Sex,Sentence length ordered,VALUE
2004/2005,Yukon,Female,Median sentence length ordered,18
2004/2005,Yukon,Sex unknown,"Total, sentence length ordered",0
2004/2005,Yukon,Sex unknown,1 month or less,0
2004/2005,Yukon,Sex unknown,Greater than 1 month to 3 months,0
2004/2005,Yukon,Sex unknown,Greater than 3 months to 6 months,0
2004/2005,Yukon,Sex unknown,Greater than 6 months to 12 months,0
2004/2005,Yukon,Sex unknown,Greater than 12 to less than 24 months,0
2004/2005,Yukon,Sex unknown,24 months or more,0
2004/2005,Yukon,Sex unknown,Unknown sentence length ordered,0
2004/2005,Northwest Territories,"Total, custodial admission by sex","Total, sentence length ordered",483
2004/2005,Northwest Territories,"Total, custodial admission by sex",1 month or less,112
2004/2005,Northwest Territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,115
2004/2005,Northwest Territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,89
2004/2005,Northwest Territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,66
2004/2005,Northwest Territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,64
2004/2005,Northwest Territories,"Total, custodial admission by sex",24 months or more,28
2004/2005,Northwest Territories,"Total, custodial admission by sex",Unknown sentence length ordered,9
2004/2005,Northwest Territories,"Total, custodial admission by sex",Median sentence length ordered,184
2004/2005,Northwest Territories,Male,"Total, sentence length ordered",458
2004/2005,Northwest Territories,Male,1 month or less,109
2004/2005,Northwest Territories,Male,Greater than 1 month to 3 months,107
2004/2005,Northwest Territories,Male,Greater than 3 months to 6 months,81
2004/2005,Northwest Territories,Male,Greater than 6 months to 12 months,63
2004/2005,Northwest Territories,Male,Greater than 12 to less than 24 months,62
2004/2005,Northwest Territories,Male,24 months or more,27
2004/2005,Northwest Territories,Male,Unknown sentence length ordered,9
2004/2005,Northwest Territories,Male,Median sentence length ordered,184
2004/2005,Northwest Territories,Female,"Total, sentence length ordered",25
2004/2005,Northwest Territories,Female,1 month or less,3
2004/2005,Northwest Territories,Female,Greater than 1 month to 3 months,8
2004/2005,Northwest Territories,Female,Greater than 3 months to 6 months,8
2004/2005,Northwest Territories,Female,Greater than 6 months to 12 months,3
2004/2005,Northwest Territories,Female,Greater than 12 to less than 24 months,2
2004/2005,Northwest Territories,Female,24 months or more,1
2004/2005,Northwest Territories,Female,Unknown sentence length ordered,0
2004/2005,Northwest Territories,Female,Median sentence length ordered,185
2004/2005,Northwest Territories,Sex unknown,"Total, sentence length ordered",0
2004/2005,Northwest Territories,Sex unknown,1 month or less,0
2004/2005,Northwest Territories,Sex unknown,Greater than 1 month to 3 months,0
2004/2005,Northwest Territories,Sex unknown,Greater than 3 months to 6 months,0
2004/2005,Northwest Territories,Sex unknown,Greater than 6 months to 12 months,0
2004/2005,Northwest Territories,Sex unknown,Greater than 12 to less than 24 months,0
2004/2005,Northwest Territories,Sex unknown,24 months or more,0
2004/2005,Northwest Territories,Sex unknown,Unknown sentence length ordered,0
2004/2005,Nunavut,"Total, custodial admission by sex","Total, sentence length ordered",290
2004/2005,Nunavut,"Total, custodial admission by sex",1 month or less,30
2004/2005,Nunavut,"Total, custodial admission by sex",Greater than 1 month to 3 months,31
2004/2005,Nunavut,"Total, custodial admission by sex",Greater than 3 months to 6 months,72
2004/2005,Nunavut,"Total, custodial admission by sex",Greater than 6 months to 12 months,46
2004/2005,Nunavut,"Total, custodial admission by sex",Greater than 12 to less than 24 months,61
2004/2005,Nunavut,"Total, custodial admission by sex",24 months or more,50
2004/2005,Nunavut,"Total, custodial admission by sex",Unknown sentence length ordered,0
2004/2005,Nunavut,"Total, custodial admission by sex",Median sentence length ordered,183
2004/2005,Nunavut,Male,"Total, sentence length ordered",290
2004/2005,Nunavut,Male,1 month or less,30
2004/2005,Nunavut,Male,Greater than 1 month to 3 months,31
2004/2005,Nunavut,Male,Greater than 3 months to 6 months,72
2004/2005,Nunavut,Male,Greater than 6 months to 12 months,46
2004/2005,Nunavut,Male,Greater than 12 to less than 24 months,61
2004/2005,Nunavut,Male,24 months or more,50
2004/2005,Nunavut,Male,Unknown sentence length ordered,0
2004/2005,Nunavut,Male,Median sentence length ordered,183
2004/2005,Nunavut,Female,"Total, sentence length ordered",0
2004/2005,Nunavut,Female,1 month or less,0
2004/2005,Nunavut,Female,Greater than 1 month to 3 months,0
2004/2005,Nunavut,Female,Greater than 3 months to 6 months,0
2004/2005,Nunavut,Female,Greater than 6 months to 12 months,0
2004/2005,Nunavut,Female,Greater than 12 to less than 24 months,0
2004/2005,Nunavut,Female,24 months or more,0
2004/2005,Nunavut,Female,Unknown sentence length ordered,0
2004/2005,Nunavut,Female,Median sentence length ordered,
2004/2005,Nunavut,Sex unknown,"Total, sentence length ordered",0
2004/2005,Nunavut,Sex unknown,1 month or less,0
2004/2005,Nunavut,Sex unknown,Greater than 1 month to 3 months,0
2004/2005,Nunavut,Sex unknown,Greater than 3 months to 6 months,0
2004/2005,Nunavut,Sex unknown,Greater than 6 months to 12 months,0
2004/2005,Nunavut,Sex unknown,Greater than 12 to less than 24 months,0
2004/2005,Nunavut,Sex unknown,24 months or more,0
2004/2005,Nunavut,Sex unknown,Unknown sentence length ordered,0
2005/2006,All Provinces and territories,"Total, custodial admission by sex","Total, sentence length ordered",79773
2005/2006,All Provinces and territories,"Total, custodial admission by sex",1 month or less,29128
2005/2006,All Provinces and territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,14605
2005/2006,All Provinces and territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,6618
2005/2006,All Provinces and territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,3882
2005/2006,All Provinces and territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,1902
2005/2006,All Provinces and territories,"Total, custodial admission by sex",24 months or more,1215
2005/2006,All Provinces and territories,"Total, custodial admission by sex",Unknown sentence length ordered,22423
2005/2006,All Provinces and territories,Male,"Total, sentence length ordered",71292
2005/2006,All Provinces and territories,Male,1 month or less,25418
2005/2006,All Provinces and territories,Male,Greater than 1 month to 3 months,13442
2005/2006,All Provinces and territories,Male,Greater than 3 months to 6 months,6121
2005/2006,All Provinces and territories,Male,Greater than 6 months to 12 months,3662
2005/2006,All Provinces and territories,Male,Greater than 12 to less than 24 months,1806
2005/2006,All Provinces and territories,Male,24 months or more,1131
2005/2006,All Provinces and territories,Male,Unknown sentence length ordered,19712
2005/2006,All Provinces and territories,Female,"Total, sentence length ordered",8458
2005/2006,All Provinces and territories,Female,1 month or less,3701
2005/2006,All Provinces and territories,Female,Greater than 1 month to 3 months,1158
2005/2006,All Provinces and territories,Female,Greater than 3 months to 6 months,493
2005/2006,All Provinces and territories,Female,Greater than 6 months to 12 months,218
2005/2006,All Provinces and territories,Female,Greater than 12 to less than 24 months,96
2005/2006,All Provinces and territories,Female,24 months or more,83
2005/2006,All Provinces and territories,Female,Unknown sentence length ordered,2709
2005/2006,All Provinces and territories,Sex unknown,"Total, sentence length ordered",23
2005/2006,All Provinces and territories,Sex unknown,1 month or less,9
2005/2006,All Provinces and territories,Sex unknown,Greater than 1 month to 3 months,5
2005/2006,All Provinces and territories,Sex unknown,Greater than 3 months to 6 months,4
2005/2006,All Provinces and territories,Sex unknown,Greater than 6 months to 12 months,2
2005/2006,All Provinces and territories,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,All Provinces and territories,Sex unknown,24 months or more,1
2005/2006,All Provinces and territories,Sex unknown,Unknown sentence length ordered,2
2005/2006,Newfoundland and Labrador,"Total, custodial admission by sex","Total, sentence length ordered",1047
2005/2006,Newfoundland and Labrador,"Total, custodial admission by sex",1 month or less,391
2005/2006,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 1 month to 3 months,304
2005/2006,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 3 months to 6 months,231
2005/2006,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 6 months to 12 months,106
2005/2006,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 12 to less than 24 months,14
2005/2006,Newfoundland and Labrador,"Total, custodial admission by sex",24 months or more,1
2005/2006,Newfoundland and Labrador,"Total, custodial admission by sex",Unknown sentence length ordered,0
2005/2006,Newfoundland and Labrador,"Total, custodial admission by sex",Median sentence length ordered,50
2005/2006,Newfoundland and Labrador,Male,"Total, sentence length ordered",994
2005/2006,Newfoundland and Labrador,Male,1 month or less,365
2005/2006,Newfoundland and Labrador,Male,Greater than 1 month to 3 months,290
2005/2006,Newfoundland and Labrador,Male,Greater than 3 months to 6 months,220
2005/2006,Newfoundland and Labrador,Male,Greater than 6 months to 12 months,104
2005/2006,Newfoundland and Labrador,Male,Greater than 12 to less than 24 months,14
2005/2006,Newfoundland and Labrador,Male,24 months or more,1
2005/2006,Newfoundland and Labrador,Male,Unknown sentence length ordered,0
2005/2006,Newfoundland and Labrador,Female,"Total, sentence length ordered",40
2005/2006,Newfoundland and Labrador,Female,1 month or less,19
2005/2006,Newfoundland and Labrador,Female,Greater than 1 month to 3 months,10
2005/2006,Newfoundland and Labrador,Female,Greater than 3 months to 6 months,9
2005/2006,Newfoundland and Labrador,Female,Greater than 6 months to 12 months,2
2005/2006,Newfoundland and Labrador,Female,Greater than 12 to less than 24 months,0
2005/2006,Newfoundland and Labrador,Female,24 months or more,0
2005/2006,Newfoundland and Labrador,Female,Unknown sentence length ordered,0
2005/2006,Newfoundland and Labrador,Sex unknown,"Total, sentence length ordered",13
2005/2006,Newfoundland and Labrador,Sex unknown,1 month or less,7
2005/2006,Newfoundland and Labrador,Sex unknown,Greater than 1 month to 3 months,4
2005/2006,Newfoundland and Labrador,Sex unknown,Greater than 3 months to 6 months,2
2005/2006,Newfoundland and Labrador,Sex unknown,Greater than 6 months to 12 months,0
2005/2006,Newfoundland and Labrador,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,Newfoundland and Labrador,Sex unknown,24 months or more,0
2005/2006,Newfoundland and Labrador,Sex unknown,Unknown sentence length ordered,0
2005/2006,Prince Edward Island,"Total, custodial admission by sex","Total, sentence length ordered",
2005/2006,Prince Edward Island,"Total, custodial admission by sex",1 month or less,
2005/2006,Prince Edward Island,"Total, custodial admission by sex",Greater than 1 month to 3 months,
2005/2006,Prince Edward Island,"Total, custodial admission by sex",Greater than 3 months to 6 months,
2005/2006,Prince Edward Island,"Total, custodial admission by sex",Greater than 6 months to 12 months,
2005/2006,Prince Edward Island,"Total, custodial admission by sex",Greater than 12 to less than 24 months,
2005/2006,Prince Edward Island,"Total, custodial admission by sex",24 months or more,
2005/2006,Prince Edward Island,"Total, custodial admission by sex",Unknown sentence length ordered,
2005/2006,Prince Edward Island,Male,"Total, sentence length ordered",
2005/2006,Prince Edward Island,Male,1 month or less,
2005/2006,Prince Edward Island,Male,Greater than 1 month to 3 months,
2005/2006,Prince Edward Island,Male,Greater than 3 months to 6 months,
2005/2006,Prince Edward Island,Male,Greater than 6 months to 12 months,
2005/2006,Prince Edward Island,Male,Greater than 12 to less than 24 months,
2005/2006,Prince Edward Island,Male,24 months or more,
2005/2006,Prince Edward Island,Male,Unknown sentence length ordered,
2005/2006,Prince Edward Island,Female,"Total, sentence length ordered",
2005/2006,Prince Edward Island,Female,1 month or less,
2005/2006,Prince Edward Island,Female,Greater than 1 month to 3 months,
2005/2006,Prince Edward Island,Female,Greater than 3 months to 6 months,
2005/2006,Prince Edward Island,Female,Greater than 6 months to 12 months,
2005/2006,Prince Edward Island,Female,Greater than 12 to less than 24 months,
2005/2006,Prince Edward Island,Female,24 months or more,
2005/2006,Prince Edward Island,Female,Unknown sentence length ordered,
2005/2006,Prince Edward Island,Sex unknown,"Total, sentence length ordered",
2005/2006,Prince Edward Island,Sex unknown,1 month or less,
2005/2006,Prince Edward Island,Sex unknown,Greater than 1 month to 3 months,
2005/2006,Prince Edward Island,Sex unknown,Greater than 3 months to 6 months,
2005/2006,Prince Edward Island,Sex unknown,Greater than 6 months to 12 months,
2005/2006,Prince Edward Island,Sex unknown,Greater than 12 to less than 24 months,
2005/2006,Prince Edward Island,Sex unknown,24 months or more,
2005/2006,Prince Edward Island,Sex unknown,Unknown sentence length ordered,
2005/2006,Nova Scotia,"Total, custodial admission by sex","Total, sentence length ordered",1820
2005/2006,Nova Scotia,"Total, custodial admission by sex",1 month or less,593
2005/2006,Nova Scotia,"Total, custodial admission by sex",Greater than 1 month to 3 months,449
2005/2006,Nova Scotia,"Total, custodial admission by sex",Greater than 3 months to 6 months,286
2005/2006,Nova Scotia,"Total, custodial admission by sex",Greater than 6 months to 12 months,130
2005/2006,Nova Scotia,"Total, custodial admission by sex",Greater than 12 to less than 24 months,190
2005/2006,Nova Scotia,"Total, custodial admission by sex",24 months or more,44
2005/2006,Nova Scotia,"Total, custodial admission by sex",Unknown sentence length ordered,128
2005/2006,Nova Scotia,"Total, custodial admission by sex",Median sentence length ordered,59
2005/2006,Nova Scotia,Male,"Total, sentence length ordered",1671
2005/2006,Nova Scotia,Male,1 month or less,537
2005/2006,Nova Scotia,Male,Greater than 1 month to 3 months,416
2005/2006,Nova Scotia,Male,Greater than 3 months to 6 months,263
2005/2006,Nova Scotia,Male,Greater than 6 months to 12 months,119
2005/2006,Nova Scotia,Male,Greater than 12 to less than 24 months,178
2005/2006,Nova Scotia,Male,24 months or more,39
2005/2006,Nova Scotia,Male,Unknown sentence length ordered,119
2005/2006,Nova Scotia,Female,"Total, sentence length ordered",141
2005/2006,Nova Scotia,Female,1 month or less,54
2005/2006,Nova Scotia,Female,Greater than 1 month to 3 months,32
2005/2006,Nova Scotia,Female,Greater than 3 months to 6 months,21
2005/2006,Nova Scotia,Female,Greater than 6 months to 12 months,10
2005/2006,Nova Scotia,Female,Greater than 12 to less than 24 months,12
2005/2006,Nova Scotia,Female,24 months or more,5
2005/2006,Nova Scotia,Female,Unknown sentence length ordered,7
2005/2006,Nova Scotia,Sex unknown,"Total, sentence length ordered",8
2005/2006,Nova Scotia,Sex unknown,1 month or less,2
2005/2006,Nova Scotia,Sex unknown,Greater than 1 month to 3 months,1
2005/2006,Nova Scotia,Sex unknown,Greater than 3 months to 6 months,2
2005/2006,Nova Scotia,Sex unknown,Greater than 6 months to 12 months,1
2005/2006,Nova Scotia,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,Nova Scotia,Sex unknown,24 months or more,0
2005/2006,Nova Scotia,Sex unknown,Unknown sentence length ordered,2
2005/2006,New Brunswick,"Total, custodial admission by sex","Total, sentence length ordered",2520
2005/2006,New Brunswick,"Total, custodial admission by sex",1 month or less,1550
2005/2006,New Brunswick,"Total, custodial admission by sex",Greater than 1 month to 3 months,502
2005/2006,New Brunswick,"Total, custodial admission by sex",Greater than 3 months to 6 months,317
2005/2006,New Brunswick,"Total, custodial admission by sex",Greater than 6 months to 12 months,134
2005/2006,New Brunswick,"Total, custodial admission by sex",Greater than 12 to less than 24 months,15
2005/2006,New Brunswick,"Total, custodial admission by sex",24 months or more,2
2005/2006,New Brunswick,"Total, custodial admission by sex",Unknown sentence length ordered,0
2005/2006,New Brunswick,"Total, custodial admission by sex",Median sentence length ordered,20
2005/2006,New Brunswick,Male,"Total, sentence length ordered",2256
2005/2006,New Brunswick,Male,1 month or less,1386
2005/2006,New Brunswick,Male,Greater than 1 month to 3 months,454
2005/2006,New Brunswick,Male,Greater than 3 months to 6 months,277
2005/2006,New Brunswick,Male,Greater than 6 months to 12 months,125
2005/2006,New Brunswick,Male,Greater than 12 to less than 24 months,14
2005/2006,New Brunswick,Male,24 months or more,0
2005/2006,New Brunswick,Male,Unknown sentence length ordered,0
2005/2006,New Brunswick,Female,"Total, sentence length ordered",264
2005/2006,New Brunswick,Female,1 month or less,164
2005/2006,New Brunswick,Female,Greater than 1 month to 3 months,48
2005/2006,New Brunswick,Female,Greater than 3 months to 6 months,40
2005/2006,New Brunswick,Female,Greater than 6 months to 12 months,9
2005/2006,New Brunswick,Female,Greater than 12 to less than 24 months,1
2005/2006,New Brunswick,Female,24 months or more,2
2005/2006,New Brunswick,Female,Unknown sentence length ordered,0
2005/2006,New Brunswick,Sex unknown,"Total, sentence length ordered",0
2005/2006,New Brunswick,Sex unknown,1 month or less,0
2005/2006,New Brunswick,Sex unknown,Greater than 1 month to 3 months,0
2005/2006,New Brunswick,Sex unknown,Greater than 3 months to 6 months,0
2005/2006,New Brunswick,Sex unknown,Greater than 6 months to 12 months,0
2005/2006,New Brunswick,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,New Brunswick,Sex unknown,24 months or more,0
2005/2006,New Brunswick,Sex unknown,Unknown sentence length ordered,0
2005/2006,Quebec,"Total, custodial admission by sex","Total, sentence length ordered",8001
2005/2006,Quebec,"Total, custodial admission by sex",1 month or less,3209
2005/2006,Quebec,"Total, custodial admission by sex",Greater than 1 month to 3 months,1538
2005/2006,Quebec,"Total, custodial admission by sex",Greater than 3 months to 6 months,613
2005/2006,Quebec,"Total, custodial admission by sex",Greater than 6 months to 12 months,477
2005/2006,Quebec,"Total, custodial admission by sex",Greater than 12 to less than 24 months,257
2005/2006,Quebec,"Total, custodial admission by sex",24 months or more,66
2005/2006,Quebec,"Total, custodial admission by sex",Unknown sentence length ordered,1841
2005/2006,Quebec,"Total, custodial admission by sex",Median sentence length ordered,
2005/2006,Quebec,Male,"Total, sentence length ordered",7141
2005/2006,Quebec,Male,1 month or less,2755
2005/2006,Quebec,Male,Greater than 1 month to 3 months,1427
2005/2006,Quebec,Male,Greater than 3 months to 6 months,563
2005/2006,Quebec,Male,Greater than 6 months to 12 months,442
2005/2006,Quebec,Male,Greater than 12 to less than 24 months,243
2005/2006,Quebec,Male,24 months or more,59
2005/2006,Quebec,Male,Unknown sentence length ordered,1652
2005/2006,Quebec,Male,Median sentence length ordered,
2005/2006,Quebec,Female,"Total, sentence length ordered",860
2005/2006,Quebec,Female,1 month or less,454
2005/2006,Quebec,Female,Greater than 1 month to 3 months,111
2005/2006,Quebec,Female,Greater than 3 months to 6 months,50
2005/2006,Quebec,Female,Greater than 6 months to 12 months,35
2005/2006,Quebec,Female,Greater than 12 to less than 24 months,14
2005/2006,Quebec,Female,24 months or more,7
2005/2006,Quebec,Female,Unknown sentence length ordered,189
2005/2006,Quebec,Female,Median sentence length ordered,
2005/2006,Quebec,Sex unknown,"Total, sentence length ordered",0
2005/2006,Quebec,Sex unknown,1 month or less,0
2005/2006,Quebec,Sex unknown,Greater than 1 month to 3 months,0
2005/2006,Quebec,Sex unknown,Greater than 3 months to 6 months,0
2005/2006,Quebec,Sex unknown,Greater than 6 months to 12 months,0
2005/2006,Quebec,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,Quebec,Sex unknown,24 months or more,0
2005/2006,Quebec,Sex unknown,Unknown sentence length ordered,0
2005/2006,Ontario,"Total, custodial admission by sex","Total, sentence length ordered",31591
2005/2006,Ontario,"Total, custodial admission by sex",1 month or less,18165
2005/2006,Ontario,"Total, custodial admission by sex",Greater than 1 month to 3 months,7591
2005/2006,Ontario,"Total, custodial admission by sex",Greater than 3 months to 6 months,2357
2005/2006,Ontario,"Total, custodial admission by sex",Greater than 6 months to 12 months,1173
2005/2006,Ontario,"Total, custodial admission by sex",Greater than 12 to less than 24 months,421
2005/2006,Ontario,"Total, custodial admission by sex",24 months or more,80
2005/2006,Ontario,"Total, custodial admission by sex",Unknown sentence length ordered,1804
2005/2006,Ontario,"Total, custodial admission by sex",Median sentence length ordered,20
2005/2006,Ontario,Male,"Total, sentence length ordered",28481
2005/2006,Ontario,Male,1 month or less,15843
2005/2006,Ontario,Male,Greater than 1 month to 3 months,7086
2005/2006,Ontario,Male,Greater than 3 months to 6 months,2232
2005/2006,Ontario,Male,Greater than 6 months to 12 months,1123
2005/2006,Ontario,Male,Greater than 12 to less than 24 months,403
2005/2006,Ontario,Male,24 months or more,78
2005/2006,Ontario,Male,Unknown sentence length ordered,1716
2005/2006,Ontario,Male,Median sentence length ordered,
2005/2006,Ontario,Female,"Total, sentence length ordered",3110
2005/2006,Ontario,Female,1 month or less,2322
2005/2006,Ontario,Female,Greater than 1 month to 3 months,505
2005/2006,Ontario,Female,Greater than 3 months to 6 months,125
2005/2006,Ontario,Female,Greater than 6 months to 12 months,50
2005/2006,Ontario,Female,Greater than 12 to less than 24 months,18
2005/2006,Ontario,Female,24 months or more,2
2005/2006,Ontario,Female,Unknown sentence length ordered,88
2005/2006,Ontario,Female,Median sentence length ordered,
2005/2006,Ontario,Sex unknown,"Total, sentence length ordered",0
2005/2006,Ontario,Sex unknown,1 month or less,0
2005/2006,Ontario,Sex unknown,Greater than 1 month to 3 months,0
2005/2006,Ontario,Sex unknown,Greater than 3 months to 6 months,0
2005/2006,Ontario,Sex unknown,Greater than 6 months to 12 months,0
2005/2006,Ontario,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,Ontario,Sex unknown,24 months or more,0
2005/2006,Ontario,Sex unknown,Unknown sentence length ordered,0
2005/2006,Manitoba,"Total, custodial admission by sex","Total, sentence length ordered",3748
2005/2006,Manitoba,"Total, custodial admission by sex",1 month or less,988
2005/2006,Manitoba,"Total, custodial admission by sex",Greater than 1 month to 3 months,881
2005/2006,Manitoba,"Total, custodial admission by sex",Greater than 3 months to 6 months,556
2005/2006,Manitoba,"Total, custodial admission by sex",Greater than 6 months to 12 months,389
2005/2006,Manitoba,"Total, custodial admission by sex",Greater than 12 to less than 24 months,211
2005/2006,Manitoba,"Total, custodial admission by sex",24 months or more,320
2005/2006,Manitoba,"Total, custodial admission by sex",Unknown sentence length ordered,403
2005/2006,Manitoba,"Total, custodial admission by sex",Median sentence length ordered,90
2005/2006,Manitoba,Male,"Total, sentence length ordered",3460
2005/2006,Manitoba,Male,1 month or less,894
2005/2006,Manitoba,Male,Greater than 1 month to 3 months,805
2005/2006,Manitoba,Male,Greater than 3 months to 6 months,520
2005/2006,Manitoba,Male,Greater than 6 months to 12 months,373
2005/2006,Manitoba,Male,Greater than 12 to less than 24 months,199
2005/2006,Manitoba,Male,24 months or more,295
2005/2006,Manitoba,Male,Unknown sentence length ordered,374
2005/2006,Manitoba,Male,Median sentence length ordered,
2005/2006,Manitoba,Female,"Total, sentence length ordered",288
2005/2006,Manitoba,Female,1 month or less,94
2005/2006,Manitoba,Female,Greater than 1 month to 3 months,76
2005/2006,Manitoba,Female,Greater than 3 months to 6 months,36
2005/2006,Manitoba,Female,Greater than 6 months to 12 months,16
2005/2006,Manitoba,Female,Greater than 12 to less than 24 months,12
2005/2006,Manitoba,Female,24 months or more,25
2005/2006,Manitoba,Female,Unknown sentence length ordered,29
2005/2006,Manitoba,Female,Median sentence length ordered,
2005/2006,Manitoba,Sex unknown,"Total, sentence length ordered",0
2005/2006,Manitoba,Sex unknown,1 month or less,0
2005/2006,Manitoba,Sex unknown,Greater than 1 month to 3 months,0
2005/2006,Manitoba,Sex unknown,Greater than 3 months to 6 months,0
2005/2006,Manitoba,Sex unknown,Greater than 6 months to 12 months,0
2005/2006,Manitoba,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,Manitoba,Sex unknown,24 months or more,0
2005/2006,Manitoba,Sex unknown,Unknown sentence length ordered,0
2005/2006,Manitoba,Sex unknown,Median sentence length ordered,
2005/2006,Saskatchewan,"Total, custodial admission by sex","Total, sentence length ordered",3422
2005/2006,Saskatchewan,"Total, custodial admission by sex",1 month or less,800
2005/2006,Saskatchewan,"Total, custodial admission by sex",Greater than 1 month to 3 months,869
2005/2006,Saskatchewan,"Total, custodial admission by sex",Greater than 3 months to 6 months,658
2005/2006,Saskatchewan,"Total, custodial admission by sex",Greater than 6 months to 12 months,522
2005/2006,Saskatchewan,"Total, custodial admission by sex",Greater than 12 to less than 24 months,298
2005/2006,Saskatchewan,"Total, custodial admission by sex",24 months or more,275
2005/2006,Saskatchewan,"Total, custodial admission by sex",Unknown sentence length ordered,0
2005/2006,Saskatchewan,"Total, custodial admission by sex",Median sentence length ordered,92
2005/2006,Saskatchewan,Male,"Total, sentence length ordered",2980
2005/2006,Saskatchewan,Male,1 month or less,677
2005/2006,Saskatchewan,Male,Greater than 1 month to 3 months,715
2005/2006,Saskatchewan,Male,Greater than 3 months to 6 months,581
2005/2006,Saskatchewan,Male,Greater than 6 months to 12 months,480
2005/2006,Saskatchewan,Male,Greater than 12 to less than 24 months,276
2005/2006,Saskatchewan,Male,24 months or more,251
2005/2006,Saskatchewan,Male,Unknown sentence length ordered,0
2005/2006,Saskatchewan,Male,Median sentence length ordered,
2005/2006,Saskatchewan,Female,"Total, sentence length ordered",440
2005/2006,Saskatchewan,Female,1 month or less,123
2005/2006,Saskatchewan,Female,Greater than 1 month to 3 months,154
2005/2006,Saskatchewan,Female,Greater than 3 months to 6 months,77
2005/2006,Saskatchewan,Female,Greater than 6 months to 12 months,41
2005/2006,Saskatchewan,Female,Greater than 12 to less than 24 months,22
2005/2006,Saskatchewan,Female,24 months or more,23
2005/2006,Saskatchewan,Female,Unknown sentence length ordered,0
2005/2006,Saskatchewan,Female,Median sentence length ordered,
2005/2006,Saskatchewan,Sex unknown,"Total, sentence length ordered",2
2005/2006,Saskatchewan,Sex unknown,1 month or less,0
2005/2006,Saskatchewan,Sex unknown,Greater than 1 month to 3 months,0
2005/2006,Saskatchewan,Sex unknown,Greater than 3 months to 6 months,0
2005/2006,Saskatchewan,Sex unknown,Greater than 6 months to 12 months,1
2005/2006,Saskatchewan,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,Saskatchewan,Sex unknown,24 months or more,1
2005/2006,Saskatchewan,Sex unknown,Unknown sentence length ordered,0
2005/2006,Alberta,"Total, custodial admission by sex","Total, sentence length ordered",17329
2005/2006,Alberta,"Total, custodial admission by sex",Unknown sentence length ordered,17329
2005/2006,Alberta,Male,"Total, sentence length ordered",14999
2005/2006,Alberta,Male,Unknown sentence length ordered,14999
2005/2006,Alberta,Female,"Total, sentence length ordered",2330
2005/2006,Alberta,Female,Unknown sentence length ordered,2330
2005/2006,Alberta,Sex unknown,"Total, sentence length ordered",0
2005/2006,Alberta,Sex unknown,1 month or less,0
2005/2006,Alberta,Sex unknown,Greater than 1 month to 3 months,0
2005/2006,Alberta,Sex unknown,Greater than 3 months to 6 months,0
2005/2006,Alberta,Sex unknown,Greater than 6 months to 12 months,0
2005/2006,Alberta,Sex unknown,Greater than 12 to less than 24 months,0
2005/2006,Alberta,Sex unknown,24 months or more,0
2005/2006,Alberta,Sex unknown,Unknown sentence length ordered,0
2005/2006,British Columbia,"Total, custodial admission by sex","Total, sentence length ordered",9224
2005/2006,British Columbia,"Total, custodial admission by sex",1 month or less,3214
2005/2006,British Columbia,"Total, custodial admission by sex",Greater than 1 month to 3 months,2217
2005/2006,British Columbia,"Total, custodial admission by sex",Greater than 3 months to 6 months,1374
2005/2006,British Columbia,"Total, custodial admission by sex",Greater than 6 months to 12 months,785
2005/2006,British Columbia,"Total, custodial admission by sex",Greater than 12 to less than 24 months,378
2005/2006,British Columbia,"Total, custodial admission by sex",24 months or more,346
2005/2006,British Columbia,"Total, custodial admission by sex",Unknown sentence length ordered,910
2005/2006,British Columbia,"Total, custodial admission by sex",Median sentence length ordered,60
2005/2006,British Columbia,Male,"Total, sentence length ordered",8294
2005/2006,British Columbia,Male,1 month or less,2768
2005/2006,British Columbia,Male,Greater than 1 month to 3 months,2010
2005/2006,British Columbia,Male,Greater than 3 months to 6 months,1249
2005/2006,British Columbia,Male,Greater than 6 months to 12 months,734
2005/2006,British Columbia,Male,Greater than 12 to less than 24 months,361
2005/2006,British Columbia,Male,24 months or more,327
2005/2006,British Columbia,Male,Unknown sentence length ordered,845
2005/2006,British Columbia,Male,Median sentence length ordered,
2005/2006,British Columbia,Female,"Total, sentence length ordered",930
2005/2006,British Columbia,Female,1 month or less,446
2005/2006,British Columbia,Female,Greater than 1 month to 3 months,207
