REF_DATE,GEO,Custodial and community supervision,VALUE
2001/2002,Yukon,"Deferred custody, community supervision",
2001/2002,Yukon,"Intensive support and supervision, community supervision",
2001/2002,Yukon,"Probation rate per 10,000 young persons",158.72
2001/2002,Northwest Territories,Total actual-in count,54.5
2001/2002,Northwest Territories,"Total sentenced custody, actual-in count",48.8
2001/2002,Northwest Territories,"Sentenced secure custody, actual-in count",19
2001/2002,Northwest Territories,"Sentenced open custody, actual-in count",29.8
2001/2002,Northwest Territories,"Pre-trial detention and other temporary detention, actual-in count",5.7
2001/2002,Northwest Territories,"Incarceration rates per 10,000 young persons",134.73
2001/2002,Northwest Territories,Total community supervision count,
2001/2002,Northwest Territories,"Probation, community supervision",
2001/2002,Northwest Territories,"Community portion of custody sentence, community supervision",
2001/2002,Northwest Territories,"Deferred custody, community supervision",
2001/2002,Northwest Territories,"Intensive support and supervision, community supervision",
2001/2002,Northwest Territories,"Probation rate per 10,000 young persons",
2001/2002,Nunavut,Total actual-in count,10.7
2001/2002,Nunavut,"Total sentenced custody, actual-in count",7.4
2001/2002,Nunavut,"Sentenced secure custody, actual-in count",3.5
2001/2002,Nunavut,"Sentenced open custody, actual-in count",3.9
2001/2002,Nunavut,"Pre-trial detention and other temporary detention, actual-in count",3.3
2001/2002,Nunavut,"Incarceration rates per 10,000 young persons",29.88
2001/2002,Nunavut,Total community supervision count,52.1
2001/2002,Nunavut,"Probation, community supervision",52.1
2001/2002,Nunavut,"Community portion of custody sentence, community supervision",
2001/2002,Nunavut,"Probation rate per 10,000 young persons",145.89
2002/2003,Provinces and Territories,Total actual-in count,3888.6
2002/2003,Provinces and Territories,"Total sentenced custody, actual-in count",2717.6
2002/2003,Provinces and Territories,"Sentenced secure custody, actual-in count",1257.6
2002/2003,Provinces and Territories,"Sentenced open custody, actual-in count",1460
2002/2003,Provinces and Territories,"Pre-trial detention and other temporary detention, actual-in count",1171
2002/2003,Provinces and Territories,"Incarceration rates per 10,000 young persons",15.39
2002/2003,Provinces and Territories,Total community supervision count,25646.3
2002/2003,Provinces and Territories,"Probation, community supervision",25646.3
2002/2003,Provinces and Territories,"Community portion of custody sentence, community supervision",
2002/2003,Provinces and Territories,"Deferred custody, community supervision",
2002/2003,Provinces and Territories,"Intensive support and supervision, community supervision",
2002/2003,Provinces and Territories,"Probation rate per 10,000 young persons",104.08
2002/2003,Newfoundland and Labrador,Total actual-in count,105.3
2002/2003,Newfoundland and Labrador,"Total sentenced custody, actual-in count",92.6
2002/2003,Newfoundland and Labrador,"Sentenced secure custody, actual-in count",42
2002/2003,Newfoundland and Labrador,"Sentenced open custody, actual-in count",50.6
2002/2003,Newfoundland and Labrador,"Pre-trial detention and other temporary detention, actual-in count",12.7
2002/2003,Newfoundland and Labrador,"Incarceration rates per 10,000 young persons",24.16
2002/2003,Newfoundland and Labrador,Total community supervision count,802.3
2002/2003,Newfoundland and Labrador,"Probation, community supervision",802.3
2002/2003,Newfoundland and Labrador,"Community portion of custody sentence, community supervision",
2002/2003,Newfoundland and Labrador,"Deferred custody, community supervision",
2002/2003,Newfoundland and Labrador,"Intensive support and supervision, community supervision",
2002/2003,Newfoundland and Labrador,"Probation rate per 10,000 young persons",184.07
2002/2003,Prince Edward Island,Total actual-in count,15.8
2002/2003,Prince Edward Island,"Total sentenced custody, actual-in count",13.5
2002/2003,Prince Edward Island,"Sentenced secure custody, actual-in count",7.3
2002/2003,Prince Edward Island,"Sentenced open custody, actual-in count",6.3
2002/2003,Prince Edward Island,"Pre-trial detention and other temporary detention, actual-in count",2.3
2002/2003,Prince Edward Island,"Incarceration rates per 10,000 young persons",12.96
2002/2003,Prince Edward Island,Total community supervision count,150.6
2002/2003,Prince Edward Island,"Probation, community supervision",150.6
2002/2003,Prince Edward Island,"Community portion of custody sentence, community supervision",
2002/2003,Prince Edward Island,"Deferred custody, community supervision",
2002/2003,Prince Edward Island,"Intensive support and supervision, community supervision",
2002/2003,Prince Edward Island,"Probation rate per 10,000 young persons",123.26
2002/2003,Nova Scotia,Total actual-in count,127.7
2002/2003,Nova Scotia,"Total sentenced custody, actual-in count",105.4
2002/2003,Nova Scotia,"Sentenced secure custody, actual-in count",20.5
2002/2003,Nova Scotia,"Sentenced open custody, actual-in count",84.9
2002/2003,Nova Scotia,"Pre-trial detention and other temporary detention, actual-in count",22.2
2002/2003,Nova Scotia,"Incarceration rates per 10,000 young persons",17.04
2002/2003,Nova Scotia,Total community supervision count,875
2002/2003,Nova Scotia,"Probation, community supervision",875
2002/2003,Nova Scotia,"Community portion of custody sentence, community supervision",
2002/2003,Nova Scotia,"Deferred custody, community supervision",
2002/2003,Nova Scotia,"Intensive support and supervision, community supervision",
2002/2003,Nova Scotia,"Probation rate per 10,000 young persons",116.77
2002/2003,New Brunswick,Total actual-in count,106.7
2002/2003,New Brunswick,"Total sentenced custody, actual-in count",96.6
2002/2003,New Brunswick,"Sentenced secure custody, actual-in count",44.7
2002/2003,New Brunswick,"Sentenced open custody, actual-in count",51.9
2002/2003,New Brunswick,"Pre-trial detention and other temporary detention, actual-in count",10.1
2002/2003,New Brunswick,"Incarceration rates per 10,000 young persons",18.03
2002/2003,New Brunswick,Total community supervision count,
2002/2003,New Brunswick,"Probation, community supervision",
2002/2003,New Brunswick,"Community portion of custody sentence, community supervision",
2002/2003,New Brunswick,"Deferred custody, community supervision",
2002/2003,New Brunswick,"Intensive support and supervision, community supervision",
2002/2003,New Brunswick,"Probation rate per 10,000 young persons",
2002/2003,Quebec,Total actual-in count,411.2
2002/2003,Quebec,"Total sentenced custody, actual-in count",313.3
2002/2003,Quebec,"Sentenced secure custody, actual-in count",192.3
2002/2003,Quebec,"Sentenced open custody, actual-in count",121
2002/2003,Quebec,"Pre-trial detention and other temporary detention, actual-in count",97.9
2002/2003,Quebec,"Incarceration rates per 10,000 young persons",7.49
2002/2003,Quebec,Total community supervision count,5136
2002/2003,Quebec,"Probation, community supervision",5136
2002/2003,Quebec,"Community portion of custody sentence, community supervision",
2002/2003,Quebec,"Deferred custody, community supervision",
2002/2003,Quebec,"Intensive support and supervision, community supervision",
2002/2003,Quebec,"Probation rate per 10,000 young persons",93.59
2002/2003,Ontario,Total actual-in count,1630.3
2002/2003,Ontario,"Total sentenced custody, actual-in count",1262.2
2002/2003,Ontario,"Sentenced secure custody, actual-in count",536.2
2002/2003,Ontario,"Sentenced open custody, actual-in count",726
2002/2003,Ontario,"Pre-trial detention and other temporary detention, actual-in count",368.2
2002/2003,Ontario,"Incarceration rates per 10,000 young persons",
2002/2003,Ontario,Total community supervision count,9692
2002/2003,Ontario,"Probation, community supervision",9692
2002/2003,Ontario,"Community portion of custody sentence, community supervision",
2002/2003,Ontario,"Deferred custody, community supervision",
2002/2003,Ontario,"Intensive support and supervision, community supervision",
2002/2003,Ontario,"Probation rate per 10,000 young persons",98.7
2002/2003,Manitoba,Total actual-in count,256.3
2002/2003,Manitoba,"Total sentenced custody, actual-in count",152.3
2002/2003,Manitoba,"Sentenced secure custody, actual-in count",61.1
2002/2003,Manitoba,"Sentenced open custody, actual-in count",91.3
2002/2003,Manitoba,"Pre-trial detention and other temporary detention, actual-in count",103.9
2002/2003,Manitoba,"Incarceration rates per 10,000 young persons",25.47
2002/2003,Manitoba,Total community supervision count,2044.6
2002/2003,Manitoba,"Probation, community supervision",2044.6
2002/2003,Manitoba,"Community portion of custody sentence, community supervision",
2002/2003,Manitoba,"Deferred custody, community supervision",
2002/2003,Manitoba,"Probation rate per 10,000 young persons",203.19
2002/2003,Saskatchewan,Total actual-in count,319.4
2002/2003,Saskatchewan,"Total sentenced custody, actual-in count",246.4
2002/2003,Saskatchewan,"Sentenced secure custody, actual-in count",145.3
2002/2003,Saskatchewan,"Sentenced open custody, actual-in count",101.2
2002/2003,Saskatchewan,"Pre-trial detention and other temporary detention, actual-in count",73
2002/2003,Saskatchewan,"Incarceration rates per 10,000 young persons",33.91
2002/2003,Saskatchewan,Total community supervision count,1804.5
2002/2003,Saskatchewan,"Probation, community supervision",1804.5
2002/2003,Saskatchewan,"Community portion of custody sentence, community supervision",
2002/2003,Saskatchewan,"Deferred custody, community supervision",
2002/2003,Saskatchewan,"Probation rate per 10,000 young persons",191.58
2002/2003,Alberta,Total actual-in count,324.8
2002/2003,Alberta,"Total sentenced custody, actual-in count",228.8
2002/2003,Alberta,"Sentenced secure custody, actual-in count",123.1
2002/2003,Alberta,"Sentenced open custody, actual-in count",105.8
2002/2003,Alberta,"Pre-trial detention and other temporary detention, actual-in count",95.9
2002/2003,Alberta,"Incarceration rates per 10,000 young persons",11.73
2002/2003,Alberta,Total community supervision count,2618.6
2002/2003,Alberta,"Probation, community supervision",2618.6
2002/2003,Alberta,"Community portion of custody sentence, community supervision",
2002/2003,Alberta,"Deferred custody, community supervision",
2002/2003,Alberta,"Intensive support and supervision, community supervision",
2002/2003,Alberta,"Probation rate per 10,000 young persons",94.6
2002/2003,British Columbia,Total actual-in count,219.3
2002/2003,British Columbia,"Total sentenced custody, actual-in count",152.2
2002/2003,British Columbia,"Sentenced secure custody, actual-in count",67.6
2002/2003,British Columbia,"Sentenced open custody, actual-in count",84.6
2002/2003,British Columbia,"Pre-trial detention and other temporary detention, actual-in count",67.1
2002/2003,British Columbia,"Incarceration rates per 10,000 young persons",6.76
2002/2003,British Columbia,Total community supervision count,2443.9
2002/2003,British Columbia,"Probation, community supervision",2443.9
2002/2003,British Columbia,"Community portion of custody sentence, community supervision",
2002/2003,British Columbia,"Deferred custody, community supervision",
2002/2003,British Columbia,"Intensive support and supervision, community supervision",
2002/2003,British Columbia,"Probation rate per 10,000 young persons",75.34
2002/2003,Yukon,Total actual-in count,6.5
2002/2003,Yukon,"Total sentenced custody, actual-in count",5.1
2002/2003,Yukon,"Sentenced secure custody, actual-in count",1.4
2002/2003,Yukon,"Sentenced open custody, actual-in count",3.7
2002/2003,Yukon,"Pre-trial detention and other temporary detention, actual-in count",1.4
2002/2003,Yukon,"Incarceration rates per 10,000 young persons",23.21
2002/2003,Yukon,Total community supervision count,33.1
2002/2003,Yukon,"Probation, community supervision",33.1
2002/2003,Yukon,"Community portion of custody sentence, community supervision",
2002/2003,Yukon,"Deferred custody, community supervision",
2002/2003,Yukon,"Intensive support and supervision, community supervision",
2002/2003,Yukon,"Probation rate per 10,000 young persons",117.61
2002/2003,Northwest Territories,Total actual-in count,44.9
2002/2003,Northwest Territories,"Total sentenced custody, actual-in count",40.9
2002/2003,Northwest Territories,"Sentenced secure custody, actual-in count",12.6
2002/2003,Northwest Territories,"Sentenced open custody, actual-in count",28.3
2002/2003,Northwest Territories,"Pre-trial detention and other temporary detention, actual-in count",4
2002/2003,Northwest Territories,"Incarceration rates per 10,000 young persons",108.55
2002/2003,Northwest Territories,Total community supervision count,
2002/2003,Northwest Territories,"Probation, community supervision",
2002/2003,Northwest Territories,"Community portion of custody sentence, community supervision",
2002/2003,Northwest Territories,"Deferred custody, community supervision",
2002/2003,Northwest Territories,"Intensive support and supervision, community supervision",
2002/2003,Northwest Territories,"Probation rate per 10,000 young persons",
2002/2003,Nunavut,Total actual-in count,12.6
2002/2003,Nunavut,"Total sentenced custody, actual-in count",8.3
2002/2003,Nunavut,"Sentenced secure custody, actual-in count",3.7
2002/2003,Nunavut,"Sentenced open custody, actual-in count",4.6
2002/2003,Nunavut,"Pre-trial detention and other temporary detention, actual-in count",4.3
2002/2003,Nunavut,"Incarceration rates per 10,000 young persons",33.8
2002/2003,Nunavut,Total community supervision count,45.8
2002/2003,Nunavut,"Probation, community supervision",45.8
2002/2003,Nunavut,"Community portion of custody sentence, community supervision",
2002/2003,Nunavut,"Probation rate per 10,000 young persons",122.88
2003/2004,Provinces and Territories,Total actual-in count,2408
2003/2004,Provinces and Territories,"Total sentenced custody, actual-in count",1552.7
2003/2004,Provinces and Territories,"Sentenced secure custody, actual-in count",820.8
2003/2004,Provinces and Territories,"Sentenced open custody, actual-in count",731.9
2003/2004,Provinces and Territories,"Pre-trial detention and other temporary detention, actual-in count",849.8
2003/2004,Provinces and Territories,"Incarceration rates per 10,000 young persons",9.42
2003/2004,Provinces and Territories,Total community supervision count,27914.4
2003/2004,Provinces and Territories,"Probation, community supervision",27296
2003/2004,Provinces and Territories,"Community portion of custody sentence, community supervision",191.4
2003/2004,Provinces and Territories,"Deferred custody, community supervision",286.1
2003/2004,Provinces and Territories,"Intensive support and supervision, community supervision",140.9
2003/2004,Provinces and Territories,"Probation rate per 10,000 young persons",109.51
2003/2004,Newfoundland and Labrador,Total actual-in count,54
2003/2004,Newfoundland and Labrador,"Total sentenced custody, actual-in count",45.3
2003/2004,Newfoundland and Labrador,"Sentenced secure custody, actual-in count",28.2
2003/2004,Newfoundland and Labrador,"Sentenced open custody, actual-in count",17.1
2003/2004,Newfoundland and Labrador,"Pre-trial detention and other temporary detention, actual-in count",8.7
2003/2004,Newfoundland and Labrador,"Incarceration rates per 10,000 young persons",12.68
2003/2004,Newfoundland and Labrador,Total community supervision count,677.9
2003/2004,Newfoundland and Labrador,"Probation, community supervision",672.2
2003/2004,Newfoundland and Labrador,"Community portion of custody sentence, community supervision",3.9
2003/2004,Newfoundland and Labrador,"Deferred custody, community supervision",1.8
2003/2004,Newfoundland and Labrador,"Intensive support and supervision, community supervision",
2003/2004,Newfoundland and Labrador,"Probation rate per 10,000 young persons",157.92
2003/2004,Prince Edward Island,Total actual-in count,7.8
2003/2004,Prince Edward Island,"Total sentenced custody, actual-in count",6.2
2003/2004,Prince Edward Island,"Sentenced secure custody, actual-in count",3.3
2003/2004,Prince Edward Island,"Sentenced open custody, actual-in count",2.9
2003/2004,Prince Edward Island,"Pre-trial detention and other temporary detention, actual-in count",1.5
2003/2004,Prince Edward Island,"Incarceration rates per 10,000 young persons",6.42
2003/2004,Prince Edward Island,Total community supervision count,137
2003/2004,Prince Edward Island,"Probation, community supervision",133.6
2003/2004,Prince Edward Island,"Community portion of custody sentence, community supervision",3.4
2003/2004,Prince Edward Island,"Deferred custody, community supervision",
2003/2004,Prince Edward Island,"Intensive support and supervision, community supervision",
2003/2004,Prince Edward Island,"Probation rate per 10,000 young persons",110.51
2003/2004,Nova Scotia,Total actual-in count,75.1
2003/2004,Nova Scotia,"Total sentenced custody, actual-in count",56.6
2003/2004,Nova Scotia,"Sentenced secure custody, actual-in count",11.9
2003/2004,Nova Scotia,"Sentenced open custody, actual-in count",44.7
2003/2004,Nova Scotia,"Pre-trial detention and other temporary detention, actual-in count",18.5
2003/2004,Nova Scotia,"Incarceration rates per 10,000 young persons",10
2003/2004,Nova Scotia,Total community supervision count,808.4
2003/2004,Nova Scotia,"Probation, community supervision",808.4
2003/2004,Nova Scotia,"Community portion of custody sentence, community supervision",
2003/2004,Nova Scotia,"Deferred custody, community supervision",
2003/2004,Nova Scotia,"Intensive support and supervision, community supervision",
2003/2004,Nova Scotia,"Probation rate per 10,000 young persons",107.7
2003/2004,New Brunswick,Total actual-in count,74.6
2003/2004,New Brunswick,"Total sentenced custody, actual-in count",61.2
2003/2004,New Brunswick,"Sentenced secure custody, actual-in count",30.1
2003/2004,New Brunswick,"Sentenced open custody, actual-in count",31.1
2003/2004,New Brunswick,"Pre-trial detention and other temporary detention, actual-in count",12.3
2003/2004,New Brunswick,"Incarceration rates per 10,000 young persons",12.7
2003/2004,New Brunswick,Total community supervision count,
2003/2004,New Brunswick,"Probation, community supervision",
2003/2004,New Brunswick,"Community portion of custody sentence, community supervision",
2003/2004,New Brunswick,"Deferred custody, community supervision",
2003/2004,New Brunswick,"Intensive support and supervision, community supervision",
2003/2004,New Brunswick,"Probation rate per 10,000 young persons",
2003/2004,Quebec,Total actual-in count,308.4
2003/2004,Quebec,"Total sentenced custody, actual-in count",231.7
2003/2004,Quebec,"Sentenced secure custody, actual-in count",158.5
2003/2004,Quebec,"Sentenced open custody, actual-in count",73.2
2003/2004,Quebec,"Pre-trial detention and other temporary detention, actual-in count",76.7
2003/2004,Quebec,"Incarceration rates per 10,000 young persons",5.51
2003/2004,Quebec,Total community supervision count,4132
2003/2004,Quebec,"Probation, community supervision",4014
2003/2004,Quebec,"Community portion of custody sentence, community supervision",
2003/2004,Quebec,"Deferred custody, community supervision",69
2003/2004,Quebec,"Intensive support and supervision, community supervision",49
2003/2004,Quebec,"Probation rate per 10,000 young persons",71.75
2003/2004,Ontario,Total actual-in count,1008.6
2003/2004,Ontario,"Total sentenced custody, actual-in count",598.1
2003/2004,Ontario,"Sentenced secure custody, actual-in count",299.5
2003/2004,Ontario,"Sentenced open custody, actual-in count",298.6
2003/2004,Ontario,"Pre-trial detention and other temporary detention, actual-in count",410.5
2003/2004,Ontario,"Incarceration rates per 10,000 young persons",10.1
2003/2004,Ontario,Total community supervision count,14558.4
2003/2004,Ontario,"Probation, community supervision",14411.3
2003/2004,Ontario,"Community portion of custody sentence, community supervision",80.3
2003/2004,Ontario,"Deferred custody, community supervision",66.8
2003/2004,Ontario,"Intensive support and supervision, community supervision",
2003/2004,Ontario,"Probation rate per 10,000 young persons",144.38
2003/2004,Manitoba,Total actual-in count,199.5
2003/2004,Manitoba,"Total sentenced custody, actual-in count",104.2
2003/2004,Manitoba,"Sentenced secure custody, actual-in count",42.7
2003/2004,Manitoba,"Sentenced open custody, actual-in count",61.5
2003/2004,Manitoba,"Pre-trial detention and other temporary detention, actual-in count",91.1
2003/2004,Manitoba,"Incarceration rates per 10,000 young persons",19.6
2003/2004,Manitoba,Total community supervision count,1843.1
2003/2004,Manitoba,"Probation, community supervision",1796
2003/2004,Manitoba,"Community portion of custody sentence, community supervision",19.1
2003/2004,Manitoba,"Deferred custody, community supervision",28
2003/2004,Manitoba,"Probation rate per 10,000 young persons",176.48
2003/2004,Saskatchewan,Total actual-in count,260.6
2003/2004,Saskatchewan,"Total sentenced custody, actual-in count",187.9
2003/2004,Saskatchewan,"Sentenced secure custody, actual-in count",114.5
2003/2004,Saskatchewan,"Sentenced open custody, actual-in count",73.4
2003/2004,Saskatchewan,"Pre-trial detention and other temporary detention, actual-in count",72.7
2003/2004,Saskatchewan,"Incarceration rates per 10,000 young persons",27.85
2003/2004,Saskatchewan,Total community supervision count,1592.8
2003/2004,Saskatchewan,"Probation, community supervision",1524.3
2003/2004,Saskatchewan,"Community portion of custody sentence, community supervision",30.7
2003/2004,Saskatchewan,"Deferred custody, community supervision",37.8
2003/2004,Saskatchewan,"Probation rate per 10,000 young persons",162.92
2003/2004,Alberta,Total actual-in count,228.2
2003/2004,Alberta,"Total sentenced custody, actual-in count",141.8
2003/2004,Alberta,"Sentenced secure custody, actual-in count",81.8
2003/2004,Alberta,"Sentenced open custody, actual-in count",60
2003/2004,Alberta,"Pre-trial detention and other temporary detention, actual-in count",86.3
2003/2004,Alberta,"Incarceration rates per 10,000 young persons",8.16
2003/2004,Alberta,Total community supervision count,2221.5
2003/2004,Alberta,"Probation, community supervision",2108
2003/2004,Alberta,"Community portion of custody sentence, community supervision",41.7
2003/2004,Alberta,"Deferred custody, community supervision",55.3
2003/2004,Alberta,"Intensive support and supervision, community supervision",16.5
2003/2004,Alberta,"Probation rate per 10,000 young persons",75.41
2003/2004,British Columbia,Total actual-in count,151.6
2003/2004,British Columbia,"Total sentenced custody, actual-in count",89.8
2003/2004,British Columbia,"Sentenced secure custody, actual-in count",37.1
2003/2004,British Columbia,"Sentenced open custody, actual-in count",52.7
2003/2004,British Columbia,"Pre-trial detention and other temporary detention, actual-in count",61.7
2003/2004,British Columbia,"Incarceration rates per 10,000 young persons",4.68
2003/2004,British Columbia,Total community supervision count,1849
2003/2004,British Columbia,"Probation, community supervision",1739.8
2003/2004,British Columbia,"Community portion of custody sentence, community supervision",11.1
2003/2004,British Columbia,"Deferred custody, community supervision",26.3
2003/2004,British Columbia,"Intensive support and supervision, community supervision",71.8
2003/2004,British Columbia,"Probation rate per 10,000 young persons",53.75
2003/2004,Yukon,Total actual-in count,4.3
2003/2004,Yukon,"Total sentenced custody, actual-in count",3.2
2003/2004,Yukon,"Sentenced secure custody, actual-in count",1.2
2003/2004,Yukon,"Sentenced open custody, actual-in count",2
2003/2004,Yukon,"Pre-trial detention and other temporary detention, actual-in count",1.1
2003/2004,Yukon,"Incarceration rates per 10,000 young persons",15.23
2003/2004,Yukon,Total community supervision count,32.6
2003/2004,Yukon,"Probation, community supervision",27.1
2003/2004,Yukon,"Community portion of custody sentence, community supervision",1
2003/2004,Yukon,"Deferred custody, community supervision",1
2003/2004,Yukon,"Intensive support and supervision, community supervision",3.5
2003/2004,Yukon,"Probation rate per 10,000 young persons",95.23
2003/2004,Northwest Territories,Total actual-in count,25.4
2003/2004,Northwest Territories,"Total sentenced custody, actual-in count",21.9
2003/2004,Northwest Territories,"Sentenced secure custody, actual-in count",10.2
2003/2004,Northwest Territories,"Sentenced open custody, actual-in count",11.8
2003/2004,Northwest Territories,"Pre-trial detention and other temporary detention, actual-in count",3.5
2003/2004,Northwest Territories,"Incarceration rates per 10,000 young persons",58.77
2003/2004,Northwest Territories,Total community supervision count,
2003/2004,Northwest Territories,"Probation, community supervision",
2003/2004,Northwest Territories,"Community portion of custody sentence, community supervision",
2003/2004,Northwest Territories,"Deferred custody, community supervision",
2003/2004,Northwest Territories,"Intensive support and supervision, community supervision",
2003/2004,Northwest Territories,"Probation rate per 10,000 young persons",
2003/2004,Nunavut,Total actual-in count,10.1
2003/2004,Nunavut,"Total sentenced custody, actual-in count",4.8
2003/2004,Nunavut,"Sentenced secure custody, actual-in count",1.8
2003/2004,Nunavut,"Sentenced open custody, actual-in count",3
2003/2004,Nunavut,"Pre-trial detention and other temporary detention, actual-in count",5.3
2003/2004,Nunavut,"Incarceration rates per 10,000 young persons",26.21
2003/2004,Nunavut,Total community supervision count,61.6
2003/2004,Nunavut,"Probation, community supervision",61.4
2003/2004,Nunavut,"Community portion of custody sentence, community supervision",0.2
2003/2004,Nunavut,"Probation rate per 10,000 young persons",159.65
2004/2005,Provinces and Territories,Total actual-in count,2246
2004/2005,Provinces and Territories,"Total sentenced custody, actual-in count",1307.5
2004/2005,Provinces and Territories,"Sentenced secure custody, actual-in count",701
2004/2005,Provinces and Territories,"Sentenced open custody, actual-in count",606.5
2004/2005,Provinces and Territories,"Pre-trial detention and other temporary detention, actual-in count",924.3
2004/2005,Provinces and Territories,"Incarceration rates per 10,000 young persons",8.7
2004/2005,Provinces and Territories,Total community supervision count,21935.9
2004/2005,Provinces and Territories,"Probation, community supervision",20677.8
2004/2005,Provinces and Territories,"Community portion of custody sentence, community supervision",388.8
2004/2005,Provinces and Territories,"Deferred custody, community supervision",581.1
2004/2005,Provinces and Territories,"Intensive support and supervision, community supervision",288.3
2004/2005,Provinces and Territories,"Probation rate per 10,000 young persons",82.08
2004/2005,Newfoundland and Labrador,Total actual-in count,52.3
2004/2005,Newfoundland and Labrador,"Total sentenced custody, actual-in count",44
2004/2005,Newfoundland and Labrador,"Sentenced secure custody, actual-in count",18.1
2004/2005,Newfoundland and Labrador,"Sentenced open custody, actual-in count",25.9
2004/2005,Newfoundland and Labrador,"Pre-trial detention and other temporary detention, actual-in count",8.3
2004/2005,Newfoundland and Labrador,"Incarceration rates per 10,000 young persons",12.64
2004/2005,Newfoundland and Labrador,Total community supervision count,644.8
2004/2005,Newfoundland and Labrador,"Probation, community supervision",627.3
2004/2005,Newfoundland and Labrador,"Community portion of custody sentence, community supervision",13.1
2004/2005,Newfoundland and Labrador,"Deferred custody, community supervision",2.3
2004/2005,Newfoundland and Labrador,"Intensive support and supervision, community supervision",2.1
2004/2005,Newfoundland and Labrador,"Probation rate per 10,000 young persons",151.7
2004/2005,Prince Edward Island,Total actual-in count,3.8
2004/2005,Prince Edward Island,"Total sentenced custody, actual-in count",3.2
2004/2005,Prince Edward Island,"Sentenced secure custody, actual-in count",1.5
2004/2005,Prince Edward Island,"Sentenced open custody, actual-in count",1.6
2004/2005,Prince Edward Island,"Pre-trial detention and other temporary detention, actual-in count",0.6
2004/2005,Prince Edward Island,"Incarceration rates per 10,000 young persons",3.16
2004/2005,Prince Edward Island,Total community supervision count,132.3
2004/2005,Prince Edward Island,"Probation, community supervision",107.3
2004/2005,Prince Edward Island,"Community portion of custody sentence, community supervision",3.7
2004/2005,Prince Edward Island,"Deferred custody, community supervision",21.3
2004/2005,Prince Edward Island,"Intensive support and supervision, community supervision",
2004/2005,Prince Edward Island,"Probation rate per 10,000 young persons",89.74
2004/2005,Nova Scotia,Total actual-in count,56.3
2004/2005,Nova Scotia,"Total sentenced custody, actual-in count",38.4
2004/2005,Nova Scotia,"Sentenced secure custody, actual-in count",6.4
2004/2005,Nova Scotia,"Sentenced open custody, actual-in count",32
2004/2005,Nova Scotia,"Pre-trial detention and other temporary detention, actual-in count",15.2
2004/2005,Nova Scotia,"Incarceration rates per 10,000 young persons",7.53
2004/2005,Nova Scotia,Total community supervision count,651.4
2004/2005,Nova Scotia,"Probation, community supervision",651.4
2004/2005,Nova Scotia,"Community portion of custody sentence, community supervision",
2004/2005,Nova Scotia,"Deferred custody, community supervision",
2004/2005,Nova Scotia,"Intensive support and supervision, community supervision",
2004/2005,Nova Scotia,"Probation rate per 10,000 young persons",87.16
2004/2005,New Brunswick,Total actual-in count,74
2004/2005,New Brunswick,"Total sentenced custody, actual-in count",59.2
2004/2005,New Brunswick,"Sentenced secure custody, actual-in count",31.6
2004/2005,New Brunswick,"Sentenced open custody, actual-in count",27.6
2004/2005,New Brunswick,"Pre-trial detention and other temporary detention, actual-in count",12.5
2004/2005,New Brunswick,"Incarceration rates per 10,000 young persons",12.7
2004/2005,New Brunswick,Total community supervision count,
2004/2005,New Brunswick,"Probation, community supervision",
2004/2005,New Brunswick,"Community portion of custody sentence, community supervision",
2004/2005,New Brunswick,"Deferred custody, community supervision",
2004/2005,New Brunswick,"Intensive support and supervision, community supervision",
2004/2005,New Brunswick,"Probation rate per 10,000 young persons",
2004/2005,Quebec,Total actual-in count,265.9
2004/2005,Quebec,"Total sentenced custody, actual-in count",184.3
2004/2005,Quebec,"Sentenced secure custody, actual-in count",127.1
2004/2005,Quebec,"Sentenced open custody, actual-in count",57.2
2004/2005,Quebec,"Pre-trial detention and other temporary detention, actual-in count",81.6
2004/2005,Quebec,"Incarceration rates per 10,000 young persons",4.66
2004/2005,Quebec,Total community supervision count,3868
2004/2005,Quebec,"Probation, community supervision",3663
2004/2005,Quebec,"Community portion of custody sentence, community supervision",
2004/2005,Quebec,"Deferred custody, community supervision",148
2004/2005,Quebec,"Intensive support and supervision, community supervision",57
2004/2005,Quebec,"Probation rate per 10,000 young persons",64.26
2004/2005,Ontario,Total actual-in count,962.9
2004/2005,Ontario,"Total sentenced custody, actual-in count",484.9
2004/2005,Ontario,"Sentenced secure custody, actual-in count",253.8
2004/2005,Ontario,"Sentenced open custody, actual-in count",231.2
2004/2005,Ontario,"Pre-trial detention and other temporary detention, actual-in count",478
2004/2005,Ontario,"Incarceration rates per 10,000 young persons",9.51
2004/2005,Ontario,Total community supervision count,10008.3
2004/2005,Ontario,"Probation, community supervision",9710.5
2004/2005,Ontario,"Community portion of custody sentence, community supervision",158.3
2004/2005,Ontario,"Deferred custody, community supervision",139.5
2004/2005,Ontario,"Intensive support and supervision, community supervision",
2004/2005,Ontario,"Probation rate per 10,000 young persons",95.87
2004/2005,Manitoba,Total actual-in count,194.3
2004/2005,Manitoba,"Total sentenced custody, actual-in count",91.6
2004/2005,Manitoba,"Sentenced secure custody, actual-in count",36.9
2004/2005,Manitoba,"Sentenced open custody, actual-in count",54.7
2004/2005,Manitoba,"Pre-trial detention and other temporary detention, actual-in count",94.3
2004/2005,Manitoba,"Incarceration rates per 10,000 young persons",18.84
2004/2005,Manitoba,Total community supervision count,1576.8
2004/2005,Manitoba,"Probation, community supervision",1500.2
