REF_DATE,GEO,Admissions and releases,Correctional services,VALUE
2003/2004,New Brunswick,Youth admissions,Open custody,119
2003/2004,New Brunswick,Youth admissions,Custody and supervision (open),115
2003/2004,New Brunswick,Youth admissions,Young Offenders Act (YOA) (open),4
2003/2004,New Brunswick,Youth admissions,Total community sentences,987
2003/2004,New Brunswick,Youth admissions,Community Portion of Custody Supervision,128
2003/2004,New Brunswick,Youth admissions,Intensive support and supervision,
2003/2004,New Brunswick,Youth admissions,Deferred custody and supervision,111
2003/2004,New Brunswick,Youth admissions,Supervised probation,439
2003/2004,New Brunswick,Youth admissions,Other community sentences,309
2003/2004,New Brunswick,Youth releases,Total correctional services,1785
2003/2004,New Brunswick,Youth releases,Pre-trial detention,289
2003/2004,New Brunswick,Youth releases,Provincial director remand,46
2003/2004,New Brunswick,Youth releases,Secure custody,131
2003/2004,New Brunswick,Youth releases,Custody and supervision (secure),88
2003/2004,New Brunswick,Youth releases,Young Offenders Act (YOA) (secure),43
2003/2004,New Brunswick,Youth releases,Open custody,149
2003/2004,New Brunswick,Youth releases,Custody and supervision (open),84
2003/2004,New Brunswick,Youth releases,Young Offenders Act (YOA) (open),65
2003/2004,New Brunswick,Youth releases,Total community sentences,1170
2003/2004,New Brunswick,Youth releases,Community Portion of Custody Supervision,114
2003/2004,New Brunswick,Youth releases,Intensive support and supervision,
2003/2004,New Brunswick,Youth releases,Deferred custody and supervision,75
2003/2004,New Brunswick,Youth releases,Supervised probation,703
2003/2004,New Brunswick,Youth releases,Other community sentences,278
2003/2004,Quebec,Youth admissions,Total correctional services,12604
2003/2004,Quebec,Youth admissions,Pre-trial detention,2789
2003/2004,Quebec,Youth admissions,Provincial director remand,
2003/2004,Quebec,Youth admissions,Secure custody,651
2003/2004,Quebec,Youth admissions,Custody and supervision (secure),650
2003/2004,Quebec,Youth admissions,Young Offenders Act (YOA) (secure),
2003/2004,Quebec,Youth admissions,Open custody,415
2003/2004,Quebec,Youth admissions,Custody and supervision (open),415
2003/2004,Quebec,Youth admissions,Young Offenders Act (YOA) (open),
2003/2004,Quebec,Youth admissions,Total community sentences,8749
2003/2004,Quebec,Youth admissions,Community Portion of Custody Supervision,
2003/2004,Quebec,Youth admissions,Intensive support and supervision,49
2003/2004,Quebec,Youth admissions,Deferred custody and supervision,69
2003/2004,Quebec,Youth admissions,Supervised probation,4014
2003/2004,Quebec,Youth admissions,Other community sentences,4617
2003/2004,Quebec,Youth releases,Total correctional services,
2003/2004,Quebec,Youth releases,Pre-trial detention,
2003/2004,Quebec,Youth releases,Provincial director remand,
2003/2004,Quebec,Youth releases,Secure custody,
2003/2004,Quebec,Youth releases,Custody and supervision (secure),
2003/2004,Quebec,Youth releases,Young Offenders Act (YOA) (secure),
2003/2004,Quebec,Youth releases,Open custody,
2003/2004,Quebec,Youth releases,Custody and supervision (open),
2003/2004,Quebec,Youth releases,Young Offenders Act (YOA) (open),
2003/2004,Quebec,Youth releases,Total community sentences,
2003/2004,Quebec,Youth releases,Community Portion of Custody Supervision,
2003/2004,Quebec,Youth releases,Intensive support and supervision,
2003/2004,Quebec,Youth releases,Deferred custody and supervision,
2003/2004,Quebec,Youth releases,Supervised probation,
2003/2004,Quebec,Youth releases,Other community sentences,
2003/2004,Ontario,Youth admissions,Total correctional services,25089
2003/2004,Ontario,Youth admissions,Pre-trial detention,5640
2003/2004,Ontario,Youth admissions,Provincial director remand,
2003/2004,Ontario,Youth admissions,Secure custody,1218
2003/2004,Ontario,Youth admissions,Custody and supervision (secure),1205
2003/2004,Ontario,Youth admissions,Young Offenders Act (YOA) (secure),8
2003/2004,Ontario,Youth admissions,Open custody,1234
2003/2004,Ontario,Youth admissions,Custody and supervision (open),1200
2003/2004,Ontario,Youth admissions,Young Offenders Act (YOA) (open),33
2003/2004,Ontario,Youth admissions,Total community sentences,16997
2003/2004,Ontario,Youth admissions,Community Portion of Custody Supervision,1865
2003/2004,Ontario,Youth admissions,Intensive support and supervision,0
2003/2004,Ontario,Youth admissions,Deferred custody and supervision,449
2003/2004,Ontario,Youth admissions,Supervised probation,11091
2003/2004,Ontario,Youth admissions,Other community sentences,3592
2003/2004,Ontario,Youth releases,Total correctional services,26144
2003/2004,Ontario,Youth releases,Pre-trial detention,5723
2003/2004,Ontario,Youth releases,Provincial director remand,
2003/2004,Ontario,Youth releases,Secure custody,1330
2003/2004,Ontario,Youth releases,Custody and supervision (secure),926
2003/2004,Ontario,Youth releases,Young Offenders Act (YOA) (secure),403
2003/2004,Ontario,Youth releases,Open custody,2016
2003/2004,Ontario,Youth releases,Custody and supervision (open),887
2003/2004,Ontario,Youth releases,Young Offenders Act (YOA) (open),1128
2003/2004,Ontario,Youth releases,Total community sentences,17075
2003/2004,Ontario,Youth releases,Community Portion of Custody Supervision,1609
2003/2004,Ontario,Youth releases,Intensive support and supervision,0
2003/2004,Ontario,Youth releases,Deferred custody and supervision,48
2003/2004,Ontario,Youth releases,Supervised probation,15048
2003/2004,Ontario,Youth releases,Other community sentences,370
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Total correctional services,8551
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Pre-trial detention,
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Provincial director remand,
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Secure custody,406
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Custody and supervision (secure),397
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Young Offenders Act (YOA) (secure),8
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Open custody,525
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Custody and supervision (open),494
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Young Offenders Act (YOA) (open),30
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Total community sentences,7620
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Community Portion of Custody Supervision,714
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Intensive support and supervision,0
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Deferred custody and supervision,191
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Supervised probation,5044
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Other community sentences,1671
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Total correctional services,9461
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Pre-trial detention,
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Provincial director remand,
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Secure custody,481
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Custody and supervision (secure),312
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Young Offenders Act (YOA) (secure),169
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Open custody,965
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Custody and supervision (open),368
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Young Offenders Act (YOA) (open),596
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Total community sentences,8015
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Community Portion of Custody Supervision,609
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Intensive support and supervision,0
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Deferred custody and supervision,28
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Supervised probation,7207
2003/2004,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Other community sentences,171
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Total correctional services,16538
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Pre-trial detention,5640
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Provincial director remand,
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Secure custody,812
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Custody and supervision (secure),808
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Young Offenders Act (YOA) (secure),
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Open custody,709
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Custody and supervision (open),706
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Young Offenders Act (YOA) (open),3
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Total community sentences,9377
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Community Portion of Custody Supervision,1151
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Intensive support and supervision,
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Deferred custody and supervision,258
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Supervised probation,6047
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Other community sentences,1921
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Total correctional services,16683
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Pre-trial detention,5723
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Provincial director remand,
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Secure custody,849
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Custody and supervision (secure),614
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Young Offenders Act (YOA) (secure),234
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Open custody,1051
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Custody and supervision (open),519
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Young Offenders Act (YOA) (open),532
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Total community sentences,9060
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Community Portion of Custody Supervision,1000
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Intensive support and supervision,
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Deferred custody and supervision,20
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Supervised probation,7841
2003/2004,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Other community sentences,199
2003/2004,Manitoba,Youth admissions,Total correctional services,3829
2003/2004,Manitoba,Youth admissions,Pre-trial detention,1539
2003/2004,Manitoba,Youth admissions,Provincial director remand,97
2003/2004,Manitoba,Youth admissions,Secure custody,114
2003/2004,Manitoba,Youth admissions,Custody and supervision (secure),106
2003/2004,Manitoba,Youth admissions,Young Offenders Act (YOA) (secure),7
2003/2004,Manitoba,Youth admissions,Open custody,261
2003/2004,Manitoba,Youth admissions,Custody and supervision (open),212
2003/2004,Manitoba,Youth admissions,Young Offenders Act (YOA) (open),49
2003/2004,Manitoba,Youth admissions,Total community sentences,1818
2003/2004,Manitoba,Youth admissions,Community Portion of Custody Supervision,193
2003/2004,Manitoba,Youth admissions,Intensive support and supervision,
2003/2004,Manitoba,Youth admissions,Deferred custody and supervision,112
2003/2004,Manitoba,Youth admissions,Supervised probation,788
2003/2004,Manitoba,Youth admissions,Other community sentences,725
2003/2004,Manitoba,Youth releases,Total correctional services,3219
2003/2004,Manitoba,Youth releases,Pre-trial detention,1431
2003/2004,Manitoba,Youth releases,Provincial director remand,85
2003/2004,Manitoba,Youth releases,Secure custody,129
2003/2004,Manitoba,Youth releases,Custody and supervision (secure),76
2003/2004,Manitoba,Youth releases,Young Offenders Act (YOA) (secure),53
2003/2004,Manitoba,Youth releases,Open custody,256
2003/2004,Manitoba,Youth releases,Custody and supervision (open),157
2003/2004,Manitoba,Youth releases,Young Offenders Act (YOA) (open),99
2003/2004,Manitoba,Youth releases,Total community sentences,1318
2003/2004,Manitoba,Youth releases,Community Portion of Custody Supervision,69
2003/2004,Manitoba,Youth releases,Intensive support and supervision,
2003/2004,Manitoba,Youth releases,Deferred custody and supervision,70
2003/2004,Manitoba,Youth releases,Supervised probation,1179
2003/2004,Manitoba,Youth releases,Other community sentences,
2003/2004,Saskatchewan,Youth admissions,Total correctional services,1834
2003/2004,Saskatchewan,Youth admissions,Pre-trial detention,
2003/2004,Saskatchewan,Youth admissions,Provincial director remand,
2003/2004,Saskatchewan,Youth admissions,Secure custody,239
2003/2004,Saskatchewan,Youth admissions,Custody and supervision (secure),239
2003/2004,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (secure),
2003/2004,Saskatchewan,Youth admissions,Open custody,256
2003/2004,Saskatchewan,Youth admissions,Custody and supervision (open),256
2003/2004,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (open),
2003/2004,Saskatchewan,Youth admissions,Total community sentences,1339
2003/2004,Saskatchewan,Youth admissions,Community Portion of Custody Supervision,
2003/2004,Saskatchewan,Youth admissions,Intensive support and supervision,
2003/2004,Saskatchewan,Youth admissions,Deferred custody and supervision,
2003/2004,Saskatchewan,Youth admissions,Supervised probation,1339
2003/2004,Saskatchewan,Youth admissions,Other community sentences,
2003/2004,Saskatchewan,Youth releases,Total correctional services,
2003/2004,Saskatchewan,Youth releases,Pre-trial detention,
2003/2004,Saskatchewan,Youth releases,Provincial director remand,
2003/2004,Saskatchewan,Youth releases,Secure custody,
2003/2004,Saskatchewan,Youth releases,Custody and supervision (secure),
2003/2004,Saskatchewan,Youth releases,Young Offenders Act (YOA) (secure),
2003/2004,Saskatchewan,Youth releases,Open custody,
2003/2004,Saskatchewan,Youth releases,Custody and supervision (open),
2003/2004,Saskatchewan,Youth releases,Young Offenders Act (YOA) (open),
2003/2004,Saskatchewan,Youth releases,Total community sentences,
2003/2004,Saskatchewan,Youth releases,Community Portion of Custody Supervision,
2003/2004,Saskatchewan,Youth releases,Intensive support and supervision,
2003/2004,Saskatchewan,Youth releases,Deferred custody and supervision,
2003/2004,Saskatchewan,Youth releases,Supervised probation,
2003/2004,Saskatchewan,Youth releases,Other community sentences,
2003/2004,Alberta,Youth admissions,Total correctional services,7024
2003/2004,Alberta,Youth admissions,Pre-trial detention,2037
2003/2004,Alberta,Youth admissions,Provincial director remand,
2003/2004,Alberta,Youth admissions,Secure custody,497
2003/2004,Alberta,Youth admissions,Custody and supervision (secure),497
2003/2004,Alberta,Youth admissions,Young Offenders Act (YOA) (secure),
2003/2004,Alberta,Youth admissions,Open custody,239
2003/2004,Alberta,Youth admissions,Custody and supervision (open),239
2003/2004,Alberta,Youth admissions,Young Offenders Act (YOA) (open),
2003/2004,Alberta,Youth admissions,Total community sentences,4251
2003/2004,Alberta,Youth admissions,Community Portion of Custody Supervision,366
2003/2004,Alberta,Youth admissions,Intensive support and supervision,52
2003/2004,Alberta,Youth admissions,Deferred custody and supervision,263
2003/2004,Alberta,Youth admissions,Supervised probation,2144
2003/2004,Alberta,Youth admissions,Other community sentences,1426
2003/2004,Alberta,Youth releases,Total correctional services,6011
2003/2004,Alberta,Youth releases,Pre-trial detention,2003
2003/2004,Alberta,Youth releases,Provincial director remand,
2003/2004,Alberta,Youth releases,Secure custody,506
2003/2004,Alberta,Youth releases,Custody and supervision (secure),506
2003/2004,Alberta,Youth releases,Young Offenders Act (YOA) (secure),
2003/2004,Alberta,Youth releases,Open custody,276
2003/2004,Alberta,Youth releases,Custody and supervision (open),276
2003/2004,Alberta,Youth releases,Young Offenders Act (YOA) (open),
2003/2004,Alberta,Youth releases,Total community sentences,3226
2003/2004,Alberta,Youth releases,Community Portion of Custody Supervision,306
2003/2004,Alberta,Youth releases,Intensive support and supervision,8
2003/2004,Alberta,Youth releases,Deferred custody and supervision,156
2003/2004,Alberta,Youth releases,Supervised probation,1745
2003/2004,Alberta,Youth releases,Other community sentences,1011
2003/2004,British Columbia,Youth admissions,Total correctional services,3522
2003/2004,British Columbia,Youth admissions,Pre-trial detention,1301
2003/2004,British Columbia,Youth admissions,Provincial director remand,
2003/2004,British Columbia,Youth admissions,Secure custody,242
2003/2004,British Columbia,Youth admissions,Custody and supervision (secure),242
2003/2004,British Columbia,Youth admissions,Young Offenders Act (YOA) (secure),0
2003/2004,British Columbia,Youth admissions,Open custody,315
2003/2004,British Columbia,Youth admissions,Custody and supervision (open),315
2003/2004,British Columbia,Youth admissions,Young Offenders Act (YOA) (open),
2003/2004,British Columbia,Youth admissions,Total community sentences,1664
2003/2004,British Columbia,Youth admissions,Community Portion of Custody Supervision,
2003/2004,British Columbia,Youth admissions,Intensive support and supervision,
2003/2004,British Columbia,Youth admissions,Deferred custody and supervision,
2003/2004,British Columbia,Youth admissions,Supervised probation,1664
2003/2004,British Columbia,Youth admissions,Other community sentences,
2003/2004,British Columbia,Youth releases,Total correctional services,4476
2003/2004,British Columbia,Youth releases,Pre-trial detention,1372
2003/2004,British Columbia,Youth releases,Provincial director remand,
2003/2004,British Columbia,Youth releases,Secure custody,207
2003/2004,British Columbia,Youth releases,Custody and supervision (secure),207
2003/2004,British Columbia,Youth releases,Young Offenders Act (YOA) (secure),0
2003/2004,British Columbia,Youth releases,Open custody,363
2003/2004,British Columbia,Youth releases,Custody and supervision (open),363
2003/2004,British Columbia,Youth releases,Young Offenders Act (YOA) (open),
2003/2004,British Columbia,Youth releases,Total community sentences,2534
2003/2004,British Columbia,Youth releases,Community Portion of Custody Supervision,
2003/2004,British Columbia,Youth releases,Intensive support and supervision,
2003/2004,British Columbia,Youth releases,Deferred custody and supervision,
2003/2004,British Columbia,Youth releases,Supervised probation,2534
2003/2004,British Columbia,Youth releases,Other community sentences,
2003/2004,Yukon,Youth admissions,Total correctional services,106
2003/2004,Yukon,Youth admissions,Pre-trial detention,23
2003/2004,Yukon,Youth admissions,Provincial director remand,1
2003/2004,Yukon,Youth admissions,Secure custody,5
2003/2004,Yukon,Youth admissions,Custody and supervision (secure),5
2003/2004,Yukon,Youth admissions,Young Offenders Act (YOA) (secure),0
2003/2004,Yukon,Youth admissions,Open custody,10
2003/2004,Yukon,Youth admissions,Custody and supervision (open),9
2003/2004,Yukon,Youth admissions,Young Offenders Act (YOA) (open),1
2003/2004,Yukon,Youth admissions,Total community sentences,67
2003/2004,Yukon,Youth admissions,Community Portion of Custody Supervision,5
2003/2004,Yukon,Youth admissions,Intensive support and supervision,9
2003/2004,Yukon,Youth admissions,Deferred custody and supervision,2
2003/2004,Yukon,Youth admissions,Supervised probation,20
2003/2004,Yukon,Youth admissions,Other community sentences,31
2003/2004,Yukon,Youth releases,Total correctional services,135
2003/2004,Yukon,Youth releases,Pre-trial detention,24
2003/2004,Yukon,Youth releases,Provincial director remand,1
2003/2004,Yukon,Youth releases,Secure custody,6
2003/2004,Yukon,Youth releases,Custody and supervision (secure),5
2003/2004,Yukon,Youth releases,Young Offenders Act (YOA) (secure),1
2003/2004,Yukon,Youth releases,Open custody,9
2003/2004,Yukon,Youth releases,Custody and supervision (open),6
2003/2004,Yukon,Youth releases,Young Offenders Act (YOA) (open),3
2003/2004,Yukon,Youth releases,Total community sentences,95
2003/2004,Yukon,Youth releases,Community Portion of Custody Supervision,4
2003/2004,Yukon,Youth releases,Intensive support and supervision,5
2003/2004,Yukon,Youth releases,Deferred custody and supervision,1
2003/2004,Yukon,Youth releases,Supervised probation,39
2003/2004,Yukon,Youth releases,Other community sentences,46
2003/2004,Northwest Territories including Nunavut,Youth admissions,Total correctional services,
2003/2004,Northwest Territories including Nunavut,Youth admissions,Pre-trial detention,
2003/2004,Northwest Territories including Nunavut,Youth admissions,Provincial director remand,
2003/2004,Northwest Territories including Nunavut,Youth admissions,Secure custody,
2003/2004,Northwest Territories including Nunavut,Youth admissions,Custody and supervision (secure),
2003/2004,Northwest Territories including Nunavut,Youth admissions,Young Offenders Act (YOA) (secure),
2003/2004,Northwest Territories including Nunavut,Youth admissions,Open custody,
2003/2004,Northwest Territories including Nunavut,Youth admissions,Custody and supervision (open),
2003/2004,Northwest Territories including Nunavut,Youth admissions,Young Offenders Act (YOA) (open),
2003/2004,Northwest Territories including Nunavut,Youth admissions,Total community sentences,
2003/2004,Northwest Territories including Nunavut,Youth admissions,Community Portion of Custody Supervision,
2003/2004,Northwest Territories including Nunavut,Youth admissions,Intensive support and supervision,
2003/2004,Northwest Territories including Nunavut,Youth admissions,Deferred custody and supervision,
2003/2004,Northwest Territories including Nunavut,Youth admissions,Supervised probation,
2003/2004,Northwest Territories including Nunavut,Youth admissions,Other community sentences,
2003/2004,Northwest Territories including Nunavut,Youth releases,Total correctional services,
2003/2004,Northwest Territories including Nunavut,Youth releases,Pre-trial detention,
2003/2004,Northwest Territories including Nunavut,Youth releases,Provincial director remand,
2003/2004,Northwest Territories including Nunavut,Youth releases,Secure custody,
2003/2004,Northwest Territories including Nunavut,Youth releases,Custody and supervision (secure),
2003/2004,Northwest Territories including Nunavut,Youth releases,Young Offenders Act (YOA) (secure),
2003/2004,Northwest Territories including Nunavut,Youth releases,Open custody,
2003/2004,Northwest Territories including Nunavut,Youth releases,Custody and supervision (open),
2003/2004,Northwest Territories including Nunavut,Youth releases,Young Offenders Act (YOA) (open),
2003/2004,Northwest Territories including Nunavut,Youth releases,Total community sentences,
2003/2004,Northwest Territories including Nunavut,Youth releases,Community Portion of Custody Supervision,
2003/2004,Northwest Territories including Nunavut,Youth releases,Intensive support and supervision,
2003/2004,Northwest Territories including Nunavut,Youth releases,Deferred custody and supervision,
2003/2004,Northwest Territories including Nunavut,Youth releases,Supervised probation,
2003/2004,Northwest Territories including Nunavut,Youth releases,Other community sentences,
2003/2004,Northwest Territories,Youth admissions,Total correctional services,92
2003/2004,Northwest Territories,Youth admissions,Pre-trial detention,24
2003/2004,Northwest Territories,Youth admissions,Provincial director remand,5
2003/2004,Northwest Territories,Youth admissions,Secure custody,18
2003/2004,Northwest Territories,Youth admissions,Custody and supervision (secure),16
2003/2004,Northwest Territories,Youth admissions,Young Offenders Act (YOA) (secure),2
2003/2004,Northwest Territories,Youth admissions,Open custody,20
2003/2004,Northwest Territories,Youth admissions,Custody and supervision (open),15
2003/2004,Northwest Territories,Youth admissions,Young Offenders Act (YOA) (open),5
2003/2004,Northwest Territories,Youth admissions,Total community sentences,25
2003/2004,Northwest Territories,Youth admissions,Community Portion of Custody Supervision,20
2003/2004,Northwest Territories,Youth admissions,Intensive support and supervision,4
2003/2004,Northwest Territories,Youth admissions,Deferred custody and supervision,1
2003/2004,Northwest Territories,Youth admissions,Supervised probation,0
2003/2004,Northwest Territories,Youth admissions,Other community sentences,0
2003/2004,Northwest Territories,Youth releases,Total correctional services,24
2003/2004,Northwest Territories,Youth releases,Pre-trial detention,24
2003/2004,Northwest Territories,Youth releases,Provincial director remand,
2003/2004,Northwest Territories,Youth releases,Secure custody,
2003/2004,Northwest Territories,Youth releases,Custody and supervision (secure),
2003/2004,Northwest Territories,Youth releases,Young Offenders Act (YOA) (secure),
2003/2004,Northwest Territories,Youth releases,Open custody,
2003/2004,Northwest Territories,Youth releases,Custody and supervision (open),
2003/2004,Northwest Territories,Youth releases,Young Offenders Act (YOA) (open),
2003/2004,Northwest Territories,Youth releases,Total community sentences,
2003/2004,Northwest Territories,Youth releases,Community Portion of Custody Supervision,
2003/2004,Northwest Territories,Youth releases,Intensive support and supervision,
2003/2004,Northwest Territories,Youth releases,Deferred custody and supervision,
2003/2004,Northwest Territories,Youth releases,Supervised probation,
2003/2004,Northwest Territories,Youth releases,Other community sentences,
2003/2004,Nunavut,Youth admissions,Total correctional services,103
2003/2004,Nunavut,Youth admissions,Pre-trial detention,25
2003/2004,Nunavut,Youth admissions,Provincial director remand,
2003/2004,Nunavut,Youth admissions,Secure custody,11
2003/2004,Nunavut,Youth admissions,Custody and supervision (secure),11
2003/2004,Nunavut,Youth admissions,Young Offenders Act (YOA) (secure),
2003/2004,Nunavut,Youth admissions,Open custody,13
2003/2004,Nunavut,Youth admissions,Custody and supervision (open),13
2003/2004,Nunavut,Youth admissions,Young Offenders Act (YOA) (open),
2003/2004,Nunavut,Youth admissions,Total community sentences,54
2003/2004,Nunavut,Youth admissions,Community Portion of Custody Supervision,3
2003/2004,Nunavut,Youth admissions,Intensive support and supervision,
2003/2004,Nunavut,Youth admissions,Deferred custody and supervision,0
2003/2004,Nunavut,Youth admissions,Supervised probation,47
2003/2004,Nunavut,Youth admissions,Other community sentences,4
2003/2004,Nunavut,Youth releases,Total correctional services,87
2003/2004,Nunavut,Youth releases,Pre-trial detention,14
2003/2004,Nunavut,Youth releases,Provincial director remand,
2003/2004,Nunavut,Youth releases,Secure custody,2
2003/2004,Nunavut,Youth releases,Custody and supervision (secure),2
2003/2004,Nunavut,Youth releases,Young Offenders Act (YOA) (secure),
2003/2004,Nunavut,Youth releases,Open custody,10
2003/2004,Nunavut,Youth releases,Custody and supervision (open),10
2003/2004,Nunavut,Youth releases,Young Offenders Act (YOA) (open),
2003/2004,Nunavut,Youth releases,Total community sentences,61
2003/2004,Nunavut,Youth releases,Community Portion of Custody Supervision,3
2003/2004,Nunavut,Youth releases,Intensive support and supervision,
2003/2004,Nunavut,Youth releases,Deferred custody and supervision,0
2003/2004,Nunavut,Youth releases,Supervised probation,47
2003/2004,Nunavut,Youth releases,Other community sentences,11
2004/2005,Provinces and territories,Youth admissions,Total correctional services,54004
2004/2005,Provinces and territories,Youth admissions,Pre-trial detention,16740
2004/2005,Provinces and territories,Youth admissions,Provincial director remand,319
2004/2005,Provinces and territories,Youth admissions,Secure custody,2927
2004/2005,Provinces and territories,Youth admissions,Custody and supervision (secure),2919
2004/2005,Provinces and territories,Youth admissions,Young Offenders Act (YOA) (secure),0
2004/2005,Provinces and territories,Youth admissions,Open custody,2908
2004/2005,Provinces and territories,Youth admissions,Custody and supervision (open),2907
2004/2005,Provinces and territories,Youth admissions,Young Offenders Act (YOA) (open),1
2004/2005,Provinces and territories,Youth admissions,Total community sentences,31110
2004/2005,Provinces and territories,Youth admissions,Community Portion of Custody Supervision,3465
2004/2005,Provinces and territories,Youth admissions,Intensive support and supervision,74
2004/2005,Provinces and territories,Youth admissions,Deferred custody and supervision,1419
2004/2005,Provinces and territories,Youth admissions,Supervised probation,18311
2004/2005,Provinces and territories,Youth admissions,Other community sentences,7841
2004/2005,Provinces and territories,Youth releases,Total correctional services,43800
2004/2005,Provinces and territories,Youth releases,Pre-trial detention,13540
2004/2005,Provinces and territories,Youth releases,Provincial director remand,309
2004/2005,Provinces and territories,Youth releases,Secure custody,2316
2004/2005,Provinces and territories,Youth releases,Custody and supervision (secure),2314
2004/2005,Provinces and territories,Youth releases,Young Offenders Act (YOA) (secure),1
2004/2005,Provinces and territories,Youth releases,Open custody,2453
2004/2005,Provinces and territories,Youth releases,Custody and supervision (open),2450
2004/2005,Provinces and territories,Youth releases,Young Offenders Act (YOA) (open),3
2004/2005,Provinces and territories,Youth releases,Total community sentences,25182
