"REF_DATE","GEO","DGUID","Sex","Length of time served","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Quebec","2016A000224","Total sex","Mean time served","Days","77","units","0","v79971852","6.1.9","","..","","","0"
"2002/2003","Quebec","2016A000224","Total sex","Median time served","Days","77","units","0","v79971853","6.1.10","","..","","","0"
"2002/2003","Quebec","2016A000224","Males","Total number of releases","Number","223","units","0","v79971854","6.2.1","","..","","","0"
"2002/2003","Quebec","2016A000224","Males","1 week or less","Number","223","units","0","v79971855","6.2.2","","..","","","0"
"2002/2003","Quebec","2016A000224","Males","Greater than 1 week to 1 month","Number","223","units","0","v79971856","6.2.3","","..","","","0"
"2002/2003","Quebec","2016A000224","Males","Greater than 1 month to 6 months","Number","223","units","0","v79971857","6.2.4","","..","","","0"
"2002/2003","Quebec","2016A000224","Males","Greater than 6 months to 1 year","Number","223","units","0","v79971858","6.2.5","","..","","","0"
"2002/2003","Quebec","2016A000224","Males","Greater than 1 year to 2 years","Number","223","units","0","v79971859","6.2.6","","..","","","0"
"2002/2003","Quebec","2016A000224","Males","Greater than 2 years","Number","223","units","0","v79971860","6.2.7","","..","","","0"
"2002/2003","Quebec","2016A000224","Males","Length of time unknown","Number","223","units","0","v79971861","6.2.8","","..","","","0"
"2002/2003","Quebec","2016A000224","Males","Mean time served","Days","77","units","0","v79971862","6.2.9","","..","","","0"
"2002/2003","Quebec","2016A000224","Males","Median time served","Days","77","units","0","v79971863","6.2.10","","..","","","0"
"2002/2003","Quebec","2016A000224","Females","Total number of releases","Number","223","units","0","v79971864","6.3.1","","..","","","0"
"2002/2003","Quebec","2016A000224","Females","1 week or less","Number","223","units","0","v79971865","6.3.2","","..","","","0"
"2002/2003","Quebec","2016A000224","Females","Greater than 1 week to 1 month","Number","223","units","0","v79971866","6.3.3","","..","","","0"
"2002/2003","Quebec","2016A000224","Females","Greater than 1 month to 6 months","Number","223","units","0","v79971867","6.3.4","","..","","","0"
"2002/2003","Quebec","2016A000224","Females","Greater than 6 months to 1 year","Number","223","units","0","v79971868","6.3.5","","..","","","0"
"2002/2003","Quebec","2016A000224","Females","Greater than 1 year to 2 years","Number","223","units","0","v79971869","6.3.6","","..","","","0"
"2002/2003","Quebec","2016A000224","Females","Greater than 2 years","Number","223","units","0","v79971870","6.3.7","","..","","","0"
"2002/2003","Quebec","2016A000224","Females","Length of time unknown","Number","223","units","0","v79971871","6.3.8","","..","","","0"
"2002/2003","Quebec","2016A000224","Females","Mean time served","Days","77","units","0","v79971872","6.3.9","","..","","","0"
"2002/2003","Quebec","2016A000224","Females","Median time served","Days","77","units","0","v79971873","6.3.10","","..","","","0"
"2002/2003","Quebec","2016A000224","Sex unknown","Total number of releases","Number","223","units","0","v79971874","6.4.1","","..","","","0"
"2002/2003","Quebec","2016A000224","Sex unknown","1 week or less","Number","223","units","0","v79971875","6.4.2","","..","","","0"
"2002/2003","Quebec","2016A000224","Sex unknown","Greater than 1 week to 1 month","Number","223","units","0","v79971876","6.4.3","","..","","","0"
"2002/2003","Quebec","2016A000224","Sex unknown","Greater than 1 month to 6 months","Number","223","units","0","v79971877","6.4.4","","..","","","0"
"2002/2003","Quebec","2016A000224","Sex unknown","Greater than 6 months to 1 year","Number","223","units","0","v79971878","6.4.5","","..","","","0"
"2002/2003","Quebec","2016A000224","Sex unknown","Greater than 1 year to 2 years","Number","223","units","0","v79971879","6.4.6","","..","","","0"
"2002/2003","Quebec","2016A000224","Sex unknown","Greater than 2 years","Number","223","units","0","v79971880","6.4.7","","..","","","0"
"2002/2003","Quebec","2016A000224","Sex unknown","Length of time unknown","Number","223","units","0","v79971881","6.4.8","","..","","","0"
"2002/2003","Quebec","2016A000224","Sex unknown","Mean time served","Days","77","units","0","v79971882","6.4.9","","..","","","0"
"2002/2003","Quebec","2016A000224","Sex unknown","Median time served","Days","77","units","0","v79971883","6.4.10","","..","","","0"
"2002/2003","Ontario","2016A000235","Total sex","Total number of releases","Number","223","units","0","v32707693","7.1.1","6358","","","","0"
"2002/2003","Ontario","2016A000235","Total sex","1 week or less","Number","223","units","0","v32707694","7.1.2","3042","","","","0"
"2002/2003","Ontario","2016A000235","Total sex","Greater than 1 week to 1 month","Number","223","units","0","v32707695","7.1.3","1839","","","","0"
"2002/2003","Ontario","2016A000235","Total sex","Greater than 1 month to 6 months","Number","223","units","0","v32707696","7.1.4","1340","","","","0"
"2002/2003","Ontario","2016A000235","Total sex","Greater than 6 months to 1 year","Number","223","units","0","v32707697","7.1.5","82","","","","0"
"2002/2003","Ontario","2016A000235","Total sex","Greater than 1 year to 2 years","Number","223","units","0","v32707698","7.1.6","33","","","","0"
"2002/2003","Ontario","2016A000235","Total sex","Greater than 2 years","Number","223","units","0","v32707699","7.1.7","22","","","","0"
"2002/2003","Ontario","2016A000235","Total sex","Length of time unknown","Number","223","units","0","v32707700","7.1.8","0","","","","0"
"2002/2003","Ontario","2016A000235","Total sex","Mean time served","Days","77","units","0","v41501632","7.1.9","","..","","","0"
"2002/2003","Ontario","2016A000235","Total sex","Median time served","Days","77","units","0","v41501633","7.1.10","","..","","","0"
"2002/2003","Ontario","2016A000235","Males","Total number of releases","Number","223","units","0","v32707703","7.2.1","5364","","","","0"
"2002/2003","Ontario","2016A000235","Males","1 week or less","Number","223","units","0","v32707704","7.2.2","2526","","","","0"
"2002/2003","Ontario","2016A000235","Males","Greater than 1 week to 1 month","Number","223","units","0","v32707705","7.2.3","1523","","","","0"
"2002/2003","Ontario","2016A000235","Males","Greater than 1 month to 6 months","Number","223","units","0","v32707706","7.2.4","1186","","","","0"
"2002/2003","Ontario","2016A000235","Males","Greater than 6 months to 1 year","Number","223","units","0","v32707707","7.2.5","76","","","","0"
"2002/2003","Ontario","2016A000235","Males","Greater than 1 year to 2 years","Number","223","units","0","v32707708","7.2.6","31","","","","0"
"2002/2003","Ontario","2016A000235","Males","Greater than 2 years","Number","223","units","0","v32707709","7.2.7","22","","","","0"
"2002/2003","Ontario","2016A000235","Males","Length of time unknown","Number","223","units","0","v32707710","7.2.8","0","","","","0"
"2002/2003","Ontario","2016A000235","Males","Mean time served","Days","77","units","0","v41501634","7.2.9","","..","","","0"
"2002/2003","Ontario","2016A000235","Males","Median time served","Days","77","units","0","v41501635","7.2.10","","..","","","0"
"2002/2003","Ontario","2016A000235","Females","Total number of releases","Number","223","units","0","v32707713","7.3.1","994","","","","0"
"2002/2003","Ontario","2016A000235","Females","1 week or less","Number","223","units","0","v32707714","7.3.2","516","","","","0"
"2002/2003","Ontario","2016A000235","Females","Greater than 1 week to 1 month","Number","223","units","0","v32707715","7.3.3","316","","","","0"
"2002/2003","Ontario","2016A000235","Females","Greater than 1 month to 6 months","Number","223","units","0","v32707716","7.3.4","154","","","","0"
"2002/2003","Ontario","2016A000235","Females","Greater than 6 months to 1 year","Number","223","units","0","v32707717","7.3.5","6","","","","0"
"2002/2003","Ontario","2016A000235","Females","Greater than 1 year to 2 years","Number","223","units","0","v32707718","7.3.6","2","","","","0"
"2002/2003","Ontario","2016A000235","Females","Greater than 2 years","Number","223","units","0","v32707719","7.3.7","0","","","","0"
"2002/2003","Ontario","2016A000235","Females","Length of time unknown","Number","223","units","0","v32707720","7.3.8","0","","","","0"
"2002/2003","Ontario","2016A000235","Females","Mean time served","Days","77","units","0","v41501636","7.3.9","","..","","","0"
"2002/2003","Ontario","2016A000235","Females","Median time served","Days","77","units","0","v41501637","7.3.10","","..","","","0"
"2002/2003","Ontario","2016A000235","Sex unknown","Total number of releases","Number","223","units","0","v32707723","7.4.1","0","","","","0"
"2002/2003","Ontario","2016A000235","Sex unknown","1 week or less","Number","223","units","0","v32707724","7.4.2","0","","","","0"
"2002/2003","Ontario","2016A000235","Sex unknown","Greater than 1 week to 1 month","Number","223","units","0","v32707725","7.4.3","0","","","","0"
"2002/2003","Ontario","2016A000235","Sex unknown","Greater than 1 month to 6 months","Number","223","units","0","v32707726","7.4.4","0","","","","0"
"2002/2003","Ontario","2016A000235","Sex unknown","Greater than 6 months to 1 year","Number","223","units","0","v32707727","7.4.5","0","","","","0"
"2002/2003","Ontario","2016A000235","Sex unknown","Greater than 1 year to 2 years","Number","223","units","0","v32707728","7.4.6","0","","","","0"
"2002/2003","Ontario","2016A000235","Sex unknown","Greater than 2 years","Number","223","units","0","v32707729","7.4.7","0","","","","0"
"2002/2003","Ontario","2016A000235","Sex unknown","Length of time unknown","Number","223","units","0","v32707730","7.4.8","0","","","","0"
"2002/2003","Ontario","2016A000235","Sex unknown","Mean time served","Days","77","units","0","v41501638","7.4.9","","..","","","0"
"2002/2003","Ontario","2016A000235","Sex unknown","Median time served","Days","77","units","0","v41501639","7.4.10","","..","","","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Total sex","Total number of releases","Number","223","units","0","v41501640","8.1.1","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Total sex","1 week or less","Number","223","units","0","v41501641","8.1.2","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Total sex","Greater than 1 week to 1 month","Number","223","units","0","v41501642","8.1.3","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Total sex","Greater than 1 month to 6 months","Number","223","units","0","v41501643","8.1.4","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Total sex","Greater than 6 months to 1 year","Number","223","units","0","v41501644","8.1.5","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Total sex","Greater than 1 year to 2 years","Number","223","units","0","v41501645","8.1.6","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Total sex","Greater than 2 years","Number","223","units","0","v41501646","8.1.7","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Total sex","Length of time unknown","Number","223","units","0","v41501647","8.1.8","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Total sex","Mean time served","Days","77","units","0","v41501648","8.1.9","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Total sex","Median time served","Days","77","units","0","v41501649","8.1.10","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Males","Total number of releases","Number","223","units","0","v41501650","8.2.1","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Males","1 week or less","Number","223","units","0","v41501651","8.2.2","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Males","Greater than 1 week to 1 month","Number","223","units","0","v41501652","8.2.3","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Males","Greater than 1 month to 6 months","Number","223","units","0","v41501653","8.2.4","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Males","Greater than 6 months to 1 year","Number","223","units","0","v41501654","8.2.5","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Males","Greater than 1 year to 2 years","Number","223","units","0","v41501655","8.2.6","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Males","Greater than 2 years","Number","223","units","0","v41501656","8.2.7","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Males","Length of time unknown","Number","223","units","0","v41501657","8.2.8","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Males","Mean time served","Days","77","units","0","v41501658","8.2.9","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Males","Median time served","Days","77","units","0","v41501659","8.2.10","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Females","Total number of releases","Number","223","units","0","v41501660","8.3.1","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Females","1 week or less","Number","223","units","0","v41501661","8.3.2","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Females","Greater than 1 week to 1 month","Number","223","units","0","v41501662","8.3.3","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Females","Greater than 1 month to 6 months","Number","223","units","0","v41501663","8.3.4","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Females","Greater than 6 months to 1 year","Number","223","units","0","v41501664","8.3.5","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Females","Greater than 1 year to 2 years","Number","223","units","0","v41501665","8.3.6","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Females","Greater than 2 years","Number","223","units","0","v41501666","8.3.7","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Females","Length of time unknown","Number","223","units","0","v41501667","8.3.8","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Females","Mean time served","Days","77","units","0","v41501668","8.3.9","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Females","Median time served","Days","77","units","0","v41501669","8.3.10","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Sex unknown","Total number of releases","Number","223","units","0","v41501670","8.4.1","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Sex unknown","1 week or less","Number","223","units","0","v41501671","8.4.2","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Sex unknown","Greater than 1 week to 1 month","Number","223","units","0","v41501672","8.4.3","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Sex unknown","Greater than 1 month to 6 months","Number","223","units","0","v41501673","8.4.4","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Sex unknown","Greater than 6 months to 1 year","Number","223","units","0","v41501674","8.4.5","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Sex unknown","Greater than 1 year to 2 years","Number","223","units","0","v41501675","8.4.6","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Sex unknown","Greater than 2 years","Number","223","units","0","v41501676","8.4.7","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Sex unknown","Length of time unknown","Number","223","units","0","v41501677","8.4.8","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Sex unknown","Mean time served","Days","77","units","0","v79971884","8.4.9","","..","","t","0"
"2002/2003","Ontario, Ministry of Children and Youth Services (MCYS)","","Sex unknown","Median time served","Days","77","units","0","v79971885","8.4.10","","..","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Total sex","Total number of releases","Number","223","units","0","v32707733","9.1.1","6358","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Total sex","1 week or less","Number","223","units","0","v32707734","9.1.2","3042","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Total sex","Greater than 1 week to 1 month","Number","223","units","0","v32707735","9.1.3","1839","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Total sex","Greater than 1 month to 6 months","Number","223","units","0","v32707736","9.1.4","1340","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Total sex","Greater than 6 months to 1 year","Number","223","units","0","v32707737","9.1.5","82","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Total sex","Greater than 1 year to 2 years","Number","223","units","0","v32707738","9.1.6","33","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Total sex","Greater than 2 years","Number","223","units","0","v32707739","9.1.7","22","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Total sex","Length of time unknown","Number","223","units","0","v32707740","9.1.8","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Total sex","Mean time served","Days","77","units","0","v32707741","9.1.9","31","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Total sex","Median time served","Days","77","units","0","v32707742","9.1.10","8","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Males","Total number of releases","Number","223","units","0","v32707743","9.2.1","5364","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Males","1 week or less","Number","223","units","0","v32707744","9.2.2","2526","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Males","Greater than 1 week to 1 month","Number","223","units","0","v32707745","9.2.3","1523","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Males","Greater than 1 month to 6 months","Number","223","units","0","v32707746","9.2.4","1186","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Males","Greater than 6 months to 1 year","Number","223","units","0","v32707747","9.2.5","76","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Males","Greater than 1 year to 2 years","Number","223","units","0","v32707748","9.2.6","31","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Males","Greater than 2 years","Number","223","units","0","v32707749","9.2.7","22","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Males","Length of time unknown","Number","223","units","0","v32707750","9.2.8","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Males","Mean time served","Days","77","units","0","v32707751","9.2.9","33","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Males","Median time served","Days","77","units","0","v32707752","9.2.10","8","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Females","Total number of releases","Number","223","units","0","v32707753","9.3.1","994","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Females","1 week or less","Number","223","units","0","v32707754","9.3.2","516","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Females","Greater than 1 week to 1 month","Number","223","units","0","v32707755","9.3.3","316","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Females","Greater than 1 month to 6 months","Number","223","units","0","v32707756","9.3.4","154","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Females","Greater than 6 months to 1 year","Number","223","units","0","v32707757","9.3.5","6","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Females","Greater than 1 year to 2 years","Number","223","units","0","v32707758","9.3.6","2","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Females","Greater than 2 years","Number","223","units","0","v32707759","9.3.7","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Females","Length of time unknown","Number","223","units","0","v32707760","9.3.8","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Females","Mean time served","Days","77","units","0","v32707761","9.3.9","19","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Females","Median time served","Days","77","units","0","v32707762","9.3.10","7","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Sex unknown","Total number of releases","Number","223","units","0","v32707763","9.4.1","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Sex unknown","1 week or less","Number","223","units","0","v32707764","9.4.2","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Sex unknown","Greater than 1 week to 1 month","Number","223","units","0","v32707765","9.4.3","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Sex unknown","Greater than 1 month to 6 months","Number","223","units","0","v32707766","9.4.4","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Sex unknown","Greater than 6 months to 1 year","Number","223","units","0","v32707767","9.4.5","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Sex unknown","Greater than 1 year to 2 years","Number","223","units","0","v32707768","9.4.6","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Sex unknown","Greater than 2 years","Number","223","units","0","v32707769","9.4.7","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Sex unknown","Length of time unknown","Number","223","units","0","v32707770","9.4.8","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Sex unknown","Mean time served","Days","77","units","0","v32707771","9.4.9","0","","","t","0"
"2002/2003","Ontario, Ministry of Community Safety and Correctional Services (MCSCS)","","Sex unknown","Median time served","Days","77","units","0","v32707772","9.4.10","0","","","t","0"
"2002/2003","Manitoba","2016A000246","Total sex","Total number of releases","Number","223","units","0","v32707773","10.1.1","1711","","","","0"
"2002/2003","Manitoba","2016A000246","Total sex","1 week or less","Number","223","units","0","v32707774","10.1.2","901","","","","0"
"2002/2003","Manitoba","2016A000246","Total sex","Greater than 1 week to 1 month","Number","223","units","0","v32707775","10.1.3","409","","","","0"
"2002/2003","Manitoba","2016A000246","Total sex","Greater than 1 month to 6 months","Number","223","units","0","v32707776","10.1.4","392","","","","0"
"2002/2003","Manitoba","2016A000246","Total sex","Greater than 6 months to 1 year","Number","223","units","0","v32707777","10.1.5","8","","","","0"
"2002/2003","Manitoba","2016A000246","Total sex","Greater than 1 year to 2 years","Number","223","units","0","v32707778","10.1.6","1","","","","0"
"2002/2003","Manitoba","2016A000246","Total sex","Greater than 2 years","Number","223","units","0","v32707779","10.1.7","0","","","","0"
"2002/2003","Manitoba","2016A000246","Total sex","Length of time unknown","Number","223","units","0","v32707780","10.1.8","0","","","","0"
"2002/2003","Manitoba","2016A000246","Total sex","Mean time served","Days","77","units","0","v32707781","10.1.9","22","","","","0"
"2002/2003","Manitoba","2016A000246","Total sex","Median time served","Days","77","units","0","v32707782","10.1.10","6","","","","0"
"2002/2003","Manitoba","2016A000246","Males","Total number of releases","Number","223","units","0","v32707783","10.2.1","1255","","","","0"
"2002/2003","Manitoba","2016A000246","Males","1 week or less","Number","223","units","0","v32707784","10.2.2","620","","","","0"
"2002/2003","Manitoba","2016A000246","Males","Greater than 1 week to 1 month","Number","223","units","0","v32707785","10.2.3","310","","","","0"
"2002/2003","Manitoba","2016A000246","Males","Greater than 1 month to 6 months","Number","223","units","0","v32707786","10.2.4","316","","","","0"
"2002/2003","Manitoba","2016A000246","Males","Greater than 6 months to 1 year","Number","223","units","0","v32707787","10.2.5","8","","","","0"
"2002/2003","Manitoba","2016A000246","Males","Greater than 1 year to 2 years","Number","223","units","0","v32707788","10.2.6","1","","","","0"
"2002/2003","Manitoba","2016A000246","Males","Greater than 2 years","Number","223","units","0","v32707789","10.2.7","0","","","","0"
"2002/2003","Manitoba","2016A000246","Males","Length of time unknown","Number","223","units","0","v32707790","10.2.8","0","","","","0"
"2002/2003","Manitoba","2016A000246","Males","Mean time served","Days","77","units","0","v32707791","10.2.9","24","","","","0"
"2002/2003","Manitoba","2016A000246","Males","Median time served","Days","77","units","0","v32707792","10.2.10","8","","","","0"
"2002/2003","Manitoba","2016A000246","Females","Total number of releases","Number","223","units","0","v32707793","10.3.1","455","","","","0"
"2002/2003","Manitoba","2016A000246","Females","1 week or less","Number","223","units","0","v32707794","10.3.2","280","","","","0"
"2002/2003","Manitoba","2016A000246","Females","Greater than 1 week to 1 month","Number","223","units","0","v32707795","10.3.3","99","","","","0"
"2002/2003","Manitoba","2016A000246","Females","Greater than 1 month to 6 months","Number","223","units","0","v32707796","10.3.4","76","","","","0"
"2002/2003","Manitoba","2016A000246","Females","Greater than 6 months to 1 year","Number","223","units","0","v32707797","10.3.5","0","","","","0"
"2002/2003","Manitoba","2016A000246","Females","Greater than 1 year to 2 years","Number","223","units","0","v32707798","10.3.6","0","","","","0"
"2002/2003","Manitoba","2016A000246","Females","Greater than 2 years","Number","223","units","0","v32707799","10.3.7","0","","","","0"
"2002/2003","Manitoba","2016A000246","Females","Length of time unknown","Number","223","units","0","v32707800","10.3.8","0","","","","0"
"2002/2003","Manitoba","2016A000246","Females","Mean time served","Days","77","units","0","v32707801","10.3.9","15","","","","0"
"2002/2003","Manitoba","2016A000246","Females","Median time served","Days","77","units","0","v32707802","10.3.10","5","","","","0"
"2002/2003","Manitoba","2016A000246","Sex unknown","Total number of releases","Number","223","units","0","v32707803","10.4.1","1","","","","0"
"2002/2003","Manitoba","2016A000246","Sex unknown","1 week or less","Number","223","units","0","v32707804","10.4.2","1","","","","0"
"2002/2003","Manitoba","2016A000246","Sex unknown","Greater than 1 week to 1 month","Number","223","units","0","v32707805","10.4.3","0","","","","0"
"2002/2003","Manitoba","2016A000246","Sex unknown","Greater than 1 month to 6 months","Number","223","units","0","v32707806","10.4.4","0","","","","0"
"2002/2003","Manitoba","2016A000246","Sex unknown","Greater than 6 months to 1 year","Number","223","units","0","v32707807","10.4.5","0","","","","0"
"2002/2003","Manitoba","2016A000246","Sex unknown","Greater than 1 year to 2 years","Number","223","units","0","v32707808","10.4.6","0","","","","0"
"2002/2003","Manitoba","2016A000246","Sex unknown","Greater than 2 years","Number","223","units","0","v32707809","10.4.7","0","","","","0"
"2002/2003","Manitoba","2016A000246","Sex unknown","Length of time unknown","Number","223","units","0","v32707810","10.4.8","0","","","","0"
"2002/2003","Manitoba","2016A000246","Sex unknown","Mean time served","Days","77","units","0","v47394761","10.4.9","0","","","","0"
"2002/2003","Manitoba","2016A000246","Sex unknown","Median time served","Days","77","units","0","v47394762","10.4.10","0","","","","0"
"2002/2003","Saskatchewan","2016A000247","Total sex","Total number of releases","Number","223","units","0","v47394767","11.1.1","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Total sex","1 week or less","Number","223","units","0","v47394768","11.1.2","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Total sex","Greater than 1 week to 1 month","Number","223","units","0","v47394769","11.1.3","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Total sex","Greater than 1 month to 6 months","Number","223","units","0","v47394770","11.1.4","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Total sex","Greater than 6 months to 1 year","Number","223","units","0","v47394771","11.1.5","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Total sex","Greater than 1 year to 2 years","Number","223","units","0","v47394772","11.1.6","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Total sex","Greater than 2 years","Number","223","units","0","v47394773","11.1.7","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Total sex","Length of time unknown","Number","223","units","0","v47394774","11.1.8","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Total sex","Mean time served","Days","77","units","0","v79971886","11.1.9","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Total sex","Median time served","Days","77","units","0","v79971887","11.1.10","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Males","Total number of releases","Number","223","units","0","v47394775","11.2.1","","..","","","0"
"2002/2003","Saskatchewan","2016A000247","Males","1 week or less","Number","223","units","0","v79971888","11.2.2","","..","","","0"
